df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,acc_mag
15.127,1.048
15.157,1.049
15.187,1.048
15.217,1.043
15.247,1.049
15.277,1.050
15.307,1.054
15.338,1.048
15.368,1.044
15.397,1.049
15.427,1.049
15.457,1.044
15.488,1.054
15.517,1.046
15.547,1.050
15.577,1.053
15.607,1.045
15.637,1.043
15.667,1.053
15.698,1.048
15.728,1.049
15.758,1.047
15.788,1.048
15.818,1.044
15.848,1.051
15.878,1.046
15.907,1.044
15.938,1.052
15.967,1.049
15.998,1.048
16.027,1.046
16.058,1.045
16.087,1.045
16.118,1.048
16.147,1.054
16.178,1.047
16.207,1.046
16.238,1.052
16.267,1.045
16.298,1.047
16.327,1.049
16.358,1.044
16.387,1.050
16.417,1.048
16.447,1.048
16.478,1.047
16.508,1.044
16.537,1.046
16.567,1.049
16.598,1.049
16.628,1.046
16.657,1.054
16.687,1.052
16.718,1.043
16.748,1.044
16.777,1.050
16.807,1.047
16.838,1.051
16.868,1.048
16.897,1.052
16.927,1.050
16.958,1.048
16.988,1.045
17.017,1.049
17.047,1.046
17.078,1.045
17.108,1.049
17.137,1.046
17.167,1.043
17.197,1.049
17.228,1.045
17.258,1.045
17.287,1.046
17.317,1.049
17.348,1.052
17.378,1.046
17.407,1.044
17.437,1.046
17.467,1.048
17.497,1.044
17.528,1.049
17.558,1.050
17.588,1.050
17.618,1.046
17.647,1.041
17.677,1.052
17.707,1.051
17.737,1.050
17.768,1.046
17.798,1.047
17.828,1.046
17.858,1.044
17.887,1.046
17.917,1.046
17.947,1.039
17.977,1.042
18.007,1.047
18.038,1.054
18.068,1.045
18.098,1.043
18.128,1.047
18.157,1.048
18.187,1.041
18.217,1.048
18.247,1.050
18.278,1.052
18.308,1.042
18.338,1.042
18.368,1.048
18.397,1.048
18.427,1.045
18.457,1.049
18.487,1.050
18.518,1.044
18.548,1.049
18.578,1.046
18.608,1.048
18.637,1.051
18.667,1.046
18.697,1.048
18.727,1.047
18.757,1.037
18.788,1.047
18.818,1.050
18.848,1.046
18.878,1.054
18.907,1.047
18.937,1.049
18.967,1.050
18.997,1.044
19.028,1.048
19.058,1.052
19.088,1.047
19.118,1.048
19.147,1.049
19.177,1.049
19.207,1.044
19.237,1.046
19.268,1.051
19.298,1.046
19.328,1.040
19.358,1.057
19.388,1.051
19.417,1.042
19.448,1.050
19.477,1.047
19.508,1.047
19.537,1.050
19.568,1.047
19.597,1.046
19.628,1.054
19.658,1.045
19.687,1.041
19.718,1.048
19.747,1.049
19.778,1.046
19.807,1.049
19.838,1.048
19.867,1.044
19.897,1.046
19.928,1.045
19.957,1.046
19.988,1.049
20.017,1.053
20.048,1.045
20.077,1.044
20.108,1.047
20.138,1.048
20.167,1.044
20.198,1.050
20.227,1.046
20.258,1.047
20.287,1.047
20.318,1.045
20.347,1.050
20.378,1.048
20.408,1.053
20.437,1.047
20.468,1.051
20.497,1.045
20.528,1.046
20.557,1.048
20.588,1.044
20.617,1.044
20.647,1.052
20.678,1.052
20.707,1.045
20.738,1.042
20.767,1.044
20.798,1.044
20.827,1.046
20.858,1.048
20.888,1.045
20.917,1.047
20.948,1.048
20.977,1.042
21.008,1.050
21.037,1.053
21.068,1.050
21.097,1.049
21.128,1.045
21.158,1.046
21.187,1.045
21.218,1.043
21.247,1.057
21.278,1.045
21.307,1.056
21.338,1.050
21.367,1.043
21.397,1.043
21.428,1.049
21.457,1.044
21.488,1.050
21.517,1.046
21.548,1.052
21.577,1.049
21.608,1.043
21.638,1.048
21.667,1.046
21.698,1.044
21.727,1.044
21.758,1.041
21.787,1.048
21.818,1.045
21.847,1.048
21.878,1.049
21.908,1.049
21.937,1.054
21.968,1.050
21.997,1.042
22.028,1.045
22.057,1.048
22.088,1.042
22.117,1.043
22.147,1.046
22.178,1.047
22.207,1.043
22.238,1.041
22.267,1.046
22.298,1.050
22.327,1.050
22.358,1.048
22.388,1.045
22.417,1.050
22.448,1.044
22.477,1.046
22.508,1.047
22.537,1.041
22.568,1.049
22.597,1.046
22.628,1.043
22.658,1.048
22.687,1.045
22.718,1.036
22.747,1.052
22.778,1.043
22.807,1.046
22.838,1.050
22.867,1.044
22.897,1.047
22.928,1.050
22.957,1.048
22.988,1.044
23.017,1.046
23.048,1.047
23.077,1.047
23.108,1.050
23.138,1.044
23.167,1.043
23.198,1.053
23.227,1.051
23.258,1.044
23.287,1.043
23.318,1.046
23.347,1.042
23.378,1.048
23.407,1.041
23.438,1.045
23.468,1.047
23.497,1.046
23.527,1.043
23.558,1.045
23.588,1.048
23.617,1.049
23.648,1.044
23.678,1.049
23.707,1.046
23.737,1.045
23.768,1.046
23.798,1.048
23.827,1.055
23.857,1.039
23.888,1.054
23.917,1.050
23.947,1.037
23.978,1.043
24.008,1.049
24.037,1.041
24.067,1.050
24.098,1.041
24.128,1.048
24.157,1.047
24.188,1.043
24.218,1.043
24.247,1.045
24.277,1.049
24.308,1.050
24.338,1.045
24.367,1.047
24.398,1.046
24.428,1.047
24.457,1.041
24.487,1.045
24.518,1.050
24.548,1.044
