df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,heart_rate
26.156,92
27.377,89
28.258,87
29.133,84
30.348,84
31.234,85
32.156,89
33.343,91
34.346,95
35.223,95
36.296,95
37.197,94
38.253,94
39.269,94
40.195,94
41.073,94
42.390,94
43.169,94
44.050,94
45.218,94
46.143,94
47.021,94
48.240,93
49.120,92
49.995,91
51.219,90
52.091,90
52.995,90
54.203,90
55.214,90
56.040,90
57.167,89
58.039,87
58.965,86
60.152,86
61.357,87
61.942,88
63.261,89
64.047,90
64.913,91
66.083,92
67.009,92
67.887,93
69.105,93
69.987,94
70.861,93
72.079,94
73.006,94
73.866,95
75.107,95
75.931,95
76.809,95
78.035,95
78.905,95
79.929,95
81.004,96
81.937,96
82.805,96
83.978,95
84.901,95
85.828,93
86.952,92
87.906,92
88.753,92
90.002,92
90.849,92
91.727,92
92.945,92
93.823,92
94.701,90
95.919,91
96.797,91
97.675,92
98.942,93
99.771,94
100.746,94
101.916,95
102.793,95
103.676,95
104.841,94
105.769,94
106.645,94
107.871,94
108.742,94
109.620,94
110.838,94
111.715,94
112.593,94
113.811,94
114.690,88
115.570,86
116.785,88
117.909,85
118.564,86
119.785,83
120.637,83
121.663,82
122.733,82
123.659,82
124.537,84
125.707,86
126.638,87
127.511,85
128.683,85
129.607,85
130.485,85
131.730,85
132.581,86
133.459,87
134.680,87
135.555,87
136.481,87
137.652,87
138.676,87
139.455,87
140.628,87
141.503,87
142.429,87
143.599,87
144.525,87
145.403,87
146.603,87
147.499,87
148.377,87
149.569,87
150.553,88
151.351,88
152.569,88
153.447,88
154.324,88
155.552,88
156.470,88
157.347,89
158.517,89
159.439,90
160.324,90
161.495,90
162.372,90
163.295,90
164.465,90
165.635,90
166.269,90
167.491,91
168.365,92
169.243,92
170.462,91
171.339,91
172.265,90
173.435,89
174.313,89
175.190,89
176.411,89
177.292,89
178.189,89
179.383,91
180.410,92
181.247,93
182.461,93
183.234,93
184.346,93
185.331,92
186.262,91
187.135,90
188.305,90
189.231,90
190.108,90
191.327,90
192.205,90
193.082,90
194.301,90
195.180,90
196.056,90
197.275,90
198.153,91
199.035,92
200.252,93
201.126,93
202.004,93
203.246,93
204.100,93
205.050,93
206.197,93
207.076,93
208.000,93
209.170,93
210.097,93
210.982,93
212.170,93
213.071,93
213.994,92
215.118,93
216.048,93
216.922,93
218.125,93
219.067,93
219.896,93
221.121,94
222.292,94
222.924,94
224.088,94
225.015,94
225.892,94
227.062,93
227.951,93
228.870,93
230.061,93
230.928,93
231.842,95
233.077,93
233.936,93
234.814,93
235.986,95
236.910,95
237.788,94
239.012,94
239.884,94
240.908,93
241.980,93
242.909,93
243.735,93
245.055,93
245.832,93
246.955,92
247.929,92
248.830,92
249.732,92
250.902,92
251.828,92
252.755,94
253.876,94
254.802,95
255.680,95
256.850,95
257.776,94
258.653,94
259.872,94
260.750,94
261.652,94
262.874,94
263.724,94
264.605,92
265.820,91
266.750,89
267.624,88
268.794,88
269.671,86
270.599,87
271.768,86
272.730,86
273.571,79
274.742,77
275.669,75
276.545,75
277.717,77
278.642,76
279.523,75
280.738,75
281.616,75
282.494,75
283.712,75
284.589,75
285.467,75
286.712,83
287.612,83
288.490,87
289.776,88
290.538,90
291.463,82
292.634,86
293.560,84
294.437,85
295.607,84
296.534,84
297.411,84
298.630,85
299.702,86
300.471,87
301.652,88
302.481,88
303.415,87
304.577,87
305.752,87
306.381,87
307.579,87
308.479,87
309.355,87
310.525,87
311.452,86
312.357,85
313.548,84
314.425,84
315.304,84
316.548,77
317.399,81
318.473,79
319.496,80
320.472,79
321.299,79
322.469,72
323.347,81
324.273,81
325.443,84
326.346,85
327.247,86
328.418,87
329.343,88
330.221,88
331.391,89
332.318,88
333.195,88
334.414,88
335.291,88
336.175,88
337.387,88
338.265,88
339.142,88
340.361,84
341.339,82
342.165,78
343.581,76
344.295,74
345.431,75
346.309,75
347.235,75
348.113,82
349.283,79
350.212,79
351.133,78
352.305,78
353.183,78
354.065,78
355.301,78
356.169,78
357.083,78
358.302,78
359.131,78
360.105,78
361.227,82
362.153,85
363.037,86
364.239,87
365.127,88
366.004,88
367.272,86
368.123,86
368.978,86
370.198,86
371.077,86
371.956,86
373.171,86
374.048,82
374.975,84
376.145,83
377.022,83
377.953,83
379.120,83
380.045,83
380.972,83
382.092,83
383.040,83
383.896,83
385.120,83
385.992,85
386.870,88
388.089,89
388.973,91
389.844,89
391.111,89
391.989,89
392.875,84
394.038,83
394.915,84
397.887,83
398.814,84
400.230,85
400.910,85
401.788,86
402.957,86
403.884,85
404.777,84
405.980,84
406.868,85
407.735,87
408.957,85
409.855,85
410.709,85
411.928,85
412.807,85
413.757,85
414.902,85
415.877,85
416.705,84
417.876,84
418.829,84
419.683,78
420.923,83
421.776,81
422.653,76
423.823,78
424.749,76
425.630,76
426.846,75
427.723,75
428.896,75
429.819,75
430.749,75
431.623,75
432.793,75
433.720,75
434.597,75
435.767,75
436.647,75
437.671,75
438.741,75
439.672,75
440.545,72
441.715,73
442.711,82
443.519,88
444.689,88
445.615,86
446.492,86
447.686,86
448.593,86
449.538,86
450.720,86
451.564,86
452.440,86
453.659,90
454.536,92
455.414,93
456.633,93
457.510,91
458.412,90
459.639,89
460.484,89
461.411,89
462.580,89
463.458,89
464.384,89
465.575,89
466.481,89
