df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,rr_int
21.816,6420
22.011,120
22.017,55
22.363,15
22.501,415
22.941,10
23.668,620
23.767,645
23.961,160
23.964,80
24.009,15
24.014,10
24.455,420
25.033,215
25.716,485
25.719,695
25.862,10
26.399,220
27.230,525
27.675,745
27.911,190
28.642,540
28.837,690
29.331,175
29.862,510
30.646,670
30.817,665
30.837,190
30.884,10
30.898,10
31.288,15
31.810,405
32.493,625
32.639,630
33.137,165
33.760,460
33.764,630
34.354,10
34.491,650
35.028,165
35.710,505
36.393,685
37.138,725
37.228,755
37.271,10
37.368,225
37.373,15
38.103,410
38.248,270
39.172,10
39.952,1030
40.439,705
41.122,590
41.707,690
41.853,605
41.857,185
42.012,15
42.246,10
42.249,10
42.398,10
42.925,395
42.928,630
43.657,10
43.814,625
43.901,195
43.904,10
43.910,10
44.194,15
44.876,420
45.613,640
46.340,670
46.442,675
46.484,190
46.488,10
46.492,10
46.495,10
46.536,10
46.539,10
46.543,15
46.829,10
47.558,435
47.801,705
47.804,225
47.852,15
47.856,15
48.922,425
49.263,710
49.269,190
49.274,10
49.277,15
49.315,20
49.320,20
49.326,15
49.367,130
49.461,10
49.467,10
49.605,50
49.610,170
50.433,685
50.482,120
50.488,10
50.728,10
50.733,15
50.872,15
51.555,420
51.603,710
51.609,10
51.801,15
51.847,205
51.853,10
51.896,10
51.902,15
51.907,35
51.945,20
51.950,15
51.994,10
52.005,15
52.141,215
53.115,670
53.120,250
53.265,10
53.599,15
53.654,365
54.259,10
54.336,715
54.919,10
55.114,705
55.119,190
55.650,15
55.699,560
55.749,10
55.894,220
55.898,10
57.161,485
57.266,755
57.965,155
58.527,525
59.115,685
59.794,670
60.384,625
61.064,630
61.744,630
61.843,650
61.890,180
61.894,20
61.939,15
62.281,15
63.109,390
63.114,645
63.597,165
63.602,465
64.238,10
64.426,635
64.767,185
65.498,460
66.229,640
66.866,670
67.350,610
67.987,625
68.667,645
69.253,630
69.398,660
69.793,75
71.056,485
71.299,1285
71.304,155
71.397,20
71.401,15
71.405,15
71.446,15
71.470,15
71.741,125
71.752,230
73.152,630
73.542,660
74.225,615
74.517,670
74.522,295
74.810,30
75.132,285
75.493,215
76.077,420
76.764,635
77.296,615
77.983,620
78.028,600
78.564,10
79.252,655
79.392,590
79.399,260
80.417,310
80.904,600
81.685,600
81.781,655
81.784,180
81.879,25
81.882,30
81.929,10
82.318,15
83.000,465
83.832,720
84.414,710
85.097,675
85.633,670
86.365,640
87.055,625
87.901,645
88.168,615
88.412,630
88.704,195
88.707,330
89.387,10
90.800,610
90.947,1420
90.997,170
91.098,110
91.804,385
92.166,285
92.897,460
93.097,690
93.140,145
93.146,10
93.151,50
93.156,10
93.328,10
93.438,75
93.726,350
94.148,190
94.896,495
95.384,630
96.069,620
96.212,635
96.216,175
96.261,15
96.263,15
96.266,10
96.651,15
97.334,375
97.870,630
98.505,620
99.141,625
99.723,630
100.405,620
100.941,625
101.624,605
102.208,610
102.940,625
103.622,675
103.871,740
104.305,220
104.451,530
104.672,210
105.822,320
107.474,1015
107.818,1845
107.864,20
107.867,30
107.914,90
107.962,10
108.059,185
109.570,1405
109.717,140
110.107,90
110.399,390
110.402,310
110.499,10
110.545,10
110.692,335
110.696,10
112.349,1280
113.764,405
114.007,1280
115.420,285
115.567,1480
115.718,175
115.761,30
115.765,15
115.768,10
115.771,10
115.810,10
115.814,10
115.817,15
115.820,10
115.864,15
115.867,10
115.874,10
115.908,10
115.913,15
115.956,15
115.960,15
115.963,20
116.006,20
116.013,15
116.103,245
116.933,735
116.941,140
117.082,145
117.227,10
117.663,480
117.675,10
118.369,10
119.175,720
119.321,855
119.467,225
119.473,15
120.149,535
120.686,185
121.417,525
121.420,695
121.563,10
121.566,160
121.678,115
121.955,15
121.958,10
121.961,10
122.684,315
123.223,645
123.321,635
123.367,10
123.370,120
123.464,20
123.468,15
123.904,15
124.489,430
125.171,645
125.177,680
126.005,10
126.146,825
126.151,90
126.194,15
126.199,10
126.203,10
126.295,10
127.429,15
127.562,1285
127.569,135
127.658,15
127.662,10
127.706,10
127.711,15
127.714,15
127.755,15
127.758,10
127.761,10
127.765,10
128.096,15
128.784,420
128.925,705
129.071,165
129.074,10
129.169,15
129.172,10
129.176,15
129.463,10
130.193,475
130.436,685
130.439,190
130.443,20
130.875,35
131.565,440
132.240,655
132.244,665
132.825,10
132.830,655
133.507,10
133.510,690
133.655,10
133.800,140
133.803,90
133.851,15
133.854,10
134.933,395
135.165,750
135.168,235
135.172,10
135.177,10
135.461,205
135.605,200
136.973,695
137.262,680
137.700,235
138.432,445
138.695,700
139.069,250
139.211,430
139.215,235
139.218,10
140.479,375
140.482,880
140.869,10
140.872,355
142.142,10
142.326,1325
142.577,10
142.819,370
142.823,265
143.940,55
143.945,1025
145.744,10
145.747,1800
145.890,95
145.894,20
145.898,20
147.598,10
147.694,1720
147.698,160
147.745,15
147.749,15
147.841,15
147.854,10
147.938,10
147.987,15
147.991,120
148.036,25
148.039,15
148.054,10
148.232,220
148.815,645
