df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,temperature
15.966,33.156
16.968,33.094
17.967,33.062
18.988,33.094
19.964,33.094
20.999,33.062
22.111,33.062
22.987,33.125
24.061,33.125
24.985,33.156
25.960,33.094
26.984,33.125
28.253,33.156
28.984,33.125
29.959,33.125
31.225,33.156
32.151,33.156
32.980,33.156
34.299,33.156
34.988,33.125
35.954,33.156
37.127,33.188
38.099,33.219
38.976,33.219
39.955,33.188
40.976,33.156
41.994,33.188
43.023,33.188
43.950,33.156
44.988,33.188
45.952,33.219
46.973,33.219
47.948,33.188
48.971,33.188
49.966,33.219
50.971,33.219
51.976,33.219
52.991,33.188
53.993,33.219
54.968,33.219
55.943,33.219
57.015,33.281
57.973,33.250
59.112,33.281
60.137,33.281
60.964,33.281
62.141,33.312
62.969,33.375
64.039,33.312
64.963,33.344
65.986,33.344
66.961,33.344
67.984,33.375
68.960,33.312
69.983,33.344
70.988,33.312
72.031,33.281
73.058,33.250
73.981,33.312
75.103,33.312
75.982,33.281
76.955,33.281
77.979,33.281
78.953,33.312
79.978,33.281
80.977,33.281
81.981,33.344
82.954,33.375
83.975,33.375
85.043,33.344
85.977,33.344
86.949,33.344
88.000,33.375
88.948,33.375
90.125,33.375
91.093,33.406
92.019,33.406
93.092,33.375
93.970,33.375
94.996,33.406
96.066,33.406
96.946,33.406
97.968,33.406
99.137,33.375
99.966,33.375
100.944,33.344
101.965,33.344
102.967,33.375
103.988,33.375
104.988,33.344
106.032,33.344
107.381,33.344
107.965,33.344
108.980,33.344
109.961,33.344
110.936,33.344
111.959,33.375
112.986,33.344
113.958,33.344
114.987,33.375
116.074,33.375
116.981,33.375
117.960,33.344
118.980,33.406
119.955,33.438
120.978,33.531
122.395,33.500
122.981,33.500
124.198,33.469
124.976,33.469
125.999,33.469
126.975,33.438
127.950,33.469
128.974,33.438
129.949,33.438
130.973,33.375
131.948,33.375
133.364,33.406
133.947,33.406
135.061,33.438
135.945,33.406
136.969,33.438
137.945,33.375
139.065,33.406
139.943,33.406
140.967,33.375
142.040,33.375
143.014,33.375
144.090,33.406
144.964,33.375
145.940,33.406
146.963,33.375
147.942,33.438
148.962,33.375
150.183,33.375
151.060,33.375
151.936,33.375
152.964,33.406
153.935,33.406
154.963,33.406
155.959,33.375
156.958,33.406
157.933,33.406
158.968,33.438
159.931,33.469
160.956,33.469
161.979,33.500
162.954,33.531
163.978,33.500
164.975,33.531
166.007,33.531
166.952,33.531
167.976,33.531
168.951,33.531
169.974,33.562
171.050,33.531
171.975,33.594
172.949,33.562
173.972,33.562
174.947,33.594
176.020,33.594
176.946,33.562
177.971,33.531
178.945,33.562
179.968,33.531
180.946,33.531
181.967,33.438
183.042,33.438
183.966,33.406
184.941,33.438
186.257,33.375
187.089,33.438
187.964,33.469
188.939,33.406
190.011,33.406
190.941,33.438
191.961,33.438
192.937,33.438
193.960,33.469
195.018,33.406
195.960,33.469
197.014,33.469
197.958,33.469
198.933,33.500
200.249,33.469
200.932,33.469
201.978,33.406
203.207,33.438
203.954,33.438
204.930,33.469
205.953,33.469
206.977,33.469
207.953,33.438
208.927,33.438
209.976,33.406
210.978,33.406
212.059,33.469
212.974,33.500
214.202,33.469
215.021,33.438
215.958,33.438
216.971,33.469
218.102,33.469
218.973,33.625
219.945,33.625
220.968,33.625
221.944,33.625
223.023,33.594
223.943,33.625
224.969,33.625
225.941,33.625
226.965,33.594
227.940,33.625
228.989,33.531
229.939,33.594
230.968,33.594
231.938,33.594
232.969,33.625
234.085,33.656
234.961,33.656
235.936,33.656
236.959,33.625
237.935,33.594
239.007,33.562
240.079,33.562
240.957,33.562
241.932,33.562
242.971,33.531
243.931,33.500
244.957,33.531
245.937,33.500
246.974,33.531
247.977,33.562
248.952,33.594
250.028,33.562
250.951,33.562
251.926,33.562
252.950,33.594
253.925,33.594
254.952,33.562
255.924,33.594
256.996,33.594
258.020,33.594
258.995,33.562
259.970,33.594
261.116,33.594
261.969,33.531
262.949,33.531
263.981,33.531
265.381,33.531
265.969,33.562
266.942,33.531
267.983,33.500
268.941,33.531
270.013,33.500
270.967,33.500
272.502,33.562
272.938,33.562
273.962,33.531
274.937,33.531
275.960,33.531
276.937,33.562
277.962,33.562
279.275,33.562
279.965,33.562
280.933,33.594
282.098,33.562
283.325,33.562
283.956,33.562
285.042,33.594
285.955,33.625
287.222,33.562
287.954,33.531
288.929,33.531
289.953,33.531
291.125,33.500
291.951,33.531
293.221,33.531
293.951,33.531
294.926,33.531
295.949,33.500
296.937,33.531
297.948,33.531
298.972,33.531
300.434,33.594
300.970,33.594
302.021,33.594
302.926,33.594
304.337,33.594
304.919,33.562
305.965,33.562
306.920,33.594
307.944,33.594
308.968,33.625
309.941,33.562
310.964,33.594
311.945,33.594
312.963,33.625
313.938,33.625
315.011,33.656
315.986,33.688
316.965,33.719
318.033,33.750
318.959,33.750
319.935,33.781
321.205,33.750
321.934,33.719
322.957,33.688
323.932,33.688
325.154,33.656
325.931,33.625
326.955,33.625
328.007,33.594
328.953,33.625
329.929,33.656
