df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,quality
26.171,52
27.669,53
28.351,62
29.324,75
30.356,74
31.274,68
32.398,59
33.519,64
34.349,66
35.226,71
36.301,71
37.222,61
38.255,48
39.272,47
40.199,43
41.076,29
42.393,35
43.173,42
44.053,46
45.608,53
46.148,59
47.024,62
48.246,61
49.219,61
50.009,56
51.460,61
52.096,57
53.069,50
54.236,47
55.220,47
56.044,33
57.259,47
58.042,59
58.968,58
60.379,64
61.360,61
62.137,57
63.272,71
64.231,71
64.918,75
66.086,75
67.012,70
67.890,62
69.109,63
70.230,56
70.864,49
72.083,53
73.011,56
73.870,59
75.110,58
75.946,65
76.812,72
78.274,69
78.908,68
79.941,66
81.248,60
81.977,63
82.808,51
84.024,32
84.904,35
85.831,62
87.050,54
87.973,58
88.757,66
90.121,32
90.853,24
91.775,27
92.950,26
93.829,21
94.711,40
95.923,50
96.800,54
97.725,65
98.945,69
99.774,68
100.795,68
101.919,71
102.797,71
103.866,66
104.844,45
105.816,35
106.649,0
107.874,0
108.747,0
109.627,0
110.849,0
111.718,0
112.596,27
113.815,0
114.696,27
115.713,29
116.791,22
117.914,31
118.641,30
119.789,43
120.640,63
121.671,66
122.736,51
123.663,34
124.540,42
125.714,65
126.685,41
127.515,35
128.779,39
129.626,47
130.489,49
131.853,56
132.585,56
133.462,73
134.924,68
135.558,64
136.485,65
137.655,70
138.682,69
139.459,69
140.775,63
141.507,45
142.527,33
143.602,0
144.530,11
145.406,2
146.607,23
147.503,16
148.441,47
149.645,40
150.622,27
151.355,27
152.573,58
153.450,71
154.328,73
155.641,74
156.482,74
157.351,74
158.520,73
159.541,73
160.370,74
161.643,74
162.470,72
163.300,72
164.469,76
165.638,71
166.272,64
167.585,62
168.369,67
169.292,66
170.465,61
171.342,64
172.269,69
173.439,54
174.317,43
175.239,28
176.802,34
177.336,39
178.193,36
179.386,44
180.413,51
181.284,67
182.466,65
183.284,63
184.407,68
185.337,58
186.357,50
187.138,56
188.308,58
189.235,50
190.112,52
191.331,38
192.209,42
193.085,41
194.304,39
195.183,36
196.059,52
197.282,56
198.155,66
199.176,68
200.300,67
201.130,70
202.053,72
203.467,76
204.104,75
205.322,75
206.200,61
207.223,39
208.004,32
209.174,27
210.102,28
210.986,30
212.391,34
213.075,38
214.195,50
215.122,69
216.194,71
216.927,67
218.157,71
219.077,71
219.901,65
221.312,73
222.341,74
223.016,75
224.093,68
225.018,72
225.896,71
227.067,71
228.284,73
228.915,74
230.064,46
230.963,39
231.889,45
233.254,38
233.940,33
234.863,27
235.994,35
236.914,40
237.791,32
239.205,30
239.889,28
240.911,33
241.984,29
242.959,32
243.739,27
245.058,34
245.837,44
246.962,45
247.943,33
248.833,0
249.735,37
250.908,40
251.839,37
252.758,49
253.879,47
254.805,53
255.683,52
256.853,43
257.780,37
258.657,33
259.877,29
260.757,30
261.774,30
262.895,25
263.729,0
264.951,47
265.824,46
266.847,53
267.628,52
268.797,44
269.675,35
270.603,24
271.772,33
272.743,38
273.575,57
274.749,66
275.677,74
276.549,52
277.725,41
278.646,39
279.714,33
280.741,25
281.619,26
282.642,27
283.715,0
284.593,1
285.470,0
286.715,34
287.615,31
288.495,29
289.779,29
290.567,36
291.467,40
292.637,32
293.563,27
294.440,33
295.613,0
296.539,40
297.419,41
298.635,45
299.705,47
300.583,51
301.658,46
302.486,38
303.557,40
304.583,45
305.755,36
306.384,36
307.597,33
308.482,35
309.358,32
310.532,25
311.455,31
312.429,40
313.551,41
314.429,29
315.310,42
316.551,38
317.402,34
318.477,24
319.500,25
320.484,32
321.307,34
322.473,32
323.350,36
324.277,46
325.446,43
326.349,60
327.251,67
328.566,71
329.347,57
330.225,55
331.395,58
332.324,45
333.198,29
334.417,0
335.294,30
336.221,0
337.391,3
338.268,4
339.146,25
340.365,40
341.342,44
342.169,59
343.584,45
344.408,43
345.436,29
346.328,25
347.238,0
348.117,35
349.286,27
350.262,37
351.431,30
352.310,39
353.189,0
354.306,37
355.431,5
356.254,5
357.086,3
358.305,0
359.134,0
360.109,0
361.230,28
362.156,32
363.131,34
364.593,45
365.132,49
366.010,37
367.276,46
368.250,41
368.982,39
370.202,29
371.270,34
372.004,26
373.177,20
374.052,35
374.979,22
376.149,28
377.026,7
378.244,8
379.365,12
380.049,26
380.979,19
382.095,7
383.117,0
383.899,0
385.164,0
385.998,30
386.873,27
388.093,37
389.262,37
389.848,25
391.116,26
391.992,31
392.916,40
394.232,44
394.939,23
397.890,26
398.818,29
400.235,32
400.914,36
401.790,36
402.960,39
403.887,49
404.815,59
406.001,46
406.909,51
407.738,50
409.152,45
409.858,40
410.712,36
411.931,31
412.952,36
413.881,34
414.904,0
415.879,2
416.708,44
417.880,38
418.851,46
419.686,23
420.926,28
421.779,0
422.657,31
423.826,42
424.753,43
425.679,46
426.848,42
427.726,27
428.900,0
429.822,0
430.752,0
431.627,0
432.796,30
433.722,0
434.600,0
435.770,4
436.696,0
437.769,0
438.745,0
439.863,27
440.548,34
441.765,27
442.836,45
443.522,39
444.692,33
445.619,1
446.495,0
447.689,0
448.787,0
449.613,0
450.836,22
451.712,25
452.443,26
453.662,27
454.539,47
455.417,42
456.635,37
457.514,38
458.632,60
459.655,63
460.494,59
461.418,42
462.583,23
463.460,0
464.391,0
465.606,0
466.485,0
