df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,battery
22.937,56
32.932,56
42.877,56
52.871,56
62.963,56
72.896,56
82.854,56
92.848,56
102.898,56
112.837,56
122.880,56
132.874,56
142.868,56
152.960,55
162.856,55
172.851,55
182.893,55
192.839,55
203.177,55
212.827,55
222.918,55
232.965,55
242.902,55
252.852,55
262.906,55
272.841,55
282.835,55
293.028,55
302.920,55
312.817,55
322.887,55
332.854,55
342.848,55
352.884,55
362.842,55
372.878,55
382.925,55
392.867,55
402.812,55
412.957,55
422.848,55
432.843,55
442.842,55
452.831,55
462.824,55
