Time (s),Resistance (Ω),Conductance (µS),Stage
1,13615.92,73.44343973818883,callibration
2,12979.8,77.0427895653246,callibration
3,12775.31,78.2759870406276,callibration
4,12838.82,77.88877794065186,callibration
5,12524.75,79.84191301223576,callibration
6,12636.82,79.1338327205737,callibration
7,13109.48,76.28067627396358,callibration
8,13044.46,76.66089665651165,callibration
9,13057.43,76.58474906624045,callibration
10,13386.64,74.70134402658174,callibration
11,13440.18,74.40376542576067,callibration
12,12979.8,77.0427895653246,callibration
13,13031.5,76.73713693742087,callibration
14,12787.98,78.19843321619209,callibration
15,12979.8,77.0427895653246,callibration
16,14331.55,69.77612330836511,callibration
17,13947.37,71.69810509078054,callibration
18,13057.43,76.58474906624045,callibration
19,13240.64,75.5250501486333,callibration
20,13561.57,73.73777519859426,Normal stage
21,10765.72,92.88742415741818,Normal stage
22,10629.72,94.07585524360003,Normal stage
23,10765.72,92.88742415741818,Normal stage
24,10924.89,91.53410240286172,Normal stage
25,11217.62,89.14546935981072,Normal stage
26,11372.65,87.93025372274712,Normal stage
27,11086.51,90.1997111805248,Normal stage
28,11053.98,90.46515372743573,Normal stage
29,11305.93,88.44915898117182,Normal stage
30,11075.66,90.28807312611619,Normal stage
31,11140.94,89.75903290027593,Normal stage
32,11383.81,87.84405221099088,Normal stage
33,11097.37,90.11144081886069,Normal stage
34,11000,90.9090909090909,Normal stage
35,11394.98,87.75794253258891,Normal stage
36,11417.37,87.5858450764055,Normal stage
37,11507.35,86.90098067756695,Normal stage
38,11130.03,89.84701748333113,Normal stage
39,11140.94,89.75903290027593,Normal stage
40,11097.37,90.11144081886069,Normal stage
41,11439.79,87.41419204373507,Normal stage
42,11217.62,89.14546935981072,Normal stage
43,11119.13,89.93509384277368,Normal stage
44,10935.58,91.44462387911751,Normal stage
45,10989.24,90.99810359952099,Normal stage
46,11383.81,87.84405221099088,Normal stage
47,11339.24,88.18933191289716,Normal stage
48,11305.93,88.44915898117182,Normal stage
49,11361.5,88.01654711085685,Normal stage
50,11328.12,88.27590103212182,Normal stage
51,11151.86,89.6711400609405,Normal stage
52,10598.59,94.3521732607828,Normal stage
53,10807.93,92.52465550757638,Normal stage
54,11228.62,89.05813893425906,Normal stage
55,10818.5,92.43425613532375,Normal stage
56,11195.65,89.32040569328265,Normal stage
57,10839.69,92.25356075681131,Normal stage
58,10829.09,92.34386268836994,Normal stage
59,11151.86,89.6711400609405,Normal stage
60,11317.02,88.36248411684348,Normal stage
61,11097.37,90.11144081886069,Normal stage
62,10765.72,92.88742415741818,Normal stage
63,11000,90.9090909090909,Normal stage
64,10650.53,93.89204105335602,Normal stage
65,10505.76,95.1858789844809,Normal stage
66,10671.38,93.70859251568214,Normal stage
67,10860.93,92.07314659057741,Normal stage
68,11184.69,89.40793173525596,Normal stage
69,10989.24,90.99810359952099,Normal stage
70,10935.58,91.44462387911751,Normal stage
71,10485.24,95.37216124762047,Normal stage
72,11097.37,90.11144081886069,Normal stage
73,11162.79,89.58333893229201,Normal stage
74,10839.69,92.25356075681131,Normal stage
75,10871.56,91.98311925795379,Normal stage
76,10978.48,91.08729077249309,Normal stage
77,11140.94,89.75903290027593,Normal stage
78,11053.98,90.46515372743573,Normal stage
79,11010.78,90.82008722361176,Normal stage
80,10619.33,94.16789948141738,Normal stage
81,11130.03,89.84701748333113,Normal stage
82,10734.18,93.16035318953102,Normal stage
83,11108.25,90.02318096909954,Normal stage
84,11119.13,89.93509384277368,Normal stage
85,10978.48,91.08729077249309,Normal stage
86,10681.82,93.61700534178632,Normal stage
87,10989.24,90.99810359952099,Normal stage
88,10744.68,93.06931430251994,Normal stage
89,10692.27,93.5255095503574,Normal stage
