df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,quality
9.202,51
10.084,14
11.337,15
12.172,0
13.052,0
14.315,0
15.143,33
16.317,44
17.240,59
18.117,72
19.040,69
20.168,53
21.091,62
22.215,62
23.330,54
24.067,56
25.136,60
26.162,54
27.039,40
27.924,35
29.132,46
30.308,54
30.984,70
32.110,60
33.297,48
33.909,54
35.131,53
36.252,46
36.849,59
38.060,68
39.177,72
39.811,74
41.222,79
41.953,55
42.844,41
44.009,23
44.975,16
45.759,0
46.977,37
47.855,26
49.026,24
50.146,41
50.979,50
51.708,50
52.978,54
53.802,50
54.729,59
55.899,49
56.777,45
57.897,48
58.875,47
59.894,42
60.871,37
61.960,37
62.727,43
63.651,62
64.875,68
65.698,68
66.673,72
68.187,71
68.672,61
69.894,59
70.768,64
71.694,56
72.864,34
73.791,40
74.668,63
75.545,61
76.959,64
77.645,67
78.614,72
79.884,73
80.713,75
81.493,75
82.712,76
83.639,71
84.710,67
85.637,64
86.620,57
87.441,50
88.616,47
89.548,46
90.608,47
91.679,44
92.511,49
93.390,48
94.705,37
95.728,47
96.362,58
97.919,62
98.601,53
99.402,53
100.565,49
101.455,69
102.651,77
103.530,78
104.470,76
105.629,74
106.548,76
107.434,72
108.307,70
109.570,48
110.399,42
111.326,40
112.544,42
113.448,44
114.471,40
115.425,43
116.310,52
117.227,65
118.400,79
119.320,76
120.251,76
121.371,76
122.295,80
123.223,54
124.737,43
125.222,44
126.149,43
127.660,42
128.291,39
129.123,43
130.293,65
131.219,76
132.099,76
133.314,75
134.291,78
135.073,75
136.240,75
137.191,76
138.045,76
139.215,70
140.151,71
141.210,73
142.190,78
143.114,53
143.992,49
145.310,48
146.088,57
146.965,58
148.184,39
149.062,25
149.992,49
151.205,69
152.230,82
153.215,72
154.132,73
155.009,64
156.180,74
157.108,73
157.985,70
158.909,71
160.080,74
161.198,56
161.887,50
163.055,50
164.228,49
164.809,56
166.121,48
166.905,29
167.928,26
169.001,34
170.149,54
170.757,34
171.975,35
172.852,60
173.876,42
174.994,31
176.124,22
176.801,26
178.066,28
178.801,0
179.726,0
181.187,0
181.820,22
182.705,0
183.870,29
184.796,27
186.018,45
186.845,62
187.797,76
188.648,69
190.016,67
190.991,60
191.816,70
192.938,74
193.671,75
194.595,74
195.818,76
196.938,74
197.761,76
199.177,62
199.760,46
200.545,27
201.759,26
202.880,25
203.517,25
204.735,40
205.808,49
206.495,47
208.055,55
208.734,69
209.517,72
211.024,68
211.563,72
212.442,74
213.608,74
214.534,75
215.416,78
216.631,79
217.804,78
218.387,75
219.706,68
220.777,56
221.505,59
222.579,63
223.456,37
224.333,29
225.557,31
226.431,64
227.499,83
228.527,77
229.452,73
230.282,67
231.500,70
232.627,78
233.349,67
234.775,67
235.400,73
236.279,76
237.449,70
238.471,73
239.302,78
240.713,78
241.399,70
242.225,74
243.444,71
244.318,60
245.199,63
246.371,71
247.341,62
248.316,54
249.445,50
250.270,47
251.192,56
252.462,53
253.299,28
254.120,31
255.681,49
256.217,75
257.240,67
258.265,67
259.191,76
260.069,72
261.347,74
262.167,72
263.087,75
264.288,69
265.140,61
266.309,65
267.235,66
268.263,64
268.994,52
270.211,56
271.086,67
271.965,72
273.182,67
274.328,64
275.180,58
276.162,66
277.034,68
278.057,51
279.178,53
280.303,66
280.979,73
282.301,77
282.988,75
283.917,73
285.174,70
285.955,51
287.027,43
288.051,39
289.169,38
289.857,41
291.025,52
291.902,77
292.830,74
293.999,66
294.895,60
295.802,57
296.973,36
297.851,42
299.068,27
299.950,32
300.875,24
301.755,17
302.972,20
303.849,27
304.881,35
305.996,36
306.868,39
307.795,27
308.868,31
309.893,48
310.672,41
312.086,41
312.813,45
313.646,45
314.911,50
315.747,56
316.668,65
318.081,28
318.716,0
319.619,0
320.813,21
321.838,0
322.859,31
324.029,53
324.760,67
325.542,63
326.762,72
327.638,75
328.514,76
329.881,77
330.710,69
331.688,59
332.709,61
333.636,72
334.511,76
335.684,73
336.854,73
337.537,75
338.687,77
339.605,78
340.505,75
341.674,77
342.561,75
343.433,76
344.749,78
345.529,78
346.419,69
347.670,67
348.549,69
349.746,74
350.847,76
351.579,70
352.668,69
353.524,65
354.456,72
355.328,54
356.692,47
357.424,54
358.351,66
359.472,69
360.419,51
361.475,39
362.445,45
363.374,54
364.295,57
365.713,43
366.537,38
367.323,46
368.929,41
369.475,39
370.291,40
371.420,42
372.437,42
373.223,47
374.453,35
375.270,41
376.293,38
377.664,34
378.340,32
379.118,31
380.581,30
381.358,32
382.187,33
383.311,26
384.214,47
385.131,46
386.334,64
387.264,63
388.091,63
389.356,54
390.137,67
391.165,73
392.234,66
393.205,54
394.036,51
395.252,45
396.182,46
397.011,44
398.277,52
399.106,59
400.039,64
401.205,69
402.088,58
403.250,55
404.320,68
405.200,67
406.227,68
407.150,71
408.125,71
408.953,63
410.124,55
411.002,53
412.123,46
413.098,34
413.975,38
414.853,42
416.166,28
416.951,27
418.174,24
419.045,53
420.018,66
420.947,62
422.265,58
422.897,66
