df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,acc_mag
4.416,1.008
4.446,1.001
4.476,1.006
4.506,1.012
4.536,1.009
4.566,1.002
4.596,0.996
4.626,1.017
4.656,1.013
4.686,1.015
4.716,1.015
4.746,1.021
4.776,1.019
4.806,1.015
4.836,1.006
4.866,1.003
4.896,1.022
4.926,1.007
4.956,1.004
4.986,1.011
5.016,1.010
5.046,1.012
5.076,1.016
5.106,1.011
5.136,1.011
5.166,1.012
5.196,1.009
5.226,1.012
5.256,1.018
5.286,1.000
5.316,1.003
5.346,1.007
5.376,1.002
5.406,1.016
5.436,1.010
5.466,1.005
5.496,1.020
5.526,1.010
5.556,1.012
5.586,1.021
5.616,1.007
5.646,1.003
5.676,0.997
5.706,1.017
5.736,1.014
5.766,1.001
5.796,1.006
5.826,1.015
5.856,1.012
5.886,1.018
5.916,1.009
5.946,0.992
5.976,0.995
6.006,1.002
6.036,0.982
6.066,0.990
6.096,0.990
6.126,1.010
6.156,1.033
6.186,1.054
6.216,1.051
6.246,1.037
6.276,1.008
6.306,1.003
6.336,0.992
6.366,1.002
6.396,1.010
6.426,1.014
6.456,1.028
6.486,1.003
6.516,0.983
6.546,0.996
6.576,0.986
6.606,0.995
6.636,1.009
6.666,0.973
6.696,0.977
6.726,1.006
6.756,0.994
6.786,0.976
6.816,0.980
6.846,0.950
6.876,0.941
6.906,0.917
6.936,0.904
6.966,0.955
6.996,0.980
7.026,0.945
7.056,0.967
7.086,1.024
7.116,1.094
7.146,1.162
7.176,1.150
7.206,1.142
7.236,1.058
7.266,0.990
7.296,0.949
7.326,0.977
7.356,1.005
7.386,1.062
7.416,1.075
7.446,1.052
7.476,1.020
7.506,0.996
7.536,1.006
7.566,1.008
7.596,1.010
7.626,1.031
7.656,1.087
7.686,1.154
7.716,1.125
7.746,1.073
7.776,1.059
7.806,1.028
7.836,0.998
7.866,0.973
7.896,0.966
7.926,0.964
7.956,0.941
7.986,0.975
8.016,0.981
8.046,0.982
8.076,0.997
8.106,0.983
8.136,0.968
8.166,0.985
8.196,0.983
8.226,0.956
8.256,0.971
8.286,0.987
8.316,0.970
8.346,0.955
8.376,0.998
8.406,1.004
8.436,0.995
8.466,1.005
8.496,0.997
8.526,1.007
8.556,1.020
8.586,1.004
8.616,1.011
8.646,1.008
8.676,0.992
8.706,0.991
8.736,0.983
8.766,1.002
8.796,1.027
8.826,1.020
8.856,1.003
8.886,1.012
8.916,1.015
8.946,1.012
8.976,1.009
9.006,1.003
9.036,1.000
9.066,1.009
9.096,1.016
9.126,1.007
9.156,1.005
9.186,1.000
9.216,1.001
9.246,1.015
9.276,1.010
9.306,1.007
9.336,1.007
9.366,1.020
9.396,1.007
9.426,1.010
9.456,0.989
9.486,0.981
9.516,1.005
9.546,1.014
9.576,1.020
9.606,1.010
9.636,0.997
9.666,0.989
9.696,0.994
9.726,0.960
9.756,0.986
9.786,0.986
9.816,0.985
9.846,0.984
9.876,0.982
9.906,0.990
9.936,0.970
9.966,0.985
9.996,1.000
10.026,1.010
10.056,1.021
10.086,1.028
10.116,0.978
10.146,0.993
10.176,0.999
10.206,0.993
10.236,0.959
10.266,0.961
10.296,0.964
10.326,1.024
10.356,1.030
10.386,1.050
10.416,1.035
10.446,1.022
10.476,1.037
10.506,1.093
10.536,1.077
10.566,1.030
10.596,1.020
10.626,1.014
10.656,1.046
10.686,1.043
10.716,1.060
10.746,1.035
10.776,1.021
10.806,1.007
10.836,1.004
10.866,1.003
10.896,1.010
10.926,0.993
10.956,0.981
10.986,0.982
11.016,1.002
11.046,1.000
11.076,1.003
11.106,1.010
11.136,1.015
11.166,1.017
11.196,1.009
11.226,0.995
11.256,0.999
11.286,1.004
11.316,1.017
11.346,1.021
11.376,1.020
11.406,1.022
11.436,1.012
11.466,1.004
11.496,1.000
11.526,0.994
11.556,1.000
11.586,1.002
11.616,1.006
11.646,1.003
11.676,1.012
11.706,1.023
11.736,1.014
11.766,1.009
11.796,1.002
11.826,1.001
11.856,1.003
11.886,1.002
11.916,1.007
11.946,1.017
11.976,1.013
12.006,1.009
12.036,1.003
12.066,1.014
12.096,1.020
12.126,1.011
12.156,1.001
12.186,1.004
12.216,1.014
12.246,1.024
12.276,1.017
12.306,0.999
12.336,0.998
12.366,1.011
12.396,1.008
12.426,1.007
12.456,1.005
12.486,1.011
12.516,1.005
12.546,1.012
12.576,1.011
12.606,1.008
12.636,1.004
12.666,1.001
12.696,1.002
12.726,1.019
12.756,1.018
12.786,1.009
12.816,1.009
12.846,1.007
12.876,1.009
12.906,1.007
12.936,1.004
12.966,1.008
12.996,1.011
13.026,1.015
13.056,1.009
13.086,1.009
13.116,1.015
13.146,1.013
13.176,1.002
13.206,1.007
13.236,1.011
13.266,1.016
13.296,1.005
13.326,1.006
13.356,1.006
13.386,1.016
13.416,1.010
13.446,1.010
13.476,1.007
13.506,1.014
13.536,1.008
13.566,1.004
13.596,1.005
13.626,1.006
13.656,1.011
13.686,1.012
13.716,1.003
13.746,1.008
13.776,1.013
13.806,1.011
