df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,quality
59.369,61
60.341,64
61.562,68
62.398,70
63.269,70
64.680,66
65.458,59
66.259,50
67.459,46
68.386,41
69.260,43
70.433,43
71.310,64
72.236,67
73.452,55
74.331,52
75.161,52
76.433,43
77.303,44
78.229,56
79.694,56
80.232,57
81.159,67
82.570,73
83.301,60
84.157,57
85.353,58
86.229,72
87.104,75
88.324,66
89.200,59
90.221,29
91.298,26
92.321,26
93.052,24
94.270,0
95.147,45
96.224,59
97.246,72
98.147,61
99.141,37
100.262,32
101.098,31
102.069,23
103.237,0
104.072,35
105.065,28
106.163,15
107.098,17
108.305,18
109.143,14
110.109,0
110.941,22
112.160,33
113.087,44
113.915,49
115.133,47
116.067,51
116.889,68
118.155,61
118.984,44
119.862,45
121.083,48
122.007,57
122.884,59
124.200,56
124.968,36
125.951,36
127.044,35
127.907,32
128.835,32
130.341,33
130.927,38
132.295,20
133.312,21
133.902,26
134.800,37
136.001,29
136.875,0
137.751,26
139.262,27
139.848,0
140.774,0
141.946,18
142.954,0
143.748,0
144.917,0
145.794,37
146.720,46
147.892,48
148.818,54
149.694,61
150.962,38
151.839,21
153.106,25
153.838,26
154.765,56
155.642,69
156.885,69
157.794,63
158.616,54
159.871,52
160.711,57
161.830,59
162.807,69
163.684,76
164.611,71
165.780,68
166.703,73
167.584,80
168.800,80
170.067,72
170.752,73
171.728,77
172.655,76
173.531,76
174.751,78
175.722,80
176.608,79
177.777,75
178.612,75
179.551,72
181.037,68
181.575,66
182.501,61
183.673,56
184.548,50
185.474,54
186.646,51
187.578,60
188.447,66
189.816,67
190.544,69
191.860,68
192.592,70
193.517,65
194.688,67
195.614,65
196.567,33
197.612,38
198.734,51
199.806,48
200.342,46
201.614,60
202.484,58
203.461,65
204.586,77
205.414,74
206.341,56
207.603,45
208.399,48
209.376,65
210.482,75
211.362,63
212.296,68
213.725,62
214.382,68
215.325,53
216.430,44
217.356,44
218.234,45
219.458,52
220.375,55
221.208,60
222.424,56
223.302,54
224.200,63
225.398,66
226.275,65
227.153,62
228.372,62
229.277,56
230.129,52
231.347,39
232.224,36
233.149,36
234.708,39
235.291,46
236.325,64
237.386,71
238.218,76
239.288,70
240.267,65
241.195,72
242.070,73
243.265,73
244.212,75
245.284,80
246.214,80
247.241,75
248.019,68
249.296,70
250.114,77
251.233,59
252.163,58
253.163,43
253.969,41
255.199,45
256.252,37
257.132,31
258.159,30
259.033,31
259.911,55
261.273,61
262.007,54
262.884,71
264.150,83
264.983,72
266.013,67
267.318,74
267.957,75
268.835,72
270.052,73
270.979,78
271.856,78
273.029,80
274.004,82
275.019,77
276.093,38
276.877,36
277.801,31
278.971,30
279.897,33
280.774,34
281.998,63
282.871,75
283.755,72
285.360,76
285.893,79
286.873,81
287.987,80
288.819,80
289.695,77
290.916,79
291.792,82
292.695,78
293.910,80
294.859,81
295.692,83
296.862,82
297.739,78
298.912,78
299.838,37
300.761,26
301.638,14
302.954,0
303.737,15
304.761,14
305.797,37
306.708,62
307.683,68
308.755,64
309.732,51
310.711,41
312.216,42
312.707,64
313.536,58
314.797,55
315.629,39
316.528,40
317.822,60
318.655,76
319.778,67
320.798,64
321.670,62
322.582,58
323.721,64
324.599,68
325.771,70
326.698,79
327.572,79
328.695,74
329.637,75
330.786,76
331.620,76
332.693,78
333.853,78
334.546,79
335.669,81
336.496,84
337.467,86
338.646,81
339.466,74
340.791,75
341.611,79
342.683,80
343.659,80
344.825,78
345.516,78
346.342,79
347.658,73
348.387,70
349.651,75
350.485,75
351.554,77
352.436,78
353.510,81
354.432,83
355.310,82
356.525,77
357.410,74
358.238,78
359.453,83
360.671,73
361.254,64
362.479,72
363.304,78
364.230,60
365.890,40
366.576,40
367.249,42
368.909,42
369.251,42
370.178,48
371.543,64
372.424,41
373.201,32
374.347,35
375.393,36
376.295,42
377.549,63
378.323,75
379.290,81
380.318,80
381.291,76
382.264,68
383.297,59
384.275,55
385.097,58
386.373,54
387.142,54
388.067,69
389.238,72
390.164,73
391.138,67
392.211,50
393.139,31
394.064,0
395.307,0
396.111,28
397.278,24
398.207,0
399.210,28
400.015,21
401.229,48
402.204,45
402.962,44
404.249,43
405.032,45
405.912,45
407.130,48
408.061,57
409.223,56
410.197,59
411.027,50
412.146,51
413.079,46
414.004,34
414.881,44
416.049,49
416.978,50
417.953,51
419.071,46
420.192,54
420.826,61
422.052,84
422.944,82
424.141,81
424.994,78
425.896,78
427.187,78
428.048,77
428.967,76
429.747,79
431.016,79
431.894,79
433.041,80
433.968,79
434.816,77
435.743,79
437.010,82
437.791,86
438.960,83
439.886,84
440.795,84
441.740,83
442.956,84
444.131,84
444.664,63
445.833,56
446.760,41
447.640,41
448.890,42
449.814,33
450.665,29
451.894,30
452.854,26
453.679,20
454.889,25
455.680,28
456.558,27
457.825,24
458.702,26
459.833,0
460.752,30
461.629,22
462.554,0
463.774,34
464.651,29
465.549,36
466.743,50
467.872,43
468.504,61
469.675,65
470.598,54
471.526,65
472.748,70
473.861,76
474.597,63
