df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,temperature
5.354,23.656
6.526,23.766
7.352,23.906
8.327,24.109
9.399,24.312
10.328,24.484
11.350,24.688
12.327,24.891
13.498,25.156
14.333,25.438
15.347,25.797
16.370,26.125
17.368,26.375
18.320,26.594
19.345,26.812
20.329,27.031
21.374,27.266
22.468,27.531
23.358,27.766
24.365,27.953
25.396,28.156
26.363,28.328
27.338,28.516
28.362,28.672
29.583,28.875
30.361,29.156
31.384,29.391
32.359,29.609
33.361,29.766
34.358,30.016
35.381,30.172
36.356,30.375
37.331,30.594
38.359,30.797
39.576,30.969
40.402,31.062
41.328,31.156
42.352,31.234
43.326,31.375
44.351,31.500
45.374,31.625
46.546,31.719
47.324,31.766
48.347,31.906
49.337,31.953
50.347,32.062
51.321,32.125
52.411,32.219
53.369,32.312
54.638,32.312
55.516,32.406
56.362,32.469
57.317,32.562
58.351,32.625
59.326,32.688
60.376,32.719
61.460,32.812
62.338,32.875
63.313,32.906
64.346,32.969
65.331,33.031
66.335,33.094
67.310,33.125
68.452,33.156
69.365,33.219
70.332,33.250
71.453,33.250
72.351,33.312
73.355,33.375
74.527,33.406
75.403,33.438
76.396,33.500
77.452,33.594
78.330,33.625
79.350,33.656
80.373,33.688
81.349,33.750
82.323,33.781
83.365,33.844
84.328,33.906
85.497,33.938
86.715,33.938
87.394,33.938
88.443,33.969
89.365,33.969
90.319,34.094
91.373,34.125
92.347,34.188
93.341,34.188
94.316,34.156
95.339,34.188
96.314,34.250
97.483,34.312
98.313,34.344
99.380,34.375
100.507,34.375
101.334,34.375
102.310,34.375
103.336,34.375
104.308,34.469
105.332,34.469
106.309,34.469
107.331,34.438
108.585,34.469
109.335,34.469
110.363,34.500
111.328,34.531
112.303,34.594
113.332,34.625
114.301,34.625
115.325,34.625
116.359,34.625
117.336,34.656
118.368,34.719
119.376,34.719
120.346,34.688
121.321,34.688
122.345,34.688
123.468,34.688
124.343,34.688
125.332,34.719
126.342,34.812
127.317,34.844
128.343,34.812
129.315,34.844
130.683,35.000
131.317,35.031
132.337,35.062
133.336,35.094
134.433,35.125
135.311,35.125
136.336,35.125
137.310,35.125
138.338,35.125
139.316,35.125
140.332,34.969
141.307,35.000
142.391,35.000
143.306,35.000
144.329,35.000
145.327,35.031
146.328,35.031
147.403,35.062
148.331,35.062
149.301,35.094
150.332,35.125
151.694,35.125
152.324,35.125
153.299,35.156
154.322,35.156
155.376,35.125
156.321,35.125
157.306,35.125
158.319,35.125
159.300,35.125
160.318,35.125
161.293,35.156
162.339,35.156
163.292,35.125
164.344,35.125
165.312,35.188
166.460,35.188
167.387,35.219
168.325,35.250
169.336,35.250
170.372,35.312
171.335,35.344
172.605,35.344
173.334,35.406
174.315,35.406
175.340,35.375
176.307,35.375
177.331,35.406
178.312,35.406
179.354,35.406
180.309,35.406
181.328,35.375
182.303,35.406
183.337,35.406
184.353,35.469
185.325,35.438
186.306,35.438
187.349,35.375
188.348,35.406
189.334,35.406
190.297,35.438
191.321,35.438
192.386,35.438
193.320,35.438
194.303,35.469
195.322,35.500
196.293,35.469
197.316,35.531
198.486,35.500
199.322,35.500
200.315,35.500
201.342,35.500
202.397,35.531
203.372,35.500
204.303,35.500
205.311,35.469
206.301,35.500
207.310,35.500
208.309,35.500
209.384,35.531
210.284,35.562
211.317,35.562
212.387,35.531
213.306,35.531
214.281,35.562
215.331,35.562
216.280,35.594
217.326,35.562
218.330,35.594
219.399,35.594
220.325,35.562
221.303,35.562
222.324,35.594
223.448,35.625
224.344,35.656
225.298,35.656
226.325,35.625
227.296,35.625
228.323,35.688
229.377,35.656
230.420,35.688
231.294,35.688
232.347,35.719
233.341,35.688
234.413,35.625
235.320,35.656
236.340,35.688
237.633,35.656
238.329,35.625
239.314,35.625
240.360,35.625
241.301,35.625
242.348,35.625
243.323,35.625
244.455,35.625
245.651,35.625
246.344,35.656
247.531,35.656
248.306,35.656
249.375,35.656
250.305,35.656
251.331,35.656
252.342,35.656
253.340,35.688
254.634,35.719
255.303,35.719
256.460,35.688
257.324,35.688
258.348,35.719
259.274,35.750
260.304,35.750
261.333,35.750
262.297,35.719
263.320,35.719
264.306,35.750
265.571,35.750
266.307,35.812
267.347,35.812
268.295,35.812
269.319,35.812
270.688,35.844
271.319,35.844
272.348,35.844
273.313,35.875
274.289,35.844
275.341,35.844
276.287,35.844
277.326,35.875
278.286,35.875
279.314,35.875
280.284,35.875
281.308,35.875
282.291,35.906
283.366,35.875
284.286,35.875
285.698,35.875
286.286,35.875
287.303,35.875
288.284,35.844
289.302,35.844
290.297,35.875
291.301,35.875
292.284,35.875
293.351,35.844
294.280,35.844
295.299,35.875
296.420,35.875
297.299,35.844
298.341,35.875
299.300,35.938
300.271,35.938
301.295,35.906
302.416,35.938
303.399,35.969
304.268,35.938
305.314,35.906
306.315,35.906
307.440,35.906
308.265,35.875
309.289,35.844
310.494,35.844
311.288,35.812
312.655,35.812
313.320,35.781
314.298,35.781
315.290,35.812
316.315,35.844
317.490,35.875
318.313,35.875
