df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,rr_int
8.936,3915
9.179,340
9.182,15
9.186,25
9.472,10
9.911,285
10.596,335
11.276,710
11.279,650
11.422,10
11.425,180
11.471,45
11.569,10
11.866,35
12.401,305
13.080,620
13.909,700
14.640,785
15.469,775
15.858,730
15.862,490
15.865,15
16.151,10
16.980,275
17.662,805
18.491,760
18.785,760
18.796,270
18.803,10
19.222,30
20.051,450
20.343,820
20.347,220
20.539,20
20.880,10
21.562,535
21.708,750
21.856,250
21.903,10
23.123,500
23.805,770
23.808,710
24.105,10
24.246,235
24.488,10
25.316,430
26.145,815
26.876,840
27.288,745
27.562,360
28.387,400
29.216,805
29.947,805
30.206,730
30.240,210
30.243,10
30.247,20
30.250,15
30.779,15
31.459,500
31.758,790
32.000,165
32.162,50
32.976,505
33.116,980
35.654,965
35.946,1490
35.950,215
36.187,10
37.852,360
38.531,1610
38.820,800
38.826,280
39.356,10
40.234,485
40.480,810
40.526,270
40.916,15
41.745,450
42.428,810
43.159,790
43.554,710
43.649,290
43.654,10
43.697,15
43.988,110
44.675,295
45.500,810
46.181,775
46.473,745
46.481,225
46.523,15
47.016,15
47.839,505
48.570,815
48.813,785
48.816,290
48.865,10
49.399,25
50.228,435
50.910,840
51.787,810
51.885,775
52.031,185
52.035,60
52.519,10
53.303,515
54.128,810
54.274,765
54.372,275
55.505,455
56.322,785
57.202,795
57.886,775
58.710,795
59.393,790
59.685,740
59.689,225
59.733,15
60.222,15
60.952,480
61.635,760
61.928,765
62.025,290
62.028,10
62.485,10
63.195,440
63.975,775
64.718,810
65.389,740
65.828,695
66.218,395
67.485,425
68.854,1240
68.999,1435
69.142,10
69.164,160
69.340,10
71.239,505
71.926,1605
72.750,795
73.042,805
73.045,280
73.189,10
73.194,140
73.579,10
74.310,325
75.145,810
75.383,785
75.582,280
75.585,130
75.845,10
76.650,325
77.333,790
77.772,755
77.778,290
77.785,15
77.921,15
77.927,70
78.161,10
78.993,340
79.868,850
80.014,835
80.112,255
80.258,15
80.558,150
81.379,380
82.231,850
82.501,775
82.545,280
82.653,10
82.699,155
82.704,10
82.897,30
83.770,260
84.602,825
84.695,755
84.706,175
84.726,60
85.279,10
86.254,555
86.936,875
87.229,790
87.232,190
87.378,40
88.060,10
88.594,560
89.326,835
89.575,770
89.815,210
90.154,15
90.986,560
91.666,825
91.961,785
92.494,260
93.323,505
94.152,835
94.444,790
94.447,285
94.592,15
94.598,130
94.606,15
94.610,15
94.884,30
95.726,280
96.547,855
96.721,785
96.834,220
96.867,20
97.369,10
98.102,560
98.929,835
99.173,770
99.179,245
99.612,10
100.441,510
101.270,840
101.561,780
101.565,265
101.708,15
101.952,125
102.927,325
103.219,890
103.666,275
104.194,540
104.489,540
105.026,275
105.315,260
106.144,575
106.832,840
106.973,350
107.801,480
107.805,840
108.665,10
109.508,850
109.780,790
109.923,300
110.093,190
110.096,15
110.192,190
111.861,885
112.541,755
112.678,755
112.727,175
112.730,15
112.823,15
112.826,10
113.262,100
114.090,370
115.455,830
116.041,1480
117.698,545
117.942,1645
118.529,225
119.504,640
119.651,830
119.701,205
119.716,10
119.725,25
120.195,10
121.062,550
121.744,820
121.988,730
121.991,255
122.134,10
122.137,175
122.427,10
123.255,280
123.402,815
123.551,215
123.557,15
124.084,45
124.767,520
125.059,770
125.062,275
125.747,10
126.482,510
127.302,835
127.692,840
127.695,295
127.698,10
128.007,105
128.815,380
129.642,815
129.934,840
129.938,280
130.082,10
130.373,70
131.202,360
132.031,825
132.713,785
133.005,755
133.009,225
133.057,10
133.837,15
134.383,525
135.102,810
135.931,755
136.763,795
137.445,830
137.735,780
138.417,235
139.830,785
140.270,1310
140.272,445
140.275,10
140.513,15
142.171,305
142.334,1600
142.463,270
142.480,10
142.611,170
142.658,25
142.661,15
142.664,15
142.707,15
142.863,205
144.414,805
144.949,750
145.535,570
146.217,575
146.509,640
148.021,300
148.703,1485
150.117,785
150.705,1335
150.800,495
151.628,285
151.920,805
151.924,245
151.970,15
151.973,20
151.977,15
152.067,30
152.070,60
152.115,10
152.119,10
152.360,25
152.603,325
153.189,225
153.433,590
153.579,280
154.017,40
154.557,460
154.992,640
155.239,320
155.821,270
156.503,660
156.796,690
156.942,330
156.949,10
157.917,365
158.169,675
158.456,275
158.600,10
159.286,420
160.122,740
160.257,765
160.403,205
160.410,40
160.501,10
160.842,15
161.671,510
161.915,790
161.918,260
161.963,10
162.499,15
162.649,495
163.193,170
163.864,590
164.011,690
164.015,190
164.163,15
164.311,35
164.596,10
165.424,495
166.107,745
166.253,725
166.258,175
166.351,50
166.356,10
166.792,10
167.236,505
167.277,380
167.282,10
167.300,15
167.375,150
168.447,875
168.600,285
168.642,15
168.645,10
168.649,10
168.652,30
168.742,25
168.886,20
169.714,280
169.720,790
170.549,10
171.518,790
171.667,765
171.674,285
172.055,10
172.786,470
173.468,780
173.761,715
173.764,270
174.153,10
174.980,450
175.711,780
176.543,745
177.222,750
177.904,795
178.734,720
179.465,805
180.147,695
180.829,675
