df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,quality
18.006,56
18.886,58
20.120,56
20.980,60
22.150,62
23.076,70
24.097,70
24.880,59
26.059,67
26.929,65
27.856,53
29.026,55
30.198,54
30.876,62
32.151,61
32.970,54
33.811,54
35.023,13
35.899,0
37.019,0
38.140,15
38.969,18
39.749,14
40.970,29
41.845,59
42.724,60
43.952,64
44.855,59
45.747,63
47.010,63
47.793,67
48.719,68
49.889,65
50.815,65
51.693,66
53.298,68
53.792,67
54.667,66
56.226,74
56.763,69
57.881,72
58.860,67
59.834,69
60.907,67
61.834,63
62.710,62
63.615,64
65.001,55
65.712,60
66.610,44
67.878,13
68.850,18
69.584,0
70.754,0
71.921,0
72.558,22
73.810,23
74.657,38
75.535,47
76.703,48
77.643,71
78.509,59
79.726,62
80.602,56
81.528,58
82.890,58
83.626,55
84.487,62
85.672,66
86.651,65
87.431,68
88.646,69
89.569,76
90.450,73
91.619,73
92.546,76
93.469,72
94.642,72
95.712,69
96.399,63
97.569,66
98.501,67
99.468,68
100.589,63
101.472,71
102.347,61
103.658,56
104.440,46
105.511,36
106.537,37
107.415,32
108.341,42
109.755,45
110.389,52
111.510,47
112.485,48
113.510,53
114.291,16
115.512,26
116.386,24
117.262,32
118.432,22
119.358,22
120.247,0
121.455,30
122.340,65
123.210,53
124.523,61
125.306,62
126.213,62
127.403,60
128.426,57
129.206,59
130.520,57
131.254,50
132.180,54
133.542,55
134.376,56
135.154,62
136.470,66
137.250,72
138.127,75
139.347,63
140.223,47
141.149,44
142.326,45
143.197,45
144.075,47
145.297,42
146.171,26
147.174,0
148.267,0
149.145,0
150.071,0
151.241,0
152.216,0
153.045,0
154.223,28
155.190,25
156.021,38
157.334,29
158.161,52
158.993,57
160.169,55
161.089,57
162.063,58
163.186,56
164.157,64
164.945,62
166.161,60
167.229,61
167.965,62
169.425,56
170.012,57
171.230,52
172.355,51
172.986,73
173.996,67
175.080,63
176.007,71
176.887,67
178.054,53
179.034,55
179.858,55
181.028,54
182.246,44
182.832,53
184.052,52
184.928,36
185.805,20
187.121,20
187.902,0
188.779,0
190.000,0
190.875,0
191.802,0
193.218,31
193.895,59
194.801,57
196.137,56
196.969,46
197.749,51
198.919,53
199.846,59
200.725,56
202.137,57
202.819,69
203.697,66
204.915,64
206.087,54
206.673,57
207.892,56
208.959,54
209.790,57
210.864,59
211.884,53
212.667,50
213.872,57
214.714,54
215.786,53
216.811,51
217.738,61
218.618,64
220.073,68
220.902,65
221.599,65
222.782,27
223.830,19
224.589,0
226.073,19
226.661,20
227.586,23
228.755,43
229.680,41
230.799,49
231.728,51
232.901,0
233.529,23
234.702,28
235.580,0
236.506,2
237.676,0
238.849,4
239.479,7
240.656,0
241.673,0
242.504,0
243.625,0
244.552,0
245.427,0
246.599,0
247.815,0
248.495,8
249.717,36
250.497,38
251.376,1
252.593,53
253.471,45
254.348,6
255.620,0
256.446,0
257.427,0
258.541,0
259.446,0
260.345,0
261.674,28
262.393,23
263.316,0
264.537,24
265.415,0
266.389,0
267.464,26
268.391,52
269.268,47
270.485,45
271.362,55
272.296,21
273.463,23
274.336,23
275.213,26
276.433,27
277.310,20
278.259,25
279.406,24
280.332,17
281.212,15
282.391,18
283.306,18
284.184,26
285.354,29
286.280,29
287.401,37
288.522,61
289.494,51
290.133,46
291.352,44
292.233,42
293.251,33
294.325,32
295.444,29
296.079,33
297.298,28
298.369,27
299.393,30
300.271,0
301.294,0
302.075,0
303.391,28
304.220,28
305.050,28
306.218,28
307.190,19
308.022,47
309.192,51
310.119,53
311.191,54
312.215,36
313.092,39
314.113,41
315.189,41
316.091,36
316.944,28
318.168,0
319.040,39
319.966,30
321.136,24
322.017,37
322.940,38
324.152,47
324.987,44
325.959,60
327.085,73
328.156,85
328.937,79
330.395,75
330.984,58
331.861,52
333.081,28
334.006,0
335.130,2
336.199,0
336.969,0
337.810,24
339.028,23
339.905,0
340.832,6
342.003,23
343.182,0
343.805,0
345.121,0
346.096,24
346.925,17
347.949,37
349.167,29
349.752,23
350.922,19
351.849,29
352.726,27
353.972,30
354.824,0
355.967,58
356.919,67
357.942,61
358.674,35
359.893,19
360.818,21
361.698,0
362.867,21
364.037,27
364.672,0
365.840,5
366.717,0
367.644,2
368.816,0
369.742,18
370.618,21
371.789,21
372.737,32
373.591,36
374.810,4
375.690,53
376.714,40
377.784,38
378.662,28
379.539,0
380.762,0
381.636,32
382.561,29
383.732,0
384.761,17
385.538,21
386.705,25
387.583,0
388.510,0
389.871,0
390.557,0
391.492,5
392.701,29
393.530,20
394.459,0
395.627,0
396.696,0
397.479,0
398.651,0
399.528,10
400.406,15
401.623,7
402.501,7
403.444,27
404.597,32
405.514,41
406.354,0
407.713,33
408.494,31
409.374,56
410.544,55
411.422,49
412.492,5
413.523,10
414.500,4
415.322,0
416.586,47
417.419,45
418.297,0
419.474,27
420.487,26
421.318,0
422.878,0
423.365,0
424.275,0
425.464,0
426.483,0
427.219,23
428.437,26
429.359,33
430.242,36
431.410,27
432.287,36
433.217,34
