df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,ppg_quality
58.930,88
59.940,86
62.970,87
64.990,89
67.010,87
69.030,105
71.050,95
72.060,85
74.080,78
76.100,74
77.110,80
78.120,58
80.140,40
81.150,49
82.160,54
84.180,53
85.190,47
87.210,50
89.230,55
91.250,61
93.270,65
94.280,68
95.290,69
96.300,68
98.320,74
100.340,78
102.360,74
104.380,68
106.400,73
107.410,79
108.420,78
109.430,79
111.450,73
112.460,70
113.470,67
114.480,73
115.490,83
117.510,80
119.530,76
120.540,77
122.560,85
123.570,90
124.580,86
126.600,73
128.620,74
130.640,60
131.650,58
133.670,54
135.690,64
137.710,71
139.730,68
141.750,66
142.760,73
144.780,74
145.790,80
147.810,95
148.820,96
149.830,98
151.850,96
152.860,85
154.880,69
155.890,55
157.910,30
159.930,24
162.960,57
163.970,68
167.000,89
169.020,95
171.040,94
173.060,83
174.070,83
176.090,89
177.100,88
178.110,85
180.130,84
182.150,77
184.170,67
186.190,54
188.210,62
190.230,60
191.240,61
193.260,54
194.270,53
195.280,72
196.290,57
197.300,52
199.320,66
200.330,62
201.340,70
202.350,77
204.370,83
206.390,82
208.410,80
210.430,73
211.440,69
212.450,67
213.460,72
214.470,79
215.480,87
217.500,98
219.520,97
220.530,97
221.540,93
222.550,92
224.570,61
226.590,36
228.610,30
230.630,35
231.640,39
232.650,26
235.680,51
237.700,34
239.720,26
241.740,29
243.760,50
245.780,58
246.790,70
248.810,76
249.820,64
250.830,67
252.850,47
254.870,40
256.890,20
257.900,30
258.910,44
259.920,56
261.940,50
263.960,46
265.980,63
268.000,44
269.010,45
270.020,39
271.030,47
272.040,40
273.050,45
275.070,34
277.090,30
279.110,21
280.120,21
282.140,20
284.160,17
286.180,19
287.190,27
288.200,31
290.220,38
292.240,47
293.250,56
295.270,70
297.290,57
299.310,59
301.330,61
302.340,53
303.350,47
306.380,36
307.390,30
308.400,35
310.420,35
312.440,33
314.460,47
317.490,34
318.500,22
319.510,10
328.600,7
330.620,24
332.640,46
334.660,57
336.680,63
338.700,59
339.710,53
341.730,59
342.740,56
343.750,41
356.880,2
358.900,2
360.920,31
361.930,35
363.950,48
364.960,47
365.970,49
367.990,63
370.010,69
371.020,63
372.030,55
373.040,46
375.060,62
377.080,33
379.100,38
381.120,24
382.130,17
383.140,9
390.200,1
392.220,24
394.240,40
397.270,25
399.290,26
400.300,26
402.320,19
403.330,19
405.350,48
406.360,43
407.370,42
408.380,42
409.390,35
410.400,19
421.510,17
423.530,38
425.550,50
427.570,41
429.590,32
430.600,24
431.610,20
432.620,18
435.650,9
436.660,16
437.670,20
439.690,37
440.700,55
441.710,66
443.730,77
445.750,87
447.770,78
448.780,68
449.790,63
451.810,55
452.820,48
454.840,36
456.860,36
458.880,45
460.900,25
462.920,28
463.930,34
465.950,45
466.960,57
469.990,72
472.010,82
473.020,80
475.040,76
477.060,64
479.080,63
481.100,69
483.120,61
484.130,54
485.140,40
