df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,battery
7.425,27
17.419,26
27.463,26
37.553,26
47.449,26
57.443,26
67.439,26
77.430,26
87.425,26
97.418,25
107.511,25
117.429,26
127.545,26
137.442,25
147.442,25
157.430,25
167.424,25
177.418,25
187.513,25
197.429,25
207.398,25
217.490,25
227.386,25
237.429,25
247.423,24
257.465,24
267.411,24
277.404,24
287.498,24
297.392,24
307.386,24
317.380,24
327.373,24
337.416,24
347.410,23
357.404,23
367.397,23
377.444,23
387.385,23
397.379,23
407.375,23
417.369,23
427.409,23
437.409,23
447.397,23
457.487,22
467.384,22
477.478,22
