df_hash,22ZHK4.PAAYSG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.38QT
person_label,V48
date_time_start,2025-10-30_17-40-51.195000_+03
date_time_start_unix,1761831651.195
date_time_end,2025-10-30_17-49-01.529000_+03
length_difference_noticed,no

time,temperature
5.524,33.719
6.547,33.750
7.543,33.750
8.550,33.812
9.521,33.844
10.545,33.875
11.520,33.938
12.543,33.969
13.519,33.969
14.542,33.969
15.517,34.031
16.541,34.062
17.516,34.062
18.541,34.062
19.535,34.062
20.542,34.094
21.514,34.062
22.538,34.062
23.547,34.031
24.536,34.062
25.560,34.062
26.535,34.062
27.558,34.094
28.534,34.062
29.558,33.969
30.776,34.000
31.556,34.031
32.534,34.031
33.555,34.125
34.728,34.125
35.554,34.125
36.529,34.125
37.558,34.125
38.527,34.156
39.551,34.250
40.531,34.219
41.550,34.219
42.526,34.250
43.548,34.219
44.670,34.219
45.548,34.250
46.528,34.250
47.546,34.312
48.521,34.312
49.596,34.344
50.520,34.344
51.544,34.375
52.570,34.375
53.546,34.344
54.518,34.375
55.558,34.375
56.517,34.375
57.540,34.406
58.515,34.406
59.539,34.406
60.611,34.438
61.559,34.469
62.522,34.469
63.537,34.531
64.706,34.531
65.535,34.531
66.542,34.531
67.777,34.531
68.509,34.562
69.533,34.562
70.508,34.594
71.677,34.594
72.507,34.625
73.531,34.594
74.554,34.625
75.577,34.594
76.553,34.625
77.528,34.625
78.552,34.625
79.530,34.625
80.551,34.594
81.820,34.594
82.647,34.562
83.524,34.594
84.549,34.594
85.523,34.625
86.546,34.625
87.522,34.625
88.550,34.625
89.520,34.625
90.544,34.625
91.519,34.625
92.789,34.688
93.519,34.688
94.542,34.719
95.720,34.688
96.540,34.719
97.516,34.688
98.539,34.719
99.514,34.750
100.538,34.750
101.516,34.750
102.537,34.750
103.561,34.781
104.536,34.750
105.516,34.750
106.829,34.750
107.515,34.750
108.534,34.781
109.759,34.750
110.532,34.812
111.516,34.812
112.530,34.812
113.515,34.812
114.530,34.844
115.897,34.844
116.528,34.875
117.506,34.906
118.526,34.875
119.648,34.875
120.525,34.875
121.526,34.844
122.524,34.875
123.548,34.875
124.529,34.875
125.524,34.844
126.571,34.844
127.550,34.844
128.521,34.875
129.577,34.812
130.526,34.844
131.543,34.844
132.518,34.844
133.547,34.844
134.518,34.875
135.541,34.938
136.516,34.906
137.539,34.938
138.515,34.938
139.542,35.000
140.954,35.000
141.537,35.062
142.512,35.031
143.536,35.062
144.511,35.000
145.539,34.969
146.513,34.969
147.544,35.000
148.508,35.000
149.532,35.000
150.508,35.000
151.532,34.938
152.506,35.000
153.530,34.969
154.553,34.969
155.528,35.000
156.515,35.031
157.527,34.969
158.532,34.938
159.563,34.938
160.504,34.938
161.525,34.969
162.646,34.938
163.524,34.969
164.499,34.969
165.522,34.969
166.743,34.938
167.522,34.938
168.496,35.000
169.520,35.000
170.543,35.000
171.549,35.031
172.542,35.062
173.517,35.062
174.541,35.094
175.516,35.094
176.539,35.094
177.549,35.125
178.539,35.094
179.514,35.125
180.537,35.125
181.512,35.125
182.539,35.094
183.709,35.094
184.637,35.156
185.510,35.156
186.582,35.219
187.519,35.219
188.535,35.219
189.509,35.156
190.534,35.188
191.506,35.156
192.530,35.188
193.505,35.188
194.529,35.125
195.504,35.125
196.527,35.094
197.509,35.094
198.526,35.094
199.528,35.125
200.525,35.125
201.500,35.156
202.575,35.156
203.547,35.156
204.523,35.156
205.741,35.188
206.521,35.219
207.496,35.219
208.521,35.250
209.690,35.250
210.519,35.219
211.494,35.250
212.518,35.219
213.495,35.219
214.519,35.219
215.491,35.219
216.515,35.188
217.494,35.219
218.524,35.219
219.538,35.156
220.610,35.188
221.585,35.125
222.512,35.156
223.561,35.219
224.510,35.250
225.537,35.281
226.509,35.281
227.532,35.312
228.508,35.344
229.531,35.375
230.506,35.375
231.530,35.500
232.505,35.500
233.534,35.562
234.553,35.594
235.552,35.562
236.600,35.562
237.528,35.500
238.550,35.500
239.525,35.469
240.500,35.500
241.524,35.375
242.550,35.375
243.523,35.250
244.498,35.219
245.522,35.188
246.503,35.188
247.520,35.219
248.501,35.250
249.519,35.281
250.792,35.281
251.666,35.281
252.495,35.281
253.565,35.312
254.492,35.312
255.515,35.344
256.588,35.250
257.514,35.250
258.491,35.250
259.514,35.219
260.488,35.219
261.511,35.250
262.487,35.281
263.511,35.312
264.634,35.312
265.518,35.344
266.484,35.406
267.751,35.438
268.483,35.438
269.507,35.406
270.579,35.406
271.505,35.375
272.545,35.344
273.504,35.375
274.557,35.281
275.503,35.281
276.527,35.281
277.502,35.312
278.525,35.375
279.501,35.375
280.524,35.375
281.548,35.406
282.524,35.438
283.518,35.406
284.535,35.562
285.497,35.594
286.521,35.625
287.544,35.594
288.763,35.500
289.559,35.500
290.518,35.531
291.574,35.500
292.517,35.531
293.493,35.562
294.566,35.469
295.737,35.438
296.514,35.469
297.489,35.500
298.513,35.500
299.781,35.500
300.512,35.500
301.487,35.469
302.511,35.469
303.490,35.469
304.509,35.438
305.734,35.438
306.524,35.406
307.611,35.406
308.507,35.438
309.482,35.438
310.895,35.469
311.481,35.469
312.505,35.500
313.480,35.469
314.503,35.531
315.482,35.562
316.502,35.562
317.477,35.531
318.501,35.500
