df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,temperature
5.110,33.875
6.102,33.875
7.077,33.906
8.100,33.906
9.075,33.938
10.099,33.969
11.123,33.938
12.098,33.969
13.122,33.969
14.097,34.000
15.121,33.969
16.101,34.000
17.119,34.000
18.292,34.031
19.118,34.031
20.339,34.000
21.117,34.062
22.092,34.062
23.116,34.062
24.113,34.062
25.114,34.062
26.130,34.094
27.113,34.125
28.088,34.156
29.112,34.156
30.087,34.188
31.111,34.219
32.098,34.219
33.109,34.281
34.233,34.281
35.108,34.344
36.083,34.375
37.107,34.344
38.082,34.344
39.106,34.375
40.138,34.344
41.104,34.344
42.079,34.344
43.103,34.344
44.519,34.375
45.101,34.375
46.077,34.375
47.123,34.406
48.130,34.438
49.125,34.406
50.321,34.438
51.099,34.438
52.073,34.500
53.097,34.531
54.121,34.469
55.096,34.531
56.071,34.531
57.095,34.531
58.070,34.531
59.098,34.500
60.117,34.469
61.103,34.500
62.122,34.469
63.093,34.500
64.115,34.500
65.122,34.500
66.113,34.531
67.088,34.594
68.115,34.594
69.087,34.625
70.111,34.656
71.086,34.656
72.110,34.688
73.085,34.688
74.112,34.719
75.083,34.688
76.107,34.656
77.082,34.688
78.107,34.719
79.081,34.688
80.250,34.688
81.080,34.688
82.104,34.688
83.088,34.750
84.102,34.750
85.077,34.750
86.130,34.781
87.089,34.781
88.100,34.719
89.075,34.688
90.098,34.750
91.220,34.781
92.097,34.781
93.072,34.781
94.096,34.781
95.102,34.812
96.095,34.750
97.218,34.750
98.094,34.781
99.070,34.812
100.092,34.812
101.067,34.812
102.091,34.812
103.066,34.812
104.089,34.812
105.113,34.781
106.088,34.844
107.359,34.844
108.089,34.844
109.111,34.844
110.086,34.844
111.110,34.812
112.137,34.812
113.109,34.812
114.084,34.812
115.107,34.844
116.082,34.875
117.106,34.906
118.083,34.938
119.105,34.906
120.080,34.906
121.104,34.969
122.084,34.938
123.102,34.906
124.085,34.906
125.101,34.906
126.077,34.906
127.343,34.844
128.076,34.844
129.099,34.906
130.074,34.906
131.101,34.875
132.072,34.906
133.141,34.938
134.071,34.938
135.095,34.938
136.070,34.938
137.127,34.969
138.313,35.000
139.093,35.000
140.068,35.000
141.098,35.031
142.066,35.094
143.090,35.094
144.065,35.094
145.089,35.094
146.276,35.125
147.088,35.125
148.160,35.094
149.135,35.125
150.061,35.094
151.085,35.062
152.064,35.031
153.084,35.062
154.059,35.062
155.090,35.062
156.107,35.031
157.081,35.031
158.105,35.000
159.080,35.000
160.104,35.000
161.079,35.031
162.103,35.094
163.515,35.062
164.101,35.125
165.078,35.125
166.113,35.156
167.075,35.156
168.099,35.219
169.074,35.188
170.098,35.219
171.072,35.188
172.103,35.156
173.075,35.125
174.131,35.156
175.070,35.125
176.094,35.125
177.073,35.156
178.483,35.125
179.072,35.125
180.106,35.125
181.077,35.156
182.090,35.156
183.065,35.156
184.089,35.125
185.073,35.125
186.088,35.094
187.063,35.125
188.135,35.156
189.062,35.156
190.085,35.156
191.158,35.156
192.084,35.125
193.059,35.188
194.088,35.156
195.058,35.188
196.082,35.156
197.057,35.156
198.080,35.125
199.202,35.125
200.079,35.156
201.054,35.156
202.078,35.156
203.053,35.156
204.077,35.188
205.052,35.188
206.076,35.188
207.101,35.188
208.078,35.219
209.098,35.250
210.097,35.250
211.099,35.281
212.072,35.281
213.096,35.250
214.268,35.250
215.094,35.281
216.069,35.281
217.093,35.250
218.068,35.219
219.098,35.219
220.093,35.188
221.091,35.188
222.066,35.188
223.089,35.219
224.211,35.250
225.088,35.250
226.064,35.250
227.087,35.250
228.063,35.281
229.088,35.281
230.084,35.281
231.086,35.281
232.065,35.281
233.083,35.312
234.059,35.312
235.107,35.281
236.060,35.281
237.081,35.344
238.056,35.312
239.079,35.312
240.154,35.312
241.324,35.344
242.053,35.312
243.081,35.344
244.083,35.344
245.076,35.375
246.102,35.375
247.083,35.344
248.050,35.375
249.073,35.406
250.097,35.344
251.072,35.344
252.047,35.375
253.092,35.344
254.046,35.344
255.215,35.312
256.154,35.250
257.068,35.219
258.092,35.156
259.067,35.156
260.093,35.188
261.066,35.188
262.090,35.188
263.065,35.219
264.088,35.188
265.063,35.219
266.087,35.281
267.083,35.250
268.086,35.344
269.263,35.312
270.108,35.312
271.158,35.281
272.190,35.281
273.059,35.250
274.134,35.250
275.057,35.250
276.081,35.219
277.060,35.250
278.279,35.219
279.055,35.250
280.078,35.281
281.054,35.250
282.079,35.312
283.152,35.281
284.076,35.312
285.082,35.281
286.321,35.312
287.051,35.281
288.074,35.312
289.054,35.344
290.073,35.281
291.096,35.312
292.072,35.281
293.046,35.312
294.070,35.312
295.045,35.375
296.073,35.375
297.193,35.375
298.067,35.375
299.042,35.312
300.066,35.375
301.041,35.344
302.065,35.344
303.286,35.312
304.064,35.344
305.087,35.344
306.068,35.375
307.312,35.312
308.061,35.312
309.085,35.312
310.067,35.312
311.083,35.344
312.059,35.375
313.082,35.406
314.401,35.375
315.081,35.375
316.056,35.344
317.080,35.406
318.448,35.406
