df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,quality
15.042,56
16.095,54
17.411,32
18.011,0
18.878,0
20.098,0
20.982,0
21.855,30
23.073,0
24.096,14
24.827,0
26.112,25
26.921,0
27.944,36
29.019,63
29.896,63
30.829,70
32.092,66
32.868,73
33.798,43
34.967,47
35.894,48
37.061,39
37.940,51
38.865,63
39.742,55
40.912,58
41.838,66
42.750,62
43.888,62
44.812,62
45.692,63
46.913,56
47.786,27
48.812,23
49.882,21
50.801,0
51.637,24
53.002,23
53.734,45
54.611,33
55.878,50
56.711,51
57.588,59
58.815,73
59.683,77
60.610,56
62.116,46
62.655,46
63.582,60
64.753,57
65.775,56
66.849,69
67.725,85
68.702,82
69.553,72
70.793,71
71.653,69
72.743,65
73.724,60
74.599,65
75.479,81
76.743,80
77.575,55
78.451,53
79.814,59
80.549,60
81.474,61
82.645,46
83.522,43
84.449,22
85.616,0
86.786,0
87.420,20
88.635,28
89.518,40
90.417,52
91.564,32
92.490,37
93.462,55
94.841,59
95.466,53
96.343,51
97.563,57
98.442,58
99.316,59
100.535,54
101.704,61
102.293,69
103.508,82
104.385,84
105.555,79
106.482,78
107.606,76
108.285,81
109.455,75
110.340,65
111.356,65
112.429,87
113.596,88
114.233,82
115.841,79
116.282,74
117.209,75
118.768,80
119.449,80
120.180,79
121.352,75
122.280,73
123.156,78
124.324,80
125.250,70
126.155,60
127.493,34
128.249,32
129.296,34
130.321,35
131.198,51
132.124,55
133.294,83
134.469,79
135.049,74
136.268,51
137.148,33
138.023,19
139.287,21
140.120,19
141.091,19
142.215,23
143.190,16
144.025,0
145.189,0
146.264,31
146.995,25
148.358,24
149.046,34
149.979,40
151.138,55
152.016,49
152.943,56
154.113,65
155.083,61
155.915,67
157.240,33
158.011,30
158.889,30
160.058,32
160.985,27
161.959,31
163.078,29
163.958,25
164.840,51
166.105,51
166.934,35
167.910,63
169.030,76
169.909,69
170.783,47
172.096,40
172.882,38
174.061,61
175.021,38
176.003,47
176.731,61
177.949,55
178.827,49
179.753,29
181.067,25
181.801,0
182.727,0
183.897,0
185.068,0
185.701,0
186.873,0
187.748,0
188.777,0
189.844,0
190.722,41
191.697,53
192.870,48
193.744,52
194.917,58
195.860,51
196.815,55
197.596,58
198.815,61
199.695,68
200.570,65
201.835,65
202.666,72
203.546,67
204.762,65
205.640,64
206.517,71
207.744,73
208.662,72
209.494,77
210.856,81
211.830,65
212.467,44
213.685,54
214.563,44
215.487,36
216.657,44
217.828,67
218.510,70
220.025,66
220.509,73
221.435,77
222.946,74
223.501,67
224.700,73
225.870,77
226.456,79
227.382,66
228.553,59
229.430,66
230.385,63
231.526,62
232.796,54
233.330,48
234.646,37
235.426,42
236.304,41
237.474,32
238.403,24
239.277,0
240.447,1
241.374,7
242.251,6
243.470,0
244.348,7
245.322,0
246.443,31
247.321,35
248.199,37
249.430,42
250.295,28
251.464,40
252.392,35
253.414,37
254.195,40
255.365,54
256.242,67
257.170,79
258.533,62
259.216,32
260.142,24
261.319,24
262.431,33
263.116,36
264.286,33
265.212,40
266.331,45
267.260,49
268.186,29
269.065,31
270.383,33
271.352,56
272.184,69
273.257,66
274.241,70
275.011,64
276.231,59
277.108,59
278.082,58
279.206,58
280.227,58
280.959,54
282.178,56
283.104,49
283.981,65
285.156,70
286.031,86
286.957,82
288.128,81
289.049,82
289.944,87
291.196,88
291.977,83
292.905,85
294.080,78
294.981,74
295.883,71
297.046,73
297.973,76
298.850,78
300.020,80
300.947,81
301.824,81
302.995,79
303.920,53
304.799,24
306.062,0
306.894,3
307.967,0
308.993,0
309.868,0
310.745,0
311.965,63
312.844,77
313.719,74
314.938,73
315.858,77
316.693,82
317.957,79
319.078,76
319.717,78
320.891,34
321.763,28
322.689,19
323.863,14
324.977,0
325.663,0
326.835,20
327.714,53
328.734,66
329.855,58
330.737,68
331.659,67
332.814,74
333.707,78
334.880,78
335.757,83
336.680,79
337.559,76
338.777,72
339.655,67
340.532,64
341.751,68
342.629,67
343.508,69
344.870,70
345.894,73
346.481,75
347.698,70
348.621,73
349.601,76
350.675,76
351.578,71
352.429,78
353.645,80
354.524,85
355.452,49
356.620,38
357.497,28
358.487,30
359.619,28
360.719,21
361.397,27
362.567,36
363.493,32
364.371,33
365.541,37
366.467,43
367.650,56
368.515,76
369.441,75
370.318,77
371.488,77
372.416,84
373.486,84
374.611,85
375.389,79
376.272,77
377.485,79
378.390,72
379.434,78
380.851,71
381.341,72
382.215,77
383.432,75
384.310,75
385.187,80
386.406,73
387.286,74
388.162,78
389.720,77
390.260,82
391.175,85
392.399,86
393.231,93
394.157,81
395.327,85
396.204,80
397.131,79
398.310,80
399.469,84
400.105,81
401.429,76
402.154,78
403.224,76
404.294,75
405.177,43
406.052,38
407.222,26
408.151,28
409.026,23
410.293,28
411.123,23
412.046,61
413.170,81
414.098,77
414.977,78
416.436,77
417.264,72
417.993,81
419.458,79
420.189,79
420.922,71
422.140,73
423.018,78
423.895,78
425.121,84
425.997,86
427.061,81
428.237,82
428.965,87
