df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,temperature
4.504,36.312
5.528,36.281
6.751,36.281
7.527,36.312
8.503,36.312
9.528,36.312
10.501,36.344
11.525,36.281
12.500,36.281
13.523,36.281
14.498,36.281
15.619,36.281
16.594,36.312
17.521,36.281
18.536,36.250
19.519,36.250
20.533,36.281
21.518,36.312
22.494,36.312
23.517,36.312
24.543,36.344
25.613,36.344
26.491,36.344
27.687,36.312
28.491,36.375
29.513,36.375
30.542,36.344
31.564,36.312
32.487,36.281
33.562,36.281
34.593,36.250
35.534,36.281
36.731,36.250
37.756,36.281
38.483,36.219
39.507,36.250
40.526,36.250
41.652,36.281
42.481,36.281
43.699,36.281
44.529,36.281
45.503,36.281
46.627,36.219
47.502,36.250
48.721,36.156
49.501,36.188
50.526,36.188
51.606,36.219
52.523,36.281
53.547,36.312
54.522,36.406
55.497,36.438
56.520,36.562
57.538,36.531
58.520,36.625
59.500,36.625
60.518,36.625
61.494,36.625
62.522,36.531
63.492,36.531
64.516,36.406
65.737,36.406
66.515,36.312
67.538,36.344
68.569,36.344
69.488,36.375
70.512,36.375
71.510,36.344
72.511,36.344
73.583,36.375
74.510,36.406
75.485,36.375
76.654,36.438
77.681,36.438
78.507,36.438
79.582,36.438
80.506,36.406
81.481,36.438
82.508,36.469
83.481,36.469
84.503,36.469
85.527,36.469
86.551,36.438
87.477,36.469
88.501,36.469
89.476,36.469
90.694,36.469
91.475,36.469
92.547,36.438
93.628,36.438
94.503,36.438
95.521,36.438
96.495,36.469
97.522,36.438
98.494,36.469
99.519,36.375
100.502,36.406
101.663,36.406
102.885,36.406
103.635,36.438
104.540,36.406
105.515,36.438
106.499,36.406
107.984,36.375
108.501,36.375
109.512,36.438
110.731,36.438
111.511,36.438
112.486,36.406
113.510,36.438
114.485,36.406
115.560,36.375
116.541,36.406
117.751,36.406
118.726,36.406
119.555,36.438
120.530,36.375
121.553,36.406
122.772,36.375
123.553,36.375
124.527,36.375
