df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,quality
31.908,55
32.736,24
33.979,26
34.827,38
35.951,41
36.877,40
38.098,33
38.681,39
39.851,36
41.069,36
41.800,26
42.825,38
43.995,40
44.629,32
46.241,32
46.725,27
47.602,29
49.113,34
49.698,27
50.576,25
51.820,26
52.867,26
53.563,49
54.772,61
55.646,59
56.764,57
57.742,69
58.619,62
59.897,62
60.716,72
61.639,68
62.517,73
63.689,68
64.859,76
65.493,74
66.664,69
67.587,71
68.565,76
69.638,78
70.564,74
71.441,73
73.052,71
73.732,79
74.415,79
75.585,83
76.511,60
77.534,60
78.653,57
79.485,59
80.408,58
81.779,56
82.458,69
83.411,66
84.701,65
85.478,60
86.310,57
87.529,57
88.406,46
89.284,36
90.511,25
91.462,0
92.501,0
93.622,0
94.497,0
95.231,41
96.450,59
97.328,69
98.206,70
99.424,81
100.493,84
101.188,84
102.446,65
103.275,50
104.295,50
105.371,31
106.249,14
107.175,22
108.494,21
109.225,29
110.198,21
111.319,17
112.355,23
113.126,0
114.292,0
115.219,0
116.194,26
117.315,38
118.193,1
119.071,4
120.483,0
121.169,0
122.045,0
123.214,0
124.142,0
