df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.585,-0.854,0.500,0.219
5.595,-0.854,0.496,0.223
5.605,-0.850,0.496,0.219
5.615,-0.852,0.494,0.219
5.625,-0.852,0.492,0.221
5.635,-0.854,0.494,0.223
5.645,-0.855,0.496,0.225
5.655,-0.854,0.500,0.223
5.665,-0.855,0.500,0.221
5.675,-0.855,0.500,0.221
5.685,-0.852,0.502,0.221
5.695,-0.852,0.500,0.223
5.705,-0.848,0.500,0.225
5.715,-0.850,0.500,0.223
5.725,-0.850,0.498,0.225
5.735,-0.855,0.498,0.223
5.745,-0.859,0.496,0.221
5.755,-0.869,0.486,0.213
5.765,-0.873,0.482,0.213
5.775,-0.877,0.473,0.209
5.785,-0.875,0.459,0.205
5.795,-0.875,0.447,0.203
5.805,-0.885,0.441,0.207
5.815,-0.891,0.441,0.205
5.825,-0.896,0.438,0.201
5.835,-0.902,0.438,0.201
5.845,-0.904,0.432,0.203
5.855,-0.910,0.424,0.205
5.865,-0.916,0.426,0.203
5.875,-0.914,0.430,0.197
5.885,-0.928,0.432,0.197
5.895,-0.932,0.436,0.193
5.905,-0.936,0.434,0.197
5.915,-0.936,0.432,0.193
5.925,-0.930,0.439,0.195
5.935,-0.924,0.445,0.197
5.945,-0.912,0.451,0.191
5.955,-0.912,0.461,0.189
5.965,-0.906,0.469,0.189
5.975,-0.904,0.471,0.189
5.985,-0.891,0.473,0.191
5.995,-0.885,0.475,0.193
6.005,-0.883,0.482,0.197
6.015,-0.881,0.490,0.193
6.025,-0.883,0.498,0.197
6.035,-0.883,0.488,0.197
6.045,-0.893,0.494,0.203
6.055,-0.895,0.479,0.201
6.065,-0.877,0.480,0.207
6.075,-0.855,0.488,0.211
6.085,-0.848,0.504,0.201
6.095,-0.830,0.502,0.199
6.105,-0.809,0.479,0.201
6.115,-0.795,0.443,0.215
6.125,-0.805,0.455,0.211
6.135,-0.830,0.480,0.203
6.145,-0.861,0.441,0.213
6.155,-0.904,0.414,0.217
6.165,-0.957,0.400,0.213
6.175,-0.986,0.383,0.211
6.185,-0.994,0.385,0.213
6.195,-1.008,0.408,0.209
6.205,-1.006,0.434,0.201
6.215,-0.992,0.459,0.203
6.225,-0.973,0.482,0.195
6.235,-0.949,0.504,0.195
6.245,-0.920,0.527,0.197
6.255,-0.898,0.545,0.199
6.265,-0.875,0.545,0.199
6.275,-0.854,0.551,0.203
6.285,-0.846,0.553,0.203
6.295,-0.828,0.547,0.205
6.305,-0.816,0.527,0.205
6.315,-0.803,0.525,0.207
6.325,-0.779,0.529,0.199
6.335,-0.783,0.535,0.201
6.345,-0.789,0.537,0.197
6.355,-0.785,0.525,0.197
6.365,-0.787,0.514,0.195
6.375,-0.773,0.490,0.195
6.385,-0.760,0.473,0.211
6.395,-0.795,0.467,0.207
6.405,-0.805,0.508,0.201
6.415,-0.852,0.486,0.203
6.425,-0.895,0.439,0.217
6.435,-0.928,0.408,0.221
6.445,-0.941,0.398,0.225
6.455,-0.971,0.404,0.225
6.465,-0.982,0.416,0.219
6.475,-0.988,0.438,0.211
6.485,-0.979,0.449,0.203
6.495,-0.961,0.473,0.201
6.505,-0.938,0.498,0.199
6.515,-0.920,0.520,0.201
6.525,-0.898,0.537,0.207
6.535,-0.889,0.539,0.207
6.545,-0.865,0.537,0.209
6.555,-0.852,0.537,0.213
6.565,-0.842,0.535,0.215
6.575,-0.834,0.541,0.211
6.585,-0.830,0.539,0.215
6.595,-0.826,0.533,0.217
