df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,acc_mag
3.805,1.104
3.835,1.123
3.865,1.134
3.895,1.107
3.925,1.029
3.955,0.970
3.985,0.958
4.015,0.959
4.045,0.965
4.075,0.973
4.105,0.976
4.135,0.985
4.165,1.008
4.195,1.018
4.225,1.010
4.255,1.006
4.285,1.015
4.315,1.012
4.345,1.005
4.375,1.003
4.405,1.003
4.435,1.003
4.465,0.998
4.495,1.013
4.525,1.012
4.555,1.008
4.585,1.005
4.615,1.005
4.645,1.010
4.675,1.014
4.705,1.018
4.735,1.008
4.765,1.016
4.795,1.017
4.825,1.013
4.855,1.010
4.885,1.004
4.915,1.003
4.945,1.007
4.975,1.008
5.005,1.004
5.035,1.004
5.065,1.003
5.095,1.000
5.125,0.990
5.155,0.998
5.185,0.997
5.215,1.003
5.245,1.012
5.275,1.029
5.305,1.036
5.335,1.038
5.365,1.047
5.395,1.045
5.425,1.040
5.455,1.038
5.485,1.031
5.515,1.020
5.545,1.023
5.575,1.017
5.605,1.008
5.635,1.011
5.665,1.016
5.695,1.013
5.725,1.010
5.755,1.019
5.785,1.009
5.815,1.015
5.845,1.022
5.875,1.029
5.905,1.050
5.935,1.044
5.965,1.038
5.995,1.022
6.025,1.032
6.055,1.034
6.085,1.007
6.115,0.935
6.145,0.991
6.175,1.079
6.205,1.113
6.235,1.092
6.265,1.050
6.295,1.014
6.325,0.963
6.355,0.965
6.385,0.919
6.415,1.002
6.445,1.047
6.475,1.102
6.505,1.080
6.535,1.060
6.565,1.021
6.595,1.007
6.625,0.990
6.655,0.967
6.685,0.964
6.715,0.969
6.745,0.967
6.775,1.019
6.805,1.067
6.835,1.099
6.865,1.074
6.895,1.037
6.925,1.031
6.955,1.032
6.985,1.025
7.015,1.021
7.045,1.018
7.075,1.029
7.105,1.044
7.135,1.045
7.165,1.046
7.195,1.050
7.225,1.037
7.255,1.046
7.285,1.047
7.315,1.047
7.345,1.056
7.375,1.055
7.405,1.054
7.435,1.052
7.465,1.048
7.495,1.056
7.525,1.043
7.555,1.036
7.585,1.039
7.615,1.036
7.645,1.026
7.675,1.027
7.705,1.029
7.735,1.018
7.765,1.027
7.795,1.030
7.825,1.026
7.855,1.034
7.885,1.048
7.915,1.029
7.945,1.030
7.975,1.029
8.005,1.024
8.035,1.032
8.065,1.032
8.095,1.030
8.125,1.036
8.155,1.037
8.185,1.039
8.215,1.046
8.245,1.042
8.275,1.042
8.305,1.039
8.335,1.031
8.365,1.036
8.395,1.029
8.425,1.027
8.455,1.040
8.485,1.044
8.515,1.046
8.545,1.040
8.575,1.035
8.605,1.033
8.635,1.038
8.665,1.041
8.695,1.046
8.725,1.036
8.755,1.043
8.785,1.042
8.815,1.041
8.845,1.034
8.875,1.034
8.905,1.052
8.935,1.063
8.965,1.065
8.995,1.077
9.025,1.068
9.055,1.065
9.085,1.065
9.115,1.065
9.145,1.060
9.175,1.061
9.205,1.048
9.235,1.045
9.265,1.026
9.295,1.028
9.325,1.031
9.355,1.029
9.385,1.029
9.415,1.028
9.445,1.037
9.475,1.043
9.505,1.051
9.535,1.054
9.565,1.052
9.595,1.043
9.625,1.038
9.655,1.039
9.685,1.046
9.715,1.039
9.745,1.033
9.775,1.056
9.805,1.058
9.835,1.071
9.865,1.059
9.895,1.020
9.925,0.933
9.955,0.926
9.985,1.100
10.015,1.193
10.045,1.103
10.075,0.992
10.105,0.950
10.135,0.968
10.165,1.023
10.195,1.074
10.225,1.096
10.255,1.087
10.285,1.033
10.315,0.993
10.345,0.976
10.375,0.996
10.405,1.034
10.435,1.068
10.465,1.071
10.495,1.040
10.525,1.020
10.555,1.009
10.585,1.013
10.615,1.024
10.645,1.032
10.675,1.034
10.705,1.022
10.735,1.009
10.765,1.030
10.795,1.058
10.825,1.063
10.855,1.065
10.885,1.031
10.915,1.014
10.945,1.019
10.975,1.021
11.005,1.022
11.035,1.017
11.065,0.999
11.095,0.994
11.125,0.999
11.155,1.015
11.185,1.026
11.215,1.031
11.245,1.027
11.275,1.020
11.305,1.019
11.335,1.010
11.365,1.015
11.395,1.021
11.425,1.025
11.455,1.020
11.485,1.021
11.515,1.015
11.545,1.008
11.575,1.011
11.605,1.019
11.635,1.022
11.665,1.022
11.695,1.018
11.725,1.018
11.755,1.021
11.785,1.021
11.815,1.019
11.845,1.012
11.875,1.018
11.905,1.019
11.935,1.019
11.965,1.017
11.995,1.016
12.025,1.016
12.055,1.020
12.085,1.016
12.115,1.014
12.145,1.016
12.175,1.020
12.205,1.021
12.235,1.018
12.265,1.015
12.295,1.016
12.325,1.017
12.355,1.020
12.385,1.035
12.415,1.022
12.445,1.002
12.475,0.985
12.505,1.002
12.535,1.021
12.565,1.046
12.595,1.042
12.625,1.037
12.655,0.998
12.685,0.971
12.715,0.992
12.745,1.021
12.775,1.048
12.805,1.055
12.835,1.037
12.865,1.008
12.895,1.002
12.925,1.003
12.955,1.014
12.985,1.017
13.015,1.021
13.045,1.012
13.075,1.019
13.105,1.026
13.135,1.029
13.165,1.031
