df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,ppg_quality
56.850,61
58.870,61
59.880,63
61.900,55
63.920,68
64.930,80
65.940,84
66.950,84
68.970,85
69.980,90
73.010,92
75.030,87
77.050,78
79.070,60
80.080,58
81.090,56
82.100,54
84.120,47
86.140,36
88.160,63
90.180,76
92.200,62
93.210,67
95.230,80
96.240,75
97.250,72
99.270,62
101.290,63
102.300,74
103.310,74
104.320,73
106.340,72
108.360,77
110.380,94
111.390,97
112.400,102
113.410,100
114.420,94
115.430,124
116.440,116
117.450,109
119.470,94
120.480,78
121.490,66
122.500,51
123.510,41
