df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,rr_int
12.158,7130
12.987,980
13.760,830
14.108,780
14.547,445
15.425,410
15.640,780
15.668,320
15.671,15
15.675,10
15.678,15
15.912,10
15.918,15
16.081,25
16.598,370
17.716,550
18.008,1105
18.983,255
19.227,1005
19.229,275
19.373,10
19.665,330
19.668,10
19.714,15
19.718,55
19.763,20
19.766,10
19.768,10
20.204,195
20.939,345
21.862,665
22.005,930
22.591,130
22.981,635
23.322,375
24.589,370
24.930,1215
25.223,375
26.344,365
27.173,1040
27.189,885
27.222,10
27.227,10
27.231,15
27.541,185
28.686,860
28.831,380
28.834,145
29.367,30
29.370,570
30.098,10
30.787,740
31.675,725
31.760,750
31.804,180
31.807,10
31.809,15
31.812,15
32.341,10
32.344,555
33.270,10
33.950,895
34.608,595
34.681,745
35.515,10
35.531,765
35.608,10
35.655,165
35.658,45
35.704,10
36.192,10
36.338,745
36.341,10
36.487,130
36.536,10
36.679,15
36.682,15
36.684,10
36.687,15
36.806,185
38.288,805
38.291,745
39.130,10
39.800,860
39.946,620
39.959,215
41.074,10
41.115,870
41.225,200
41.505,205
42.432,260
43.163,920
43.702,700
44.335,595
44.433,555
44.967,10
45.650,725
46.506,740
48.063,815
48.065,1445
48.447,10
48.726,690
50.817,1435
51.592,770
51.743,700
51.747,175
52.328,15
52.622,545
52.669,330
52.872,10
53.742,345
53.985,760
53.988,230
54.473,15
55.253,535
55.936,730
56.769,770
57.535,755
58.276,805
59.153,805
60.006,810
60.813,865
61.645,840
62.050,800
62.468,275
63.297,580
63.299,835
64.131,10
64.954,850
65.003,880
65.295,10
65.930,245
65.932,615
66.807,10
67.592,880
67.833,835
68.513,10
69.294,870
69.683,885
69.687,305
70.146,10
70.951,510
71.780,775
72.608,825
73.437,845
73.440,820
74.120,10
75.046,795
75.826,825
76.362,850
76.662,535
77.337,255
78.215,750
78.220,760
78.848,10
79.677,750
80.413,800
81.285,735
81.290,760
81.969,10
82.505,760
82.604,570
82.894,220
82.923,200
82.943,10
82.947,10
83.007,10
83.011,10
83.431,515
83.577,10
83.726,225
83.736,15
84.991,510
85.673,730
86.063,765
86.066,350
87.184,10
87.916,1160
88.452,755
88.745,775
90.300,1285
90.402,390
90.406,10
90.699,215
90.792,10
90.816,165
90.841,15
90.849,10
90.852,10
90.941,10
90.944,10
90.947,15
92.059,480
92.063,720
92.206,10
92.742,195
92.746,465
93.473,10
94.156,715
94.838,705
95.524,705
96.349,765
97.178,775
97.909,805
98.738,755
99.469,780
100.249,815
101.224,740
101.228,955
101.324,10
101.667,10
102.492,495
102.496,800
103.321,10
104.247,840
104.301,730
104.483,310
105.564,10
105.953,1150
106.392,455
107.123,415
108.049,750
108.585,1005
108.928,435
109.024,400
109.031,10
109.206,10
110.734,265
111.364,1455
111.367,725
111.514,10
111.518,110
111.657,110
111.660,15
112.778,440
112.783,725
113.705,10
114.446,765
114.874,940
115.850,360
117.068,1035
117.410,1165
117.754,320
118.730,350
118.875,1020
119.311,10
120.179,525
120.535,715
120.676,600
121.261,135
122.236,520
122.284,1045
122.775,10
123.455,540
124.576,765
124.582,1060
