df_hash,22ZHK4.AL8VFF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P90X
person_label,v117
date_time_start,2026-03-10_17-24-39.286000_+03
date_time_start_unix,1773149079.286
date_time_end,2026-03-10_17-26-49.331000_+03
length_difference_noticed,no

time,heart_rate
31.905,55
32.731,55
33.975,55
34.778,55
35.708,55
36.874,55
38.096,55
38.678,55
39.848,55
40.776,55
41.656,55
42.822,55
43.752,55
44.625,55
46.237,55
46.722,55
47.599,62
48.855,56
49.695,56
50.573,56
51.818,56
52.672,56
53.559,56
54.766,69
55.643,76
56.524,79
57.739,80
58.617,80
59.888,79
60.713,78
61.590,77
62.471,75
63.687,74
64.654,73
65.490,72
66.660,71
67.541,71
68.517,70
69.634,70
70.560,70
71.438,70
73.050,71
73.588,72
74.412,73
75.582,74
76.508,74
77.388,74
78.604,75
79.482,76
80.360,76
81.776,77
82.455,78
83.408,79
84.506,78
85.429,79
86.307,79
87.525,79
88.403,78
89.280,78
90.499,78
91.453,78
92.257,78
93.478,78
94.352,78
95.228,81
96.447,82
97.324,82
98.202,81
99.421,81
100.303,80
101.175,79
102.443,78
103.272,78
104.250,78
105.368,78
106.245,78
107.172,78
108.488,78
109.219,78
110.194,78
111.316,78
112.245,78
113.120,78
114.289,78
115.215,78
116.191,78
117.312,78
118.189,78
119.067,78
120.258,78
121.163,78
122.041,78
123.211,78
124.137,78
