df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,quality
18.424,54
19.595,61
20.519,66
21.589,53
22.568,57
23.592,57
24.517,52
25.587,52
26.420,56
27.345,57
28.516,61
29.393,51
30.367,43
31.519,38
32.558,34
33.292,42
34.465,54
35.346,66
36.276,35
37.443,0
38.506,32
39.240,31
40.605,27
41.336,30
42.239,38
43.384,54
44.410,55
45.194,70
46.406,71
47.284,74
48.162,75
49.380,76
50.314,75
51.137,77
52.499,75
53.277,75
54.154,73
55.327,76
56.206,72
57.228,67
58.493,73
59.179,72
60.106,75
61.276,60
62.198,58
63.079,68
64.249,68
65.126,66
66.057,66
67.469,58
68.291,59
69.322,75
70.242,75
71.223,77
72.047,72
73.174,71
74.142,74
75.263,75
76.387,72
77.070,72
77.956,77
79.312,76
80.236,72
80.921,75
82.152,72
83.017,73
83.944,74
85.115,75
86.037,72
86.917,73
88.110,74
89.014,75
90.040,76
91.061,74
91.939,76
92.816,74
94.330,72
94.912,73
95.793,70
97.017,67
97.888,69
98.812,64
99.982,61
100.957,63
101.787,62
102.968,56
103.884,63
104.760,73
105.930,75
107.106,74
107.734,72
108.903,72
109.782,69
110.853,66
111.877,67
112.804,65
113.681,64
115.144,67
115.972,71
116.656,69
117.832,73
118.898,73
119.629,71
120.799,72
121.725,74
122.602,75
123.801,74
124.710,75
125.622,75
126.941,73
127.672,74
128.556,68
129.819,73
130.646,72
131.569,67
132.742,61
133.916,67
134.497,75
135.862,70
136.886,67
137.473,66
138.690,72
139.857,72
140.494,72
141.663,70
142.541,75
143.478,72
144.638,68
145.517,69
146.444,75
147.611,76
148.586,77
149.415,78
150.636,79
151.512,78
152.584,77
153.608,76
154.486,77
155.363,76
156.535,74
157.461,73
158.336,73
159.507,76
160.479,75
161.311,72
162.575,75
163.407,74
164.283,73
165.502,73
166.572,75
167.306,70
168.477,71
169.355,72
170.231,73
171.454,69
172.522,76
173.512,75
174.424,75
175.450,74
176.276,68
177.543,62
178.277,64
179.217,67
180.371,66
181.249,64
182.177,70
183.345,69
184.272,64
185.159,37
186.319,25
187.245,0
188.217,0
189.293,0
190.219,20
191.142,56
192.266,68
193.194,73
194.071,71
195.289,73
196.168,70
197.044,71
198.455,57
199.140,56
200.020,53
201.237,57
202.114,56
203.142,56
204.210,50
205.089,50
206.014,40
207.185,40
208.061,51
209.002,24
210.157,25
211.181,44
212.012,45
213.131,67
214.060,78
214.942,78
216.108,73
217.326,74
217.909,75
219.127,79
220.005,53
220.889,40
222.102,25
222.987,0
223.856,0
225.513,0
226.193,0
226.880,0
228.050,0
229.121,0
229.864,0
231.025,0
231.902,0
232.830,0
233.996,0
235.025,21
235.850,27
236.985,30
237.945,28
238.811,24
239.993,0
240.870,0
241.793,0
242.968,1
244.136,0
244.721,10
245.940,22
246.817,32
247.695,30
248.914,42
249.794,0
250.815,4
251.888,0
252.814,0
253.692,6
255.254,2
255.933,0
256.957,0
257.835,0
258.761,22
259.639,0
260.809,26
261.783,0
262.613,0
264.023,0
265.001,25
265.829,0
266.757,45
267.683,49
268.606,56
269.781,58
270.668,58
271.536,56
272.752,49
273.929,45
274.509,42
275.729,44
276.896,52
277.530,46
278.702,68
279.723,30
280.506,0
282.114,0
282.649,2
283.482,1
284.648,0
285.623,0
286.546,32
287.622,43
288.648,62
289.474,61
290.689,52
291.521,53
292.576,53
293.620,52
294.495,44
295.373,39
296.685,28
297.472,0
298.346,32
299.760,0
300.541,46
301.414,37
302.633,25
303.418,38
304.294,39
305.558,33
306.390,21
307.413,23
308.490,22
309.413,44
310.290,32
311.555,0
312.338,1
313.358,20
314.434,17
315.454,9
316.430,6
317.416,2
318.391,17
319.504,4
320.382,0
321.561,0
322.185,0
323.361,0
324.330,28
325.159,0
326.330,0
327.256,0
328.133,0
329.352,0
330.230,0
331.109,38
332.327,0
333.205,26
334.278,26
335.301,0
336.178,0
337.106,0
338.319,0
339.150,25
340.320,28
341.244,18
366.030,50
366.897,47
368.059,51
369.131,61
369.865,61
371.034,66
372.056,60
372.836,55
374.299,63
374.933,36
375.833,29
377.033,31
378.198,29
378.784,32
380.100,26
380.880,45
381.807,50
383.022,59
384.147,68
384.780,68
385.950,62
387.069,33
387.754,26
388.924,30
389.802,23
390.730,0
391.898,26
392.782,0
393.709,21
395.264,32
395.944,35
396.699,33
398.086,43
398.772,49
399.649,52
400.819,35
401.745,30
402.926,37
403.887,43
404.862,27
405.598,0
406.817,25
407.693,0
408.765,27
409.789,21
410.667,0
411.693,22
413.198,0
413.643,0
414.568,17
415.738,16
416.907,8
417.541,0
418.711,9
419.589,0
420.515,10
421.767,9
422.573,16
423.534,26
424.658,20
425.584,36
426.461,33
427.927,23
428.606,45
429.435,35
430.605,25
431.583,20
432.552,19
433.579,34
434.506,36
435.383,24
436.650,27
437.480,36
438.451,29
439.575,22
440.453,33
441.522,27
442.551,28
443.472,26
444.304,27
445.526,32
446.402,45
447.280,43
448.740,48
449.517,46
450.252,45
451.471,61
452.494,58
453.514,35
454.444,39
455.417,45
456.253,51
