df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,battery
8.476,28
18.518,28
28.463,28
38.511,28
48.548,28
58.522,28
68.487,28
78.481,28
88.572,27
98.471,27
108.465,27
118.497,27
128.455,27
138.443,27
148.534,27
158.479,27
168.524,27
178.467,27
188.461,27
198.460,27
208.448,27
218.442,27
228.545,27
238.433,27
248.472,27
258.507,27
268.459,27
278.454,27
288.548,27
298.441,27
308.483,26
318.452,26
328.520,26
338.416,26
348.463,26
358.452,26
368.738,26
378.440,26
388.435,26
398.427,26
408.421,26
418.463,26
428.410,26
438.456,26
448.445,26
458.439,26
468.530,26
478.439,26
488.421,26
498.467,26
508.462,26
518.401,26
