df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,rr_int
9.548,4420
10.084,730
11.351,545
12.424,1195
12.570,1105
12.576,170
12.619,20
12.622,30
13.009,15
14.131,320
14.715,1170
15.349,580
15.934,600
16.470,615
17.203,615
17.738,620
18.274,610
18.957,615
19.250,600
19.542,310
20.468,315
20.785,625
22.028,585
22.320,1255
22.616,530
23.686,585
23.831,605
24.271,165
24.964,420
25.251,680
25.509,10
25.538,545
26.220,10
26.225,630
26.318,220
26.366,25
26.465,25
26.616,235
27.878,575
28.414,610
28.717,605
28.999,235
30.511,350
31.974,1560
32.168,1125
32.753,520
32.756,535
33.438,10
33.971,520
33.975,545
34.121,230
34.126,10
34.132,10
34.264,230
34.800,530
35.632,10
35.921,795
36.507,265
37.728,590
38.066,1115
38.603,480
38.613,600
38.849,10
38.852,10
39.140,20
39.678,400
39.872,560
39.884,10
39.889,205
39.971,10
40.650,300
40.655,565
41.051,10
41.238,175
41.918,395
42.454,565
42.458,570
43.042,10
43.139,545
43.578,10
44.015,550
44.554,545
44.599,535
45.086,10
45.721,550
46.256,540
46.795,550
47.329,555
47.867,565
48.450,575
48.454,570
48.987,10
49.571,570
50.121,575
50.254,560
50.791,10
51.233,565
51.765,545
52.350,550
52.886,560
53.472,560
54.161,565
54.300,590
54.690,175
55.277,395
55.811,600
56.494,600
57.079,595
57.615,610
58.152,580
58.736,565
59.273,585
59.276,575
59.861,10
60.541,555
60.546,655
60.589,15
60.593,10
60.597,10
60.724,15
60.933,10
60.936,15
61.174,10
62.204,450
62.881,1175
63.465,660
64.148,625
64.151,660
64.700,10
65.367,575
65.513,580
65.952,165
66.098,450
66.488,210
67.219,420
67.756,610
68.297,580
69.023,605
69.559,635
70.246,605
70.828,620
70.973,625
71.119,175
71.366,20
72.292,435
72.632,610
73.313,610
73.853,645
74.580,630
75.276,645
75.451,655
75.473,165
75.609,55
75.612,15
75.803,25
75.851,375
75.945,10
76.482,165
77.075,475
77.749,645
78.334,635
79.019,620
79.553,610
79.699,625
80.243,180
80.821,430
81.357,610
82.040,610
82.624,600
83.161,615
83.892,600
84.428,610
84.623,605
84.965,155
85.607,440
85.747,600
86.239,10
86.866,600
87.353,600
88.035,600
88.673,600
89.160,605
89.205,610
89.843,10
90.424,580
90.960,615
91.688,595
92.230,610
92.765,595
93.401,590
94.032,630
94.571,625
95.251,595
95.835,605
96.372,590
96.957,610
97.688,600
98.175,595
98.322,590
98.468,270
99.308,315
99.592,615
99.639,180
99.642,10
99.645,15
99.689,10
100.274,15
100.613,380
100.811,630
100.856,185
101.247,20
102.079,430
102.371,645
102.515,190
103.101,445
103.343,620
103.736,185
103.830,430
104.321,10
104.345,620
105.000,10
105.537,615
106.123,610
106.804,605
107.341,605
107.925,590
108.462,590
109.145,590
109.290,585
109.293,250
109.729,10
110.315,310
110.415,610
110.558,250
110.562,10
111.387,310
112.070,615
112.215,620
112.270,150
112.654,75
113.337,390
113.922,610
114.019,610
114.458,150
115.151,450
115.286,605
115.677,190
115.681,405
116.264,10
116.967,605
117.480,600
118.065,580
118.068,570
118.602,10
119.189,570
119.192,600
119.723,10
120.405,590
120.460,595
120.991,10
120.994,560
121.529,10
122.063,585
122.794,600
123.330,605
123.477,585
123.867,165
124.453,400
124.456,605
124.745,10
125.134,195
125.720,415
126.255,610
126.949,595
127.572,600
128.206,660
128.355,645
128.449,190
128.745,30
129.327,395
129.430,595
130.009,10
130.545,590
131.130,595
131.277,590
131.670,160
132.203,390
132.788,570
133.471,580
133.621,590
133.666,170
133.763,10
133.767,10
133.814,15
133.817,15
134.007,40
134.595,305
135.128,595
135.874,620
136.396,625
136.932,610
136.935,585
137.663,10
138.200,610
138.736,600
139.321,595
139.868,585
140.540,560
141.128,585
141.675,580
141.807,600
142.245,180
142.928,405
143.515,630
144.203,630
144.732,620
144.735,615
145.268,10
145.273,605
145.999,10
146.682,635
147.218,635
147.901,645
148.538,620
149.168,630
149.753,635
150.440,650
150.976,640
151.021,625
151.703,10
152.385,645
152.922,650
153.613,640
154.189,635
154.872,630
155.412,620
155.457,625
155.993,10
156.677,600
157.261,600
157.943,620
157.998,620
158.483,10
159.162,635
159.747,640
160.484,625
160.487,645
161.112,10
161.697,660
162.379,665
162.915,635
163.647,625
164.183,625
164.866,635
165.451,615
165.987,620
166.133,590
166.697,10
167.254,595
167.937,615
168.528,620
169.204,635
169.741,640
170.423,620
171.008,645
171.690,640
171.696,625
172.227,10
172.910,600
173.529,630
174.177,630
174.762,630
175.298,625
175.359,605
175.998,10
176.175,595
176.565,10
177.248,610
177.394,640
177.492,145
177.497,70
177.788,10
177.931,350
178.369,195
179.052,420
179.589,630
179.735,615
180.176,185
180.856,405
181.440,605
181.688,610
181.694,255
181.699,10
181.978,20
182.659,325
182.663,600
183.247,10
184.463,615
185.730,1220
186.267,1260
186.562,555
186.610,280
186.852,10
187.388,250
187.973,565
187.977,580
188.070,10
188.076,160
188.119,15
188.222,40
188.366,20
188.371,15
188.375,15
188.510,40
189.045,260
189.631,555
