df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,omega
58.310,0.635
71.074,0.635
75.468,0.632
79.121,0.626
79.608,0.632
81.512,0.635
85.758,0.632
88.732,0.635
89.215,0.632
91.792,0.635
92.243,0.635
112.269,0.639
114.175,0.635
119.236,0.626
120.459,0.588
123.533,0.622
124.505,0.627
129.483,0.622
151.031,0.588
155.467,0.556
157.996,0.554
158.246,0.554
160.538,0.554
162.480,0.573
171.759,0.573
174.817,0.573
175.357,0.573
177.449,0.573
199.876,0.590
203.048,0.573
212.892,0.588
214.841,0.580
215.093,0.585
217.083,0.585
217.473,0.585
233.235,0.585
282.408,0.586
308.434,0.588
311.411,0.591
321.697,0.586
323.261,0.591
