df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,heart_rate
18.420,102
19.590,101
20.471,99
21.347,98
22.564,99
23.588,99
24.321,101
25.541,100
26.415,100
27.341,100
28.512,100
29.389,100
30.364,100
31.515,100
32.414,100
33.289,100
34.459,104
35.337,106
36.263,104
37.433,104
38.361,104
39.236,104
40.449,104
41.333,104
42.236,104
43.380,106
44.330,106
45.184,106
46.403,107
47.280,107
48.158,108
49.377,108
50.303,108
51.132,107
52.355,107
53.228,107
54.109,107
55.324,107
56.202,106
57.083,106
58.311,105
59.175,104
60.101,104
61.272,103
62.151,103
63.075,103
64.245,102
65.123,101
66.050,100
67.466,99
68.102,98
69.319,98
70.195,98
71.122,98
72.041,98
73.167,98
74.093,97
74.972,97
76.142,96
77.067,96
77.945,95
79.122,95
80.046,95
80.918,95
82.136,96
83.014,96
83.940,97
85.110,97
85.990,97
86.871,98
88.084,98
89.010,99
90.038,99
91.058,99
91.935,99
92.813,99
94.327,99
94.909,99
95.787,99
97.006,99
97.883,99
98.809,99
99.979,100
100.862,100
101.783,99
102.953,99
103.833,98
104.756,97
105.927,97
107.100,97
107.730,97
108.900,97
109.778,98
110.731,99
111.874,100
112.800,100
113.678,100
115.141,99
115.796,99
116.652,99
117.824,99
118.764,99
119.625,100
120.795,100
121.722,101
122.599,101
123.797,101
124.695,101
125.603,101
126.796,101
127.669,101
128.547,100
129.814,99
130.643,99
131.527,99
132.739,99
133.912,100
134.494,101
135.723,101
136.594,101
137.468,101
138.687,101
139.568,101
140.490,101
141.660,101
142.538,101
143.464,101
144.634,101
145.512,101
146.438,100
147.608,99
148.583,98
149.412,97
150.631,97
151.508,96
152.581,96
153.605,95
154.482,95
155.359,95
156.529,95
157.455,95
158.333,96
159.503,96
160.429,96
161.307,96
162.482,95
163.403,95
164.280,95
165.499,95
166.380,95
167.303,95
168.473,96
169.351,96
170.228,96
171.447,96
172.327,96
173.230,96
174.420,96
175.447,96
176.181,96
177.534,96
178.272,96
179.198,96
180.368,97
181.245,97
182.172,97
183.342,97
184.268,97
185.145,97
186.315,97
187.242,97
188.124,97
189.289,97
190.216,97
191.093,100
192.263,101
193.189,102
194.067,102
195.285,102
196.163,102
197.040,102
198.301,101
199.137,101
200.014,100
201.233,99
202.111,99
203.057,98
204.207,98
205.084,98
206.011,98
207.181,98
208.058,101
208.984,99
210.154,99
211.083,93
212.007,93
213.128,90
214.054,90
214.932,89
216.102,89
217.323,89
217.905,89
219.124,89
220.002,89
220.879,89
222.098,89
222.976,89
223.853,89
225.126,89
225.956,89
226.875,89
228.046,89
228.964,89
229.849,89
231.019,89
231.897,89
232.823,89
233.993,89
234.924,89
235.846,89
236.967,95
237.942,95
238.801,94
239.989,94
240.867,94
241.747,94
242.963,94
243.846,94
244.718,94
245.937,94
246.814,94
247.692,94
248.911,87
249.789,91
250.669,89
251.885,90
252.810,89
253.688,89
255.251,89
255.739,89
256.685,89
257.832,89
258.758,89
259.635,89
260.805,93
261.736,90
262.609,91
263.782,90
264.724,90
265.590,90
266.753,90
267.680,91
268.560,92
269.776,93
270.653,94
271.530,95
272.749,96
273.923,96
274.504,95
275.723,97
276.631,98
277.527,97
278.697,99
279.582,97
280.501,97
282.109,97
282.646,97
283.474,97
284.644,97
285.619,97
286.452,100
287.618,100
288.645,101
289.422,102
290.620,103
291.518,105
292.547,106
293.614,107
294.492,108
295.369,107
296.544,107
297.466,107
298.343,107
299.569,107
300.537,104
301.317,103
302.556,104
303.413,98
304.291,95
305.529,92
306.387,94
307.316,93
308.487,93
309.409,95
310.287,93
311.458,93
312.334,93
313.266,93
314.431,93
315.310,93
316.250,93
317.404,93
318.341,93
319.249,93
320.378,93
321.548,93
322.182,93
323.352,93
324.327,93
325.156,93
326.327,93
327.252,93
328.129,93
329.348,93
330.226,93
331.103,93
332.322,93
333.199,93
334.274,87
335.296,90
336.173,59
337.099,50
339.147,56
340.317,47
366.008,104
366.889,106
368.056,106
368.985,107
369.859,107
371.029,107
371.958,106
372.833,105
374.057,104
374.929,104
375.830,104
377.026,104
377.981,104
378.781,104
380.002,104
380.877,107
381.803,108
382.973,109
384.144,110
384.777,111
385.947,110
386.826,110
387.751,110
388.921,110
389.798,110
390.725,110
391.894,110
392.772,110
393.698,110
395.261,112
395.799,113
396.696,114
397.884,114
398.768,114
399.646,114
400.816,114
401.742,114
402.627,114
403.843,117
404.742,115
405.593,115
406.812,115
407.690,115
408.570,115
409.786,115
410.663,115
411.546,115
412.764,115
413.637,115
414.563,115
415.733,115
416.615,115
417.537,115
418.707,115
419.584,115
420.511,115
421.762,115
422.559,115
423.509,113
424.654,114
425.581,110
426.458,108
427.924,109
428.558,109
429.432,109
430.602,108
431.577,108
432.458,108
433.576,108
434.503,103
435.380,105
436.553,104
437.476,99
438.357,101
439.527,100
440.450,97
441.354,98
442.546,98
443.427,98
444.301,97
445.520,99
446.397,98
447.275,98
448.548,98
449.377,98
450.248,97
451.467,97
452.353,96
453.244,96
454.441,96
455.322,99
456.245,100
457.417,98
