df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,acc_mag
4.337,1.068
4.367,1.069
4.397,1.075
4.427,1.076
4.457,1.044
4.487,1.055
4.517,1.073
4.547,1.075
4.577,1.056
4.607,1.071
4.637,1.085
4.667,1.072
4.697,1.081
4.727,1.066
4.757,1.063
4.787,1.054
4.817,1.069
4.847,1.056
4.877,1.045
4.907,1.070
4.937,1.076
4.967,1.052
4.997,1.068
5.027,1.083
5.057,1.077
5.087,1.058
5.117,1.062
5.147,1.060
5.177,1.062
5.207,1.064
5.237,1.069
5.267,1.068
5.297,1.041
5.327,1.068
5.357,1.068
5.387,1.065
5.417,1.068
5.447,1.075
5.477,1.072
5.507,1.083
5.537,1.065
5.567,1.067
5.597,1.078
5.627,1.061
5.657,1.058
5.687,1.063
5.717,1.056
5.747,1.065
5.777,1.065
5.807,1.056
5.837,1.062
5.867,1.067
5.897,1.047
5.927,1.060
5.957,1.076
5.987,1.051
6.017,1.076
6.047,1.070
6.077,1.057
6.107,1.073
6.137,1.058
6.167,1.068
6.197,1.082
6.227,1.062
6.257,1.044
6.287,1.062
6.317,1.059
6.347,1.056
6.377,1.077
6.407,1.044
6.437,1.058
6.467,1.036
6.497,1.074
6.527,1.063
6.557,1.058
6.587,1.078
6.617,1.041
6.647,1.062
6.677,1.060
6.707,1.057
6.737,1.072
6.767,1.036
6.797,1.051
6.827,1.051
6.857,1.059
6.887,1.072
6.917,1.055
6.947,1.057
6.977,1.060
7.007,1.044
7.037,1.062
7.067,1.062
7.097,1.045
7.127,1.060
7.157,1.061
7.187,1.054
7.217,1.059
7.247,1.043
7.277,1.054
7.307,1.059
7.337,1.049
7.367,1.057
7.397,1.053
7.427,1.003
7.457,1.017
7.487,1.000
7.517,1.009
7.547,1.043
7.577,0.996
7.607,1.176
7.637,1.172
7.667,1.123
7.697,1.117
7.727,1.120
7.757,1.032
7.787,1.013
7.817,0.978
7.847,1.013
7.877,1.104
7.907,1.164
7.937,1.141
7.967,1.083
7.997,1.030
8.027,0.980
8.057,0.976
8.087,0.991
8.117,1.064
8.147,1.101
8.177,1.113
8.207,1.152
8.237,1.077
8.267,1.001
8.297,1.040
8.327,0.973
8.357,0.980
8.387,1.086
8.417,1.103
8.447,1.136
8.477,1.128
8.507,1.052
8.537,1.075
8.567,1.046
8.597,0.977
8.627,1.000
8.657,1.077
8.687,1.021
8.717,1.076
8.747,1.063
8.777,1.028
8.807,1.075
8.837,1.016
8.867,1.073
8.897,1.013
8.927,1.005
8.957,1.103
8.987,1.110
9.017,1.088
9.047,1.069
9.077,1.051
9.107,1.078
9.137,0.978
9.167,1.045
9.197,1.082
9.227,1.087
9.257,1.095
9.287,1.045
9.317,1.066
9.347,1.047
9.377,0.940
9.407,0.918
9.437,0.963
9.467,1.039
9.497,1.125
9.527,1.111
9.557,1.155
9.587,1.199
9.617,1.116
9.647,1.030
9.677,0.929
9.707,0.989
9.737,1.093
9.767,1.122
9.797,1.029
9.827,0.990
9.857,1.009
9.887,1.097
9.917,1.078
9.947,1.029
9.977,1.041
10.007,1.042
10.037,1.075
10.067,1.063
10.097,1.046
10.127,1.087
10.157,1.101
10.187,1.055
10.217,1.053
10.247,1.040
10.277,1.082
10.307,1.026
10.337,1.046
10.367,1.062
10.397,1.051
10.427,1.066
10.457,1.044
10.487,1.058
10.517,1.064
10.547,1.050
10.577,1.069
10.607,1.073
10.637,1.069
10.667,1.073
10.697,1.077
10.727,1.086
10.757,1.053
10.787,1.058
10.817,1.058
10.847,1.056
10.877,1.050
10.907,1.042
10.937,1.069
10.967,1.079
10.997,1.054
11.027,1.061
11.057,1.075
11.087,1.059
11.117,1.064
11.147,1.085
11.177,1.066
11.207,1.057
11.237,1.073
11.267,1.058
11.297,1.052
11.327,1.082
11.357,1.057
11.387,1.066
11.417,1.067
11.447,1.055
11.477,1.053
11.507,1.063
11.537,1.069
11.567,1.069
11.597,1.061
11.627,1.068
11.657,1.067
11.687,1.060
11.717,1.063
11.747,1.073
11.777,1.059
11.807,1.056
11.837,1.069
11.867,1.068
11.897,1.059
11.927,1.075
11.957,1.073
11.987,1.058
12.017,1.067
12.047,1.072
12.077,1.072
12.107,1.067
12.137,1.066
12.167,1.075
12.197,1.060
12.227,1.069
12.257,1.078
12.287,1.059
12.317,1.074
12.347,1.074
12.377,1.060
12.407,1.076
12.437,1.067
12.467,1.058
12.497,1.082
12.527,1.074
12.557,1.055
12.587,1.072
12.617,1.067
12.647,1.057
12.677,1.075
12.707,1.079
12.737,1.060
12.767,1.071
12.797,1.073
12.827,1.060
12.857,1.060
12.887,1.077
12.917,1.067
12.947,1.059
12.977,1.075
13.007,1.063
13.037,1.062
13.067,1.080
13.097,1.066
13.127,1.062
13.157,1.068
13.187,1.071
13.217,1.067
13.247,1.071
13.277,1.069
13.307,1.066
13.337,1.072
13.367,1.069
13.397,1.067
13.427,1.071
13.457,1.071
13.487,1.068
13.517,1.072
13.547,1.073
13.577,1.067
13.607,1.069
13.637,1.071
13.667,1.072
13.697,1.071
