df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,perfusion_ir
58.300,0.110
71.070,0.110
75.463,0.110
79.117,0.110
79.602,0.120
81.508,0.110
85.754,0.110
88.726,0.110
89.212,0.110
91.694,0.110
92.240,0.110
112.264,0.110
114.171,0.110
119.198,0.110
120.454,0.110
123.528,0.110
124.500,0.110
129.479,0.110
151.027,0.110
155.463,0.110
157.992,0.110
158.242,0.110
160.530,0.110
162.477,0.110
171.745,0.110
174.813,0.110
175.347,0.110
177.443,0.110
199.871,0.110
203.039,0.110
212.888,0.110
214.837,0.110
215.086,0.110
217.079,0.120
217.467,0.120
233.222,0.120
282.405,0.120
308.389,0.120
311.314,0.120
321.607,0.130
323.257,0.130
