df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,ppg_quality
57.422,82
59.442,81
60.452,65
62.472,51
64.492,18
66.512,17
68.532,17
70.552,34
71.562,38
73.582,65
75.602,85
77.622,88
79.642,91
81.662,92
82.672,92
84.692,92
85.702,93
86.712,92
87.722,93
88.732,92
90.752,94
92.772,93
95.802,91
97.822,92
99.842,84
100.852,80
102.872,78
103.882,78
104.892,77
106.912,73
108.932,80
110.952,76
112.972,64
114.992,61
117.012,62
118.022,62
120.042,63
122.062,79
124.082,87
126.102,89
127.112,90
129.132,89
131.152,89
132.162,89
133.172,89
135.192,84
137.212,83
138.222,85
140.242,88
142.262,87
144.282,88
146.302,89
147.312,89
148.322,87
150.342,88
151.352,88
153.372,89
155.392,91
157.412,91
159.432,92
162.462,90
163.472,90
164.482,90
166.502,91
168.522,90
170.542,90
173.572,92
174.582,90
175.592,90
177.612,86
179.632,81
180.642,78
181.652,78
184.682,75
186.702,84
188.722,87
190.742,80
192.762,82
193.772,85
194.782,83
195.792,80
197.812,73
199.832,80
201.852,78
203.872,69
204.882,70
206.902,61
208.922,48
210.942,42
212.962,51
213.972,55
214.982,55
215.992,60
218.012,76
219.022,78
220.032,87
222.052,62
224.072,55
225.082,56
226.092,47
227.102,45
229.122,24
231.142,23
233.162,28
235.182,10
240.232,9
242.252,5
246.292,30
248.312,47
249.322,50
251.342,39
252.352,38
253.362,33
254.372,36
255.382,30
257.402,20
259.422,8
260.432,8
262.452,15
264.472,24
265.482,25
266.492,16
268.512,21
270.532,36
271.542,42
272.552,44
273.562,44
274.572,47
275.582,56
277.602,84
279.622,80
281.642,74
282.652,68
283.662,62
285.682,59
286.692,55
287.702,49
288.712,47
290.732,51
292.752,54
294.772,51
295.782,44
297.802,41
298.812,38
299.822,56
301.842,56
302.852,48
303.862,55
304.872,73
305.882,69
306.892,66
308.912,55
310.932,33
312.952,18
322.042,4
323.052,8
324.062,19
325.072,25
326.082,22
328.102,29
329.112,33
331.132,29
333.152,45
335.172,37
337.192,50
338.202,44
339.212,44
341.232,28
342.242,19
344.262,7
346.282,9
348.302,13
349.312,25
350.322,37
351.332,42
353.352,47
355.372,53
357.392,56
359.412,56
360.422,46
362.442,39
363.452,32
364.462,33
365.472,35
366.482,42
368.502,35
370.522,35
372.542,50
375.572,62
377.592,45
378.602,45
379.612,40
381.632,33
383.652,34
385.672,42
386.672,52
388.692,65
390.712,61
392.732,66
394.752,54
395.762,48
397.782,42
399.802,54
400.812,59
401.822,61
403.842,39
405.862,32
406.872,31
408.892,45
410.912,45
412.932,45
414.952,53
415.962,63
416.972,61
417.982,36
418.992,56
420.002,48
421.012,45
422.022,26
424.042,42
426.062,35
428.082,71
429.092,43
431.112,44
432.122,69
433.132,63
435.152,62
437.172,58
439.192,52
441.212,52
443.232,45
444.242,43
445.252,48
446.262,47
448.282,40
450.302,39
452.322,45
454.342,33
455.352,32
456.362,30
457.372,32
459.392,17
460.402,11
461.412,15
463.432,29
464.442,35
465.452,40
466.462,46
467.472,51
468.482,61
470.502,87
472.522,83
474.542,81
476.562,74
477.572,67
479.592,62
481.612,58
483.632,56
485.652,60
487.672,67
490.702,74
492.722,71
494.742,65
496.762,65
497.772,66
498.782,80
500.802,77
501.812,81
503.832,100
505.852,117
506.862,122
507.872,123
508.882,110
509.892,106
510.902,97
511.912,90
512.922,83
514.942,72
516.962,38
518.982,28
521.002,20
522.012,21
523.022,21
524.032,20
