df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,ppg_med
5.549,545
5.574,626
5.599,755
5.624,825
5.649,798
5.674,770
5.699,845
5.724,982
5.749,1034
5.774,950
5.799,861
5.824,908
5.849,1035
5.874,1042
5.899,862
5.924,670
5.949,660
5.974,754
5.999,686
6.024,364
6.049,27
6.074,-68
6.099,-24
6.124,-194
6.149,-695
6.174,-1211
6.199,-1406
6.224,-1414
6.249,-1693
6.274,-2391
6.299,-3097
6.324,-3377
6.349,-3404
6.374,-3764
6.399,-4643
6.424,-5514
6.449,-5824
6.474,-5792
6.499,-6161
6.524,-7164
6.549,-8131
6.574,-8366
6.599,-8146
6.624,-8403
6.649,-9429
6.674,-10382
6.699,-10392
6.724,-9805
6.749,-9788
6.774,-10703
6.799,-11502
6.824,-11100
6.849,-9931
6.874,-9450
6.899,-10112
6.924,-10612
6.949,-9597
6.974,-7609
6.999,-6472
7.024,-6762
7.049,-6846
7.074,-5027
7.099,-1985
7.124,-24
7.149,113
7.174,488
7.199,3270
7.224,7596
7.249,10501
7.274,11001
7.299,11755
7.324,15613
7.349,21473
7.374,25386
7.399,25978
7.424,26812
7.449,31850
7.474,32767
7.499,32767
7.524,32767
7.549,32767
7.574,32767
7.599,32767
7.624,32767
7.649,32767
7.674,32767
7.699,32767
7.724,32767
7.749,32767
7.774,32767
7.799,14575
7.824,-32768
7.849,-32768
7.874,-32768
7.899,-32768
7.924,-32768
7.949,-32768
7.974,-32768
7.999,-32768
8.024,-32768
8.049,-32768
8.074,-32768
8.099,-32768
8.124,-32768
8.149,-32768
8.174,-28588
8.199,-26324
8.224,-26119
8.249,-23459
8.274,-17711
8.299,-12518
8.324,-10636
8.349,-10475
8.374,-8646
8.399,-4552
8.424,-856
8.449,345
8.474,223
8.499,1366
8.524,4242
8.549,6785
8.574,7341
8.599,6813
8.624,7246
8.649,9041
8.674,10578
8.699,10541
8.724,9633
8.749,9491
8.774,10478
8.799,11356
8.824,11102
8.849,10248
8.874,10024
8.899,10627
8.924,11016
8.949,10385
8.974,9226
8.999,8594
9.024,8690
9.049,8691
9.074,7941
9.099,6820
9.124,6157
9.149,6095
9.174,5962
9.199,5233
9.224,4213
9.249,3572
9.274,3432
9.299,3256
9.324,2614
9.349,1751
9.374,1222
9.399,1173
9.424,1215
9.449,994
9.474,617
9.499,423
9.524,470
9.549,472
9.574,214
9.599,-158
9.624,-356
9.649,-329
9.674,-297
9.699,-432
9.724,-636
9.749,-714
9.774,-649
9.799,-609
9.824,-707
9.849,-858
9.874,-917
9.899,-882
9.924,-872
9.949,-932
9.974,-950
9.999,-796
10.024,-501
10.049,-232
10.074,-107
10.099,-82
10.124,-39
10.149,55
10.174,130
10.199,126
10.224,85
10.249,95
10.274,175
10.299,249
10.324,249
10.349,197
10.374,151
10.399,101
10.424,55
10.449,-14
10.474,-118
10.499,-221
10.524,-257
10.549,-180
10.574,-8
10.599,185
10.624,328
10.649,396
10.674,417
10.699,426
10.724,430
10.749,415
10.774,375
10.799,333
10.824,314
10.849,317
10.874,313
10.899,275
10.924,211
10.949,148
10.974,102
10.999,51
11.024,-35
11.049,-152
11.074,-244
11.099,-246
11.124,-136
11.149,44
11.174,226
11.199,358
11.224,432
11.249,467
11.274,482
11.299,482
11.324,466
11.349,442
11.374,421
11.399,410
11.424,407
11.449,400
11.474,374
11.499,324
11.524,259
11.549,195
11.574,133
11.599,60
11.624,-38
11.649,-151
11.674,-227
11.699,-211
11.724,-85
11.749,102
11.774,273
11.799,374
11.824,405
11.849,406
11.874,404
11.899,401
11.924,386
11.949,363
11.974,350
11.999,355
12.024,362
12.049,350
12.074,314
12.099,268
12.124,223
12.149,177
12.174,125
12.199,69
12.224,24
12.249,-8
12.274,-45
12.299,-93
12.324,-129
12.349,-103
12.374,11
12.399,183
12.424,339
12.449,421
12.474,432
12.499,417
12.524,410
12.549,410
12.574,397
12.599,372
12.624,357
12.649,366
12.674,386
12.699,387
12.724,357
12.749,312
12.774,271
12.799,231
12.824,174
12.849,100
12.874,30
12.899,-15
12.924,-49
12.949,-104
12.974,-195
12.999,-286
13.024,-307
13.049,-212
13.074,-20
13.099,200
13.124,379
13.149,486
13.174,532
13.199,547
13.224,549
13.249,546
13.274,542
13.299,541
13.324,546
13.349,553
13.374,551
13.399,529
13.424,485
13.449,423
13.474,357
13.499,295
13.524,232
13.549,160
13.574,76
13.599,-4
13.624,-71
13.649,-125
13.674,-193
13.699,-291
13.724,-399
13.749,-454
13.774,-398
13.799,-228
13.824,-4
13.849,188
13.874,304
13.899,355
13.924,382
13.949,408
13.974,429
13.999,433
14.024,426
14.049,425
14.074,445
14.099,473
14.124,488
14.149,473
14.174,437
14.199,394
14.224,351
14.249,302
14.274,237
14.299,161
14.324,88
14.349,26
14.374,-36
14.399,-116
14.424,-219
14.449,-310
14.474,-333
14.499,-249
14.524,-68
14.549,147
14.574,329
14.599,439
14.624,491
14.649,517
14.674,536
14.699,541
14.724,527
14.749,502
14.774,485
14.799,486
14.824,492
14.849,484
14.874,454
