df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,quality
15.991,77
16.962,74
17.843,45
18.766,32
19.938,50
20.813,57
21.888,50
22.910,63
24.128,59
24.713,50
25.927,58
26.858,47
27.688,43
28.859,56
30.025,45
30.661,30
31.880,47
32.949,57
33.829,56
34.853,66
35.731,51
36.655,31
37.834,43
38.705,36
39.632,31
40.876,34
41.679,58
42.897,49
43.821,35
44.653,27
45.581,41
46.751,25
47.677,33
48.561,42
49.722,60
50.653,41
51.572,29
52.697,41
53.672,56
54.500,55
55.672,58
56.597,60
57.474,41
58.694,33
59.572,42
60.493,29
61.910,38
62.595,44
63.614,63
64.641,39
65.621,32
66.444,43
67.641,50
68.495,35
69.418,49
70.588,58
71.465,34
72.393,33
73.562,49
74.533,30
75.388,37
76.535,58
77.462,45
78.341,29
79.555,42
80.436,54
81.314,44
82.532,50
83.410,60
84.432,45
85.507,36
86.384,45
87.261,33
88.481,38
89.357,49
90.235,57
91.453,32
92.331,31
93.306,56
94.572,70
95.304,64
96.376,48
97.400,41
98.278,56
99.204,33
100.376,29
101.397,34
102.178,50
103.394,40
104.275,32
105.177,43
106.322,51
107.301,44
108.126,59
109.441,64
110.223,43
111.100,36
112.318,52
113.241,32
114.167,37
115.294,55
116.413,59
117.047,36
118.266,28
119.144,44
120.176,26
121.388,31
122.363,41
123.045,49
124.220,42
125.091,27
126.017,35
127.190,25
128.360,27
128.991,40
130.235,62
131.087,44
132.014,39
133.180,24
134.063,39
135.092,24
136.154,30
137.034,44
137.912,61
139.133,39
140.011,41
140.892,56
142.108,60
142.983,62
143.862,59
145.081,46
145.960,53
146.860,39
148.053,29
148.930,45
149.880,51
151.269,32
152.000,30
152.831,51
154.194,53
154.881,51
155.803,59
156.973,44
157.851,40
158.780,49
159.947,30
160.874,29
161.751,50
162.969,47
163.854,33
164.725,40
165.920,51
166.869,34
167.729,38
168.919,50
169.844,44
170.867,35
171.989,52
172.769,55
173.646,58
174.867,60
175.743,54
176.912,46
177.839,49
178.957,28
179.645,31
180.812,44
181.736,54
182.616,41
184.078,29
184.711,38
185.687,44
186.785,28
187.732,41
188.807,51
189.758,36
190.660,23
191.586,42
192.854,30
193.682,20
194.525,32
195.730,50
196.609,33
197.488,27
198.711,50
199.822,45
200.459,26
201.678,25
202.563,51
203.481,36
204.656,34
205.529,39
206.455,35
207.671,29
208.507,35
209.475,56
210.616,31
211.525,29
212.403,49
213.716,55
214.499,49
215.388,57
216.592,44
217.525,29
218.460,44
219.569,48
220.590,25
221.325,29
222.543,51
223.471,49
224.348,26
225.568,36
226.453,56
227.369,50
228.491,56
229.368,58
230.298,44
231.464,32
232.682,39
233.273,22
234.439,24
235.412,42
236.242,43
237.555,33
238.386,31
239.216,0
240.539,9
241.361,12
242.189,11
243.359,7
244.286,10
245.258,0
246.382,0
247.269,17
248.183,28
249.355,23
250.427,24
251.256,24
252.375,31
253.206,30
254.133,0
255.551,26
256.181,0
257.107,0
258.282,0
259.154,0
260.121,6
261.252,0
262.226,26
263.055,30
264.224,32
265.443,30
266.028,20
267.393,33
268.125,55
269.004,69
270.318,65
271.098,59
271.975,62
273.240,62
274.072,59
274.951,50
276.596,40
277.046,42
277.973,39
279.188,43
280.024,33
281.042,32
282.115,47
283.039,0
283.921,0
285.334,38
286.016,0
286.942,0
288.063,0
289.086,28
289.867,28
291.183,46
291.965,46
292.989,44
294.062,67
295.184,51
295.816,44
297.034,49
298.005,46
298.934,45
300.007,61
300.884,68
301.811,76
303.416,66
303.859,42
304.784,34
306.345,37
307.026,38
307.758,4
308.929,32
309.855,45
310.732,52
311.951,51
312.830,54
313.883,60
314.924,48
316.120,34
316.706,45
317.898,39
318.779,40
319.656,48
320.874,48
321.752,43
322.724,44
323.849,50
324.723,49
325.695,47
326.823,37
327.697,38
328.623,71
329.793,64
330.719,62
331.597,47
332.807,46
333.888,42
334.617,38
335.789,50
336.813,51
337.837,50
338.765,56
339.696,57
340.519,57
341.785,59
342.616,58
343.541,63
344.711,61
345.832,41
346.515,46
347.685,47
348.754,50
349.488,44
350.658,42
351.585,39
352.516,50
354.023,52
354.558,51
355.483,41
356.606,49
357.532,57
358.411,56
359.628,48
360.506,50
361.384,32
362.602,0
363.485,0
364.359,0
365.722,0
366.453,0
367.380,0
368.550,33
369.427,39
370.353,37
371.525,38
372.400,41
373.327,35
374.592,48
375.566,54
376.326,46
377.472,30
378.397,37
379.274,42
380.494,43
381.419,46
382.250,35
383.467,30
384.391,42
385.365,56
386.443,50
387.415,62
388.245,68
389.415,65
390.292,53
391.224,47
392.388,61
393.559,52
394.192,39
395.362,43
396.288,68
397.312,76
398.336,56
399.262,62
400.140,48
401.551,49
402.238,46
403.116,42
404.332,28
405.210,35
406.088,34
407.306,24
408.183,30
409.110,56
410.328,52
411.157,31
412.083,26
413.254,50
414.277,76
415.058,69
416.373,63
417.155,73
418.031,78
419.204,72
420.463,65
421.005,59
422.418,40
423.176,35
424.121,43
425.197,39
426.075,31
426.957,22
428.171,24
429.050,26
430.267,29
