df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,temperature
5.635,34.062
6.413,34.094
7.388,34.156
8.363,34.188
9.387,34.219
10.466,34.250
11.436,34.250
12.409,34.281
13.384,34.344
14.375,34.375
15.480,34.406
16.456,34.344
17.480,34.375
18.357,34.406
19.340,34.438
20.465,34.438
21.433,34.469
22.404,34.531
23.391,34.562
24.354,34.562
25.475,34.594
26.553,34.656
27.380,34.719
28.401,34.750
29.407,34.781
30.594,34.812
31.426,34.812
32.410,34.812
33.814,34.812
34.348,34.875
35.470,34.875
36.458,34.875
37.420,34.875
38.395,34.875
39.370,34.875
40.364,34.875
41.513,34.906
42.446,34.844
43.417,34.875
44.343,34.844
45.367,34.844
46.439,34.875
47.612,34.906
48.389,34.938
49.364,34.969
50.486,34.969
51.512,35.031
52.439,35.125
53.416,35.125
54.386,35.156
55.361,35.188
56.483,35.156
57.458,35.156
58.395,35.188
59.359,35.188
60.334,35.219
61.457,35.156
62.430,35.219
63.700,35.219
64.381,35.188
65.356,35.188
66.477,35.250
67.456,35.250
68.427,35.250
69.354,35.312
70.386,35.312
71.452,35.344
72.425,35.344
73.407,35.344
74.375,35.375
75.350,35.375
76.325,35.375
77.399,35.375
78.422,35.375
79.397,35.375
80.372,35.344
81.493,35.375
82.419,35.375
83.543,35.406
84.370,35.406
85.542,35.406
86.466,35.406
87.490,35.375
88.416,35.375
89.392,35.375
90.387,35.438
91.487,35.469
92.468,35.469
93.593,35.469
94.422,35.469
95.397,35.500
96.557,35.531
97.438,35.562
98.556,35.594
99.396,35.594
100.362,35.562
101.358,35.562
102.457,35.594
103.475,35.625
104.407,35.625
105.382,35.656
106.359,35.625
107.335,35.656
108.454,35.719
109.429,35.750
110.404,35.750
111.330,35.750
112.451,35.750
113.442,35.750
114.401,35.750
115.287,35.781
116.239,35.750
117.464,35.719
118.309,35.625
119.222,35.625
120.185,35.625
121.137,35.625
122.247,35.625
123.210,35.594
124.167,35.625
125.083,35.594
126.194,35.594
127.027,35.594
128.137,35.625
129.103,35.656
130.068,35.656
131.038,35.656
132.009,35.688
133.132,35.719
134.098,35.688
135.074,35.719
136.041,35.750
137.019,35.750
138.152,35.750
139.155,35.688
140.086,35.656
141.053,35.656
141.977,35.656
143.000,35.688
144.124,35.688
145.249,35.719
146.019,35.750
147.003,35.719
147.985,35.750
149.000,35.781
150.019,35.812
151.051,35.844
152.168,35.844
153.006,35.812
154.117,35.812
155.109,35.812
156.096,35.812
157.056,35.844
158.018,35.812
159.236,35.844
160.092,35.844
161.041,35.875
162.035,35.875
162.993,35.875
164.113,35.875
165.089,35.844
166.094,35.844
167.037,35.844
168.017,35.875
168.992,35.875
170.109,35.906
171.105,35.875
172.061,36.031
172.992,36.062
174.108,36.094
175.085,36.062
176.201,36.062
177.032,36.062
178.349,36.031
178.980,36.031
180.101,36.031
181.076,36.031
182.028,35.906
183.026,35.875
184.000,35.875
185.086,35.875
186.048,35.875
187.268,35.906
188.435,35.938
188.972,35.938
190.098,35.938
191.067,35.938
192.047,36.000
193.017,36.031
193.998,36.062
195.113,36.094
196.087,36.094
197.062,36.094
197.988,36.125
198.963,36.125
200.427,36.094
201.058,36.125
202.033,36.031
203.008,36.062
204.011,36.062
205.252,36.062
206.321,36.094
207.060,36.094
208.027,36.094
209.030,36.125
210.128,36.188
211.094,36.125
212.117,36.125
213.123,36.156
214.130,36.125
215.283,36.125
216.292,36.125
217.230,36.125
218.272,36.125
219.264,36.062
220.505,36.062
221.395,36.125
222.476,36.125
223.317,36.094
224.294,36.125
225.396,36.094
226.605,36.125
227.390,36.125
228.367,36.125
229.352,36.156
230.472,36.125
231.484,36.125
232.627,36.125
233.407,36.125
234.336,36.125
235.460,36.156
236.438,36.125
237.374,36.156
238.391,36.125
239.367,36.125
240.511,36.156
241.480,36.156
242.394,36.188
243.418,36.250
244.393,36.250
245.369,36.281
246.588,36.312
247.422,36.281
248.392,36.312
249.392,36.312
250.489,36.344
251.495,36.344
252.441,36.312
253.416,36.312
254.392,36.281
255.369,36.281
256.567,36.312
257.477,36.344
258.440,36.312
259.419,36.312
260.427,36.312
261.521,36.312
262.636,36.344
263.415,36.344
264.390,36.344
265.393,36.375
266.488,36.312
267.463,36.344
268.444,36.344
269.422,36.344
270.392,36.312
271.617,36.281
272.487,36.281
273.454,36.281
274.442,36.281
275.418,36.250
276.389,36.250
277.615,36.250
278.586,36.250
279.423,36.250
280.393,36.250
281.366,36.281
282.486,36.281
283.461,36.281
284.436,36.281
285.412,36.281
286.387,36.312
287.363,36.312
288.877,36.375
289.416,36.375
290.387,36.375
291.426,36.406
292.489,36.375
293.479,36.375
294.435,36.375
295.415,36.375
296.337,36.312
297.559,36.281
298.442,36.250
299.459,36.312
300.442,36.312
301.415,36.312
302.489,36.344
303.458,36.375
304.492,36.375
305.949,36.375
306.385,36.438
307.560,36.500
308.486,36.500
309.462,36.406
310.449,36.438
311.416,36.406
312.545,36.406
313.468,36.406
314.444,36.406
315.721,36.438
316.398,36.438
317.671,36.406
318.497,36.406
