df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
6.728,-0.291,0.965,0.055
6.738,-0.289,0.963,0.055
6.748,-0.283,0.961,0.053
6.758,-0.277,0.967,0.053
6.767,-0.271,0.969,0.053
6.777,-0.266,0.977,0.053
6.787,-0.270,0.982,0.051
6.797,-0.266,0.984,0.047
6.807,-0.264,0.982,0.047
6.817,-0.260,0.980,0.043
6.827,-0.262,0.969,0.047
6.837,-0.258,0.963,0.043
6.847,-0.266,0.965,0.043
6.857,-0.277,0.965,0.045
6.867,-0.291,0.969,0.049
6.877,-0.303,0.963,0.047
6.886,-0.305,0.953,0.049
6.896,-0.303,0.947,0.045
6.906,-0.303,0.941,0.053
6.916,-0.297,0.943,0.053
6.926,-0.287,0.943,0.051
6.936,-0.283,0.951,0.053
6.946,-0.281,0.955,0.051
6.956,-0.279,0.965,0.049
6.966,-0.262,0.953,0.043
6.976,-0.273,0.980,0.055
6.986,-0.273,0.982,0.053
6.996,-0.273,0.982,0.051
7.006,-0.271,1.010,0.031
7.015,-0.266,0.984,0.041
7.025,-0.264,0.977,0.041
7.035,-0.262,0.975,0.043
7.045,-0.260,0.969,0.039
7.055,-0.256,0.965,0.041
7.065,-0.262,0.967,0.039
7.075,-0.258,0.967,0.037
7.085,-0.256,0.969,0.037
7.095,-0.250,0.967,0.035
7.105,-0.254,0.965,0.031
7.115,-0.254,0.965,0.035
7.125,-0.252,0.967,0.031
7.135,-0.252,0.967,0.031
7.144,-0.258,0.973,0.029
7.154,-0.268,0.971,0.031
7.164,-0.277,0.965,0.029
7.174,-0.281,0.957,0.029
7.184,-0.285,0.959,0.029
7.194,-0.287,0.965,0.029
7.204,-0.293,0.969,0.029
7.214,-0.295,0.973,0.033
7.224,-0.295,0.973,0.033
7.234,-0.295,0.973,0.033
7.244,-0.287,0.969,0.031
7.254,-0.287,0.959,0.049
7.264,-0.279,0.967,0.037
7.273,-0.277,0.969,0.037
7.283,-0.271,0.971,0.039
7.293,-0.271,0.977,0.037
7.303,-0.270,0.975,0.039
7.313,-0.268,0.975,0.041
7.323,-0.266,0.971,0.039
7.333,-0.270,0.969,0.037
7.343,-0.270,0.959,0.041
7.353,-0.268,0.963,0.039
7.363,-0.266,0.969,0.039
7.373,-0.266,0.973,0.041
7.383,-0.262,0.975,0.037
7.393,-0.262,0.975,0.041
7.402,-0.260,0.973,0.037
7.412,-0.260,0.965,0.037
7.422,-0.266,0.963,0.039
7.432,-0.268,0.961,0.039
7.442,-0.271,0.961,0.037
7.452,-0.275,0.965,0.043
7.462,-0.273,0.965,0.041
7.472,-0.271,0.967,0.045
7.482,-0.271,0.967,0.045
7.492,-0.275,0.965,0.047
7.502,-0.273,0.963,0.045
7.512,-0.258,0.955,0.037
7.521,-0.275,0.965,0.045
7.531,-0.266,0.965,0.041
7.541,-0.268,0.969,0.039
7.551,-0.266,0.973,0.039
7.561,-0.266,0.975,0.033
7.571,-0.240,0.965,0.035
7.581,-0.260,0.979,0.037
7.591,-0.260,0.977,0.031
7.601,-0.260,0.975,0.035
7.611,-0.264,0.979,0.035
7.621,-0.270,0.973,0.035
7.631,-0.271,0.967,0.041
7.641,-0.277,0.967,0.039
7.650,-0.283,0.961,0.043
7.660,-0.285,0.959,0.039
7.670,-0.283,0.961,0.043
7.680,-0.285,0.955,0.041
7.690,-0.281,0.955,0.041
7.700,-0.279,0.961,0.045
7.710,-0.277,0.965,0.047
7.720,-0.275,0.965,0.045
7.730,-0.275,0.971,0.047
7.740,-0.271,0.969,0.047
7.750,-0.275,0.969,0.047
7.760,-0.268,0.965,0.043
7.770,-0.268,0.965,0.043
7.779,-0.277,0.971,0.033
7.789,-0.273,0.951,0.055
7.799,-0.275,0.969,0.043
7.809,-0.275,0.971,0.039
7.819,-0.277,0.973,0.039
7.829,-0.281,0.973,0.043
7.839,-0.277,0.973,0.041
7.849,-0.275,0.971,0.041
7.859,-0.270,0.965,0.039
7.869,-0.260,0.973,0.039
7.879,-0.266,0.969,0.037
7.889,-0.264,0.965,0.039
7.899,-0.262,0.969,0.045
7.908,-0.264,0.975,0.045
7.918,-0.275,0.986,0.049
7.928,-0.289,0.994,0.049
7.938,-0.264,0.943,0.035
7.948,-0.291,0.963,0.043
7.958,-0.279,0.965,0.045
7.968,-0.273,0.969,0.051
7.978,-0.266,0.965,0.047
7.988,-0.262,0.961,0.041
7.998,-0.271,0.973,0.049
8.008,-0.270,0.971,0.047
8.018,-0.281,0.959,0.053
8.028,-0.281,0.967,0.057
8.037,-0.283,0.963,0.057
8.047,-0.291,0.955,0.051
8.057,-0.291,0.945,0.047
8.067,-0.287,0.941,0.047
8.077,-0.291,0.945,0.047
8.087,-0.293,0.947,0.051
8.097,-0.293,0.953,0.051
8.107,-0.291,0.953,0.051
8.117,-0.285,0.955,0.049
8.127,-0.281,0.955,0.049
8.137,-0.279,0.955,0.047
8.147,-0.271,0.957,0.043
8.156,-0.266,0.965,0.041
8.166,-0.258,0.977,0.041
8.176,-0.256,0.982,0.035
8.186,-0.262,0.994,0.037
8.196,-0.258,0.988,0.031
8.206,-0.262,1.000,0.008
8.216,-0.262,0.979,0.029
8.226,-0.270,0.973,0.031
8.236,-0.262,0.967,0.023
8.246,-0.262,0.965,0.021
8.256,-0.268,0.975,0.021
8.266,-0.268,0.969,0.021
8.276,-0.283,0.977,0.025
8.285,-0.289,0.979,0.027
8.295,-0.287,0.975,0.021
8.305,-0.271,0.967,-0.002
8.315,-0.279,0.973,0.002
8.325,-0.281,0.953,0.018
8.335,-0.285,0.951,0.021
8.345,-0.293,0.961,0.029
8.355,-0.283,0.961,0.021
8.365,-0.291,0.967,0.021
8.375,-0.297,0.971,0.023
8.385,-0.297,0.969,0.025
8.395,-0.299,0.965,0.025
8.405,-0.301,0.963,0.029
8.414,-0.297,0.967,0.025
8.424,-0.293,0.965,0.021
8.434,-0.295,0.965,0.027
8.444,-0.287,0.955,0.016
8.454,-0.287,0.965,0.025
8.464,-0.287,0.963,0.033
8.474,-0.285,0.967,0.027
8.484,-0.285,0.967,0.027
8.494,-0.285,0.971,0.027
8.504,-0.287,0.967,0.021
8.514,-0.289,0.980,0.031
8.524,-0.281,0.971,0.027
8.534,-0.279,0.967,0.021
8.543,-0.285,0.967,0.029
8.553,-0.283,0.961,0.027
8.563,-0.283,0.961,0.025
8.573,-0.283,0.967,0.027
8.583,-0.281,0.961,0.029
8.593,-0.293,0.969,0.031
8.603,-0.297,0.965,0.031
8.613,-0.297,0.961,0.027
8.623,-0.297,0.949,0.027
8.633,-0.301,0.957,0.031
8.643,-0.301,0.955,0.031
8.653,-0.295,0.959,0.033
8.663,-0.287,0.963,0.031
8.672,-0.299,0.961,0.035
8.682,-0.305,0.959,0.035
8.692,-0.303,0.959,0.039
8.702,-0.311,0.967,0.037
8.712,-0.305,0.959,0.033
8.722,-0.305,0.959,0.035
8.732,-0.307,0.957,0.033
8.742,-0.305,0.953,0.037
8.752,-0.311,0.951,0.037
8.762,-0.307,0.959,0.037
8.772,-0.297,0.961,0.031
8.782,-0.309,0.969,0.045
8.791,-0.297,0.957,0.035
8.801,-0.303,0.961,0.037
8.811,-0.311,0.961,0.033
8.821,-0.301,0.955,0.031
8.831,-0.311,0.955,0.031
8.841,-0.309,0.967,0.039
8.851,-0.312,0.967,0.037
8.861,-0.307,0.961,0.037
8.871,-0.299,0.961,0.041
8.881,-0.299,0.965,0.037
8.891,-0.299,0.961,0.037
8.901,-0.307,0.963,0.035
8.911,-0.311,0.959,0.039
8.920,-0.312,0.959,0.033
8.930,-0.314,0.959,0.039
8.940,-0.314,0.963,0.041
8.950,-0.309,0.955,0.035
8.960,-0.312,0.963,0.041
8.970,-0.309,0.959,0.045
8.980,-0.312,0.969,0.047
8.990,-0.312,0.969,0.053
9.000,-0.307,0.967,0.051
9.010,-0.311,0.969,0.051
9.020,-0.311,0.965,0.055
9.030,-0.314,0.963,0.053
9.040,-0.311,0.957,0.053
9.049,-0.311,0.959,0.055
9.059,-0.311,0.963,0.061
9.069,-0.314,0.961,0.059
9.079,-0.316,0.971,0.062
9.089,-0.312,0.961,0.061
9.099,-0.326,0.971,0.064
9.109,-0.312,0.941,0.057
9.119,-0.338,0.965,0.066
9.129,-0.357,0.965,0.074
9.139,-0.357,0.957,0.070
9.149,-0.354,0.943,0.064
9.159,-0.355,0.936,0.064
9.169,-0.348,0.926,0.062
9.178,-0.350,0.920,0.066
9.188,-0.346,0.916,0.066
9.198,-0.340,0.918,0.068
9.208,-0.340,0.922,0.088
9.218,-0.342,0.934,0.098
9.228,-0.332,0.957,0.082
9.238,-0.332,0.957,0.084
9.248,-0.344,0.955,0.086
9.258,-0.342,0.953,0.088
9.268,-0.342,0.949,0.088
9.278,-0.336,0.943,0.090
9.288,-0.336,0.945,0.092
9.298,-0.342,0.945,0.094
9.307,-0.340,0.947,0.098
9.317,-0.326,0.941,0.100
9.327,-0.326,0.938,0.102
9.337,-0.336,0.938,0.105
9.347,-0.355,0.941,0.109
9.357,-0.367,0.938,0.117
9.367,-0.377,0.943,0.119
9.377,-0.381,0.951,0.119
9.387,-0.379,0.943,0.127
9.397,-0.375,0.926,0.121
9.407,-0.371,0.924,0.121
9.417,-0.373,0.926,0.117
9.426,-0.365,0.930,0.117
9.436,-0.367,0.934,0.113
9.446,-0.377,0.930,0.113
9.456,-0.387,0.938,0.115
9.466,-0.387,0.943,0.119
9.476,-0.385,0.932,0.111
9.486,-0.381,0.926,0.105
9.496,-0.379,0.943,0.105
9.506,-0.381,0.936,0.135
9.516,-0.359,0.949,0.115
9.526,-0.357,0.957,0.115
9.536,-0.363,0.953,0.111
9.546,-0.371,0.949,0.111
9.555,-0.367,0.920,0.100
9.565,-0.367,0.906,0.092
9.575,-0.365,0.928,0.104
9.585,-0.357,0.943,0.105
9.595,-0.361,0.953,0.113
9.605,-0.361,0.945,0.107
9.615,-0.371,0.945,0.109
9.625,-0.381,0.947,0.107
9.635,-0.377,0.941,0.105
9.645,-0.373,0.939,0.105
9.655,-0.369,0.936,0.105
9.665,-0.367,0.939,0.105
9.675,-0.367,0.945,0.109
9.684,-0.369,0.943,0.102
9.694,-0.375,0.947,0.102
9.704,-0.379,0.945,0.105
9.714,-0.387,0.941,0.105
9.724,-0.389,0.924,0.113
9.734,-0.393,0.938,0.107
9.744,-0.387,0.938,0.109
9.754,-0.379,0.941,0.092
9.764,-0.371,0.939,0.107
9.774,-0.367,0.936,0.104
9.784,-0.354,0.922,0.098
9.794,-0.352,0.924,0.100
9.804,-0.348,0.938,0.098
9.813,-0.340,0.932,0.094
9.823,-0.346,0.938,0.094
9.833,-0.350,0.947,0.100
9.843,-0.346,0.938,0.102
9.853,-0.355,0.945,0.105
9.863,-0.352,0.949,0.104
9.873,-0.365,0.961,0.111
9.883,-0.359,0.945,0.109
9.893,-0.357,0.939,0.100
9.903,-0.369,0.953,0.094
9.913,-0.365,0.943,0.102
9.923,-0.369,0.934,0.109
9.933,-0.361,0.938,0.107
9.942,-0.357,0.934,0.104
9.952,-0.365,0.938,0.109
9.962,-0.367,0.939,0.104
9.972,-0.363,0.943,0.102
9.982,-0.354,0.936,0.096
9.992,-0.355,0.947,0.104
10.002,-0.350,0.936,0.098
10.012,-0.350,0.939,0.100
10.022,-0.344,0.943,0.094
10.032,-0.338,0.945,0.098
10.042,-0.334,0.941,0.102
10.052,-0.326,0.938,0.094
10.061,-0.320,0.938,0.094
10.071,-0.318,0.947,0.096
10.081,-0.316,0.955,0.096
10.091,-0.309,0.961,0.090
10.101,-0.303,0.963,0.092
10.111,-0.301,0.963,0.096
10.121,-0.297,0.959,0.088
10.131,-0.293,0.959,0.084
10.141,-0.297,0.963,0.084
10.151,-0.297,0.965,0.082
10.161,-0.301,0.965,0.080
10.171,-0.299,0.963,0.080
10.181,-0.303,0.965,0.078
10.190,-0.312,0.979,0.080
10.200,-0.307,0.982,0.082
10.210,-0.307,0.977,0.074
10.220,-0.303,0.967,0.072
10.230,-0.281,0.945,0.066
10.240,-0.295,0.945,0.098
10.250,-0.299,0.955,0.096
10.260,-0.293,0.969,0.076
10.270,-0.301,0.973,0.070
10.280,-0.297,0.967,0.076
10.290,-0.303,0.977,0.074
10.300,-0.305,0.961,0.078
10.310,-0.305,0.955,0.074
10.319,-0.307,0.955,0.078
10.329,-0.305,0.955,0.076
10.339,-0.309,0.959,0.080
10.349,-0.316,0.957,0.107
10.359,-0.305,0.961,0.084
10.369,-0.299,0.963,0.082
10.379,-0.299,0.938,0.070
10.389,-0.312,0.961,0.088
10.399,-0.303,0.934,0.068
10.409,-0.277,0.930,0.068
10.419,-0.309,0.939,0.098
10.429,-0.316,0.947,0.074
10.439,-0.316,0.961,0.082
10.448,-0.316,0.957,0.074
10.458,-0.318,0.963,0.078
10.468,-0.322,0.973,0.082
10.478,-0.311,0.959,0.078
10.488,-0.318,0.969,0.082
10.498,-0.324,0.959,0.068
10.508,-0.324,0.945,0.074
10.518,-0.324,0.930,0.084
10.528,-0.332,0.951,0.078
10.538,-0.336,0.959,0.076
10.548,-0.328,0.953,0.072
10.558,-0.330,0.961,0.088
10.567,-0.328,0.963,0.082
10.577,-0.326,0.963,0.074
10.587,-0.332,0.975,0.080
10.597,-0.332,0.969,0.088
10.607,-0.334,0.961,0.088
10.617,-0.330,0.951,0.080
10.627,-0.334,0.947,0.082
10.637,-0.334,0.949,0.084
10.647,-0.336,0.953,0.080
10.657,-0.336,0.953,0.080
10.667,-0.338,0.953,0.078
10.677,-0.338,0.951,0.074
10.687,-0.338,0.953,0.074
10.696,-0.330,0.947,0.076
10.706,-0.330,0.953,0.078
10.716,-0.328,0.957,0.078
10.726,-0.324,0.953,0.074
10.736,-0.326,0.959,0.074
10.746,-0.334,0.963,0.080
10.756,-0.336,0.955,0.082
10.766,-0.342,0.949,0.074
10.776,-0.346,0.953,0.076
10.786,-0.338,0.938,0.076
10.796,-0.334,0.941,0.076
10.806,-0.336,0.953,0.076
10.816,-0.324,0.951,0.076
10.825,-0.326,0.955,0.072
10.835,-0.316,0.945,0.066
10.845,-0.336,0.943,0.080
10.855,-0.328,0.967,0.045
10.865,-0.326,0.953,0.066
10.875,-0.326,0.965,0.068
10.885,-0.340,0.986,0.084
10.895,-0.318,0.971,0.055
10.905,-0.328,0.973,0.059
10.915,-0.338,0.967,0.061
10.925,-0.330,0.961,0.062
10.935,-0.334,0.963,0.070
10.945,-0.326,0.971,0.084
10.954,-0.352,0.971,0.066
10.964,-0.342,0.973,0.068
10.974,-0.342,0.977,0.074
10.984,-0.334,0.977,0.078
10.994,-0.326,0.965,0.082
11.004,-0.318,0.959,0.098
11.014,-0.314,0.943,0.092
11.024,-0.318,0.936,0.086
11.034,-0.318,0.934,0.090
11.044,-0.316,0.932,0.088
11.054,-0.312,0.934,0.104
11.064,-0.316,0.945,0.100
11.074,-0.312,0.951,0.094
11.083,-0.307,0.949,0.090
11.093,-0.301,0.949,0.090
11.103,-0.299,0.955,0.090
11.113,-0.299,0.961,0.092
11.123,-0.301,0.971,0.100
11.133,-0.305,0.977,0.094
11.143,-0.312,0.977,0.094
11.153,-0.322,0.975,0.080
11.163,-0.322,0.957,0.074
11.173,-0.314,0.938,0.061
11.183,-0.307,0.936,0.053
11.193,-0.299,0.951,0.047
11.202,-0.287,0.955,0.041
11.212,-0.275,0.941,0.033
11.222,-0.266,0.955,0.029
11.232,-0.252,0.953,0.035
11.242,-0.254,0.953,0.031
11.252,-0.260,0.955,0.031
11.262,-0.270,0.961,0.041
11.272,-0.273,0.977,0.039
11.282,-0.291,0.986,0.055
11.292,-0.305,0.992,0.066
11.302,-0.316,0.990,0.082
11.312,-0.322,0.980,0.094
11.322,-0.328,0.971,0.094
11.331,-0.332,0.967,0.088
11.341,-0.340,0.951,0.094
11.351,-0.373,0.904,0.086
11.361,-0.395,0.877,0.086
11.371,-0.420,0.877,0.100
11.381,-0.449,0.887,0.115
11.391,-0.461,0.887,0.125
11.401,-0.453,0.893,0.127
11.411,-0.459,0.898,0.127
11.421,-0.465,0.895,0.127
11.431,-0.477,0.881,0.127
11.441,-0.484,0.861,0.125
11.451,-0.512,0.842,0.129
11.460,-0.557,0.814,0.135
11.470,-0.562,0.811,0.135
11.480,-0.561,0.812,0.131
11.490,-0.545,0.803,0.137
11.500,-0.551,0.797,0.145
11.510,-0.553,0.785,0.152
11.520,-0.578,0.779,0.154
11.530,-0.615,0.770,0.154
11.540,-0.631,0.756,0.164
11.550,-0.664,0.771,0.172
11.560,-0.658,0.760,0.168
11.570,-0.656,0.764,0.162
11.580,-0.648,0.760,0.166
11.589,-0.664,0.766,0.164
11.599,-0.676,0.770,0.164
11.609,-0.738,0.773,0.174
11.619,-0.762,0.777,0.168
11.629,-0.758,0.764,0.162
11.639,-0.756,0.768,0.158
