df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,battery
7.242,80
17.241,80
27.279,80
37.274,80
47.280,80
57.311,80
67.309,80
77.300,80
87.246,80
97.289,80
107.332,80
117.190,80
126.973,80
136.967,80
146.999,80
156.901,80
166.946,80
176.841,80
186.893,80
196.927,80
207.056,80
217.129,80
227.191,80
237.365,80
247.319,80
257.327,79
267.316,79
277.267,79
287.337,79
297.264,79
307.384,79
317.667,79
327.334,79
337.389,79
347.349,79
357.297,79
367.444,79
377.303,79
387.498,79
397.352,79
407.361,79
417.493,79
427.446,79
437.431,79
447.156,79
457.233,79
467.112,79
477.238,79
487.134,79
497.146,79
507.171,79
517.159,79
527.147,79
537.147,79
547.143,79
557.134,79
567.139,79
577.218,79
587.162,78
597.154,78
607.099,78
617.110,78
627.129,78
637.182,78
647.112,78
657.152,78
667.147,78
677.152,78
687.237,78
697.183,78
707.150,78
717.124,78
727.166,78
737.084,78
747.055,78
757.053,78
767.337,78
777.183,78
787.092,78
