df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,omega
30.656,0.461
31.397,0.462
32.212,0.464
33.039,0.467
52.419,0.468
53.319,0.467
54.245,0.464
55.187,0.462
56.065,0.461
56.441,0.461
61.071,0.461
61.908,0.464
62.582,0.464
63.430,0.465
65.315,0.465
66.093,0.469
67.025,0.474
67.945,0.474
68.725,0.474
69.701,0.470
70.385,0.474
71.200,0.474
72.226,0.474
72.967,0.479
73.795,0.479
74.510,0.480
75.553,0.483
76.240,0.487
77.111,0.488
78.143,0.492
78.972,0.489
80.721,0.488
82.224,0.487
85.790,0.487
86.292,0.489
93.590,0.489
94.421,0.489
95.341,0.493
96.273,0.497
97.151,0.498
98.075,0.498
98.419,0.498
100.269,0.493
101.255,0.489
103.100,0.489
104.218,0.490
105.100,0.492
105.782,0.492
106.608,0.492
107.241,0.492
108.167,0.493
112.067,0.495
113.050,0.495
113.749,0.493
114.545,0.491
115.483,0.491
116.238,0.491
120.425,0.491
122.199,0.491
122.932,0.488
125.426,0.491
126.253,0.491
127.025,0.491
127.984,0.493
128.908,0.495
129.736,0.501
130.509,0.501
131.338,0.501
132.065,0.498
133.080,0.498
133.917,0.498
134.882,0.498
135.511,0.501
136.117,0.503
136.923,0.503
137.903,0.507
138.723,0.505
139.628,0.505
140.788,0.503
141.451,0.503
142.340,0.503
143.271,0.503
144.122,0.503
144.908,0.500
145.836,0.500
146.512,0.496
147.406,0.500
148.214,0.498
148.945,0.498
149.739,0.498
150.522,0.498
151.261,0.498
152.011,0.493
153.000,0.493
153.873,0.493
154.863,0.493
155.781,0.493
156.658,0.493
157.588,0.493
158.563,0.493
159.295,0.493
160.090,0.496
160.920,0.501
161.991,0.501
162.804,0.504
163.533,0.508
164.557,0.508
165.286,0.508
166.942,0.510
168.457,0.511
170.947,0.508
172.747,0.508
173.719,0.508
174.451,0.508
175.285,0.508
177.000,0.508
177.820,0.511
178.693,0.511
179.473,0.511
180.462,0.511
181.284,0.508
182.205,0.507
183.422,0.506
184.076,0.506
184.884,0.506
185.824,0.506
186.694,0.506
187.633,0.506
188.498,0.506
189.416,0.506
190.394,0.507
191.031,0.506
192.046,0.507
192.977,0.507
193.852,0.509
194.754,0.510
195.657,0.510
197.360,0.512
198.335,0.514
199.257,0.515
200.090,0.518
200.727,0.518
201.650,0.521
202.478,0.521
203.402,0.521
204.278,0.521
205.160,0.521
206.104,0.521
206.915,0.518
207.788,0.516
208.725,0.518
209.399,0.518
210.127,0.518
211.050,0.516
212.115,0.516
212.980,0.516
214.851,0.516
215.489,0.514
229.853,0.511
230.527,0.507
231.610,0.504
232.386,0.507
233.364,0.504
234.097,0.507
235.075,0.511
235.907,0.511
236.436,0.511
237.276,0.514
238.009,0.521
241.231,0.532
242.205,0.525
242.838,0.525
243.618,0.536
249.321,0.536
250.112,0.536
250.699,0.536
251.419,0.521
252.256,0.521
253.178,0.521
254.007,0.521
255.082,0.524
255.683,0.521
256.496,0.521
257.323,0.514
258.247,0.509
259.055,0.508
259.772,0.507
260.643,0.506
261.459,0.506
262.443,0.505
263.254,0.505
263.905,0.506
264.985,0.506
265.713,0.506
265.807,0.506
274.590,0.506
275.416,0.506
277.085,0.506
288.438,0.506
290.146,0.507
291.027,0.506
291.955,0.506
292.787,0.506
293.425,0.506
294.292,0.506
295.173,0.504
296.005,0.502
297.049,0.503
297.614,0.501
298.440,0.503
299.321,0.503
300.198,0.499
301.131,0.499
302.092,0.503
303.618,0.505
304.391,0.505
308.882,0.507
310.349,0.507
311.818,0.507
316.744,0.507
324.485,0.517
326.312,0.517
327.971,0.516
328.853,0.516
329.487,0.504
330.317,0.504
331.197,0.511
332.123,0.509
332.949,0.506
334.557,0.496
336.464,0.496
337.199,0.492
338.158,0.492
339.097,0.492
339.931,0.492
340.730,0.488
341.737,0.488
342.567,0.494
343.548,0.494
344.289,0.494
345.251,0.494
346.129,0.497
346.954,0.498
347.614,0.499
348.384,0.500
349.011,0.501
352.085,0.501
354.863,0.501
355.712,0.501
356.620,0.501
357.406,0.500
358.143,0.500
359.851,0.500
360.476,0.500
361.252,0.500
362.032,0.500
362.770,0.499
365.499,0.494
366.378,0.494
367.015,0.486
367.940,0.486
368.771,0.480
369.403,0.476
370.282,0.476
371.160,0.474
371.939,0.474
372.966,0.472
375.450,0.474
376.329,0.475
377.263,0.476
378.330,0.476
378.968,0.476
379.951,0.477
380.811,0.477
381.650,0.478
382.521,0.478
383.357,0.478
384.331,0.480
385.259,0.482
386.240,0.484
387.064,0.484
387.940,0.486
388.765,0.486
389.695,0.488
390.523,0.493
391.405,0.488
392.235,0.488
392.958,0.493
394.039,0.496
394.960,0.497
395.779,0.497
396.525,0.498
397.351,0.499
398.281,0.499
399.256,0.502
400.037,0.503
401.110,0.504
401.501,0.504
402.357,0.504
403.207,0.503
404.257,0.502
405.023,0.502
405.497,0.500
406.378,0.500
407.358,0.500
408.185,0.500
409.161,0.502
409.889,0.504
410.768,0.502
411.714,0.500
412.325,0.503
413.209,0.503
414.087,0.505
415.252,0.505
