df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,ppg_med
5.902,668
5.927,767
5.952,925
5.977,1011
6.002,979
6.027,945
6.052,1037
6.077,1205
6.102,1270
6.127,1169
6.152,1061
6.177,1119
6.202,1276
6.227,1287
6.252,1068
6.277,836
6.302,824
6.327,940
6.352,858
6.377,466
6.402,56
6.427,-59
6.452,-6
6.477,-214
6.502,-826
6.527,-1456
6.552,-1696
6.577,-1707
6.602,-2048
6.627,-2902
6.652,-3766
6.677,-4112
6.702,-4149
6.727,-4591
6.752,-5669
6.777,-6737
6.802,-7122
6.827,-7090
6.852,-7546
6.877,-8777
6.902,-9966
6.927,-10264
6.952,-10005
6.977,-10328
7.002,-11589
7.027,-12764
7.052,-12789
7.077,-12086
7.102,-12076
7.127,-13205
7.152,-14194
7.177,-13718
7.202,-12304
7.227,-11729
7.252,-12549
7.277,-13172
7.302,-11947
7.327,-9532
7.352,-8153
7.377,-8514
7.402,-8626
7.427,-6414
7.452,-2706
7.477,-313
7.502,-144
7.527,313
7.552,3709
7.577,8995
7.602,12554
7.627,13178
7.652,14111
7.677,18836
7.702,26012
7.727,30820
7.752,31573
7.777,32621
7.802,32767
7.827,32767
7.852,32767
7.877,32767
7.902,32767
7.927,32767
7.952,32767
7.977,32767
8.002,32767
8.027,32767
8.052,32767
8.077,32767
8.102,32767
8.127,32767
8.152,18331
8.177,-32768
8.202,-32768
8.227,-32768
8.252,-32768
8.277,-32768
8.302,-32768
8.327,-32768
8.352,-32768
8.377,-32768
8.402,-32768
8.427,-32768
8.452,-32768
8.477,-32768
8.502,-32768
8.527,-32768
8.552,-31073
8.577,-31301
8.602,-28717
8.627,-22363
8.652,-16504
8.677,-14478
8.702,-14479
8.727,-12505
8.752,-7807
8.777,-3465
8.802,-1888
8.827,-1676
8.852,140
8.877,3961
8.902,7252
8.927,8123
8.952,7776
8.977,8650
9.002,11090
9.027,13073
9.052,13111
9.077,12219
9.102,12379
9.127,13813
9.152,14795
9.177,14098
9.202,12639
9.227,12179
9.252,12963
9.277,13493
9.302,12581
9.327,10863
9.352,9851
9.377,9962
9.402,10142
9.427,9386
9.452,8007
9.477,7049
9.502,6840
9.527,6686
9.552,5949
9.577,4924
9.602,4355
9.627,4369
9.652,4331
9.677,3746
9.702,2908
9.727,2457
9.752,2509
9.777,2541
9.802,2117
9.827,1424
9.852,945
9.877,810
9.902,701
9.927,359
9.952,-60
9.977,-255
10.002,-223
10.027,-254
10.052,-517
10.077,-835
10.102,-961
10.127,-920
10.152,-959
10.177,-1179
10.202,-1386
10.227,-1365
10.252,-1184
10.277,-1120
10.302,-1294
10.327,-1505
10.352,-1468
10.377,-1143
10.402,-752
10.427,-502
10.452,-378
10.477,-234
10.502,-10
10.527,209
10.552,344
10.577,417
10.602,499
10.627,588
10.652,626
10.677,606
10.702,614
10.727,676
10.752,669
10.777,547
10.802,360
10.827,221
10.852,170
10.877,114
10.902,-53
10.927,-304
10.952,-468
10.977,-426
11.002,-272
11.027,-237
11.052,-439
11.077,-734
11.102,-856
11.127,-683
11.152,-342
11.177,-50
11.202,117
11.227,267
11.252,521
11.277,853
11.302,1116
11.327,1210
11.352,1172
11.377,1110
11.402,1083
11.427,1068
11.452,1025
11.477,964
11.502,911
11.527,865
11.552,795
11.577,688
11.602,576
11.627,489
11.652,416
11.677,318
11.702,197
11.727,116
11.752,137
11.777,231
11.802,281
11.827,174
11.852,-96
11.877,-414
11.902,-620
11.927,-615
11.952,-414
11.977,-125
12.002,119
12.027,243
12.052,259
12.077,248
12.102,282
12.127,367
12.152,447
12.177,473
12.202,457
12.227,458
12.252,513
12.277,590
12.302,633
12.327,625
12.352,613
12.377,641
12.402,694
12.427,706
12.452,632
12.477,496
12.502,356
12.527,244
12.552,146
12.577,52
12.602,-8
12.627,-2
12.652,38
12.677,9
12.702,-157
12.727,-393
12.752,-508
12.777,-350
12.802,48
12.827,481
12.852,738
12.877,774
12.902,717
12.927,722
12.952,831
12.977,960
13.002,1010
13.027,956
13.052,845
13.077,731
13.102,626
13.127,525
13.152,437
13.177,371
13.202,315
13.227,232
13.252,97
13.277,-71
13.302,-228
13.327,-350
13.352,-443
13.377,-519
13.402,-563
13.427,-554
13.452,-505
13.477,-476
13.502,-527
13.527,-657
13.552,-797
13.577,-852
13.602,-768
13.627,-564
13.652,-318
13.677,-121
13.702,-18
13.727,30
13.752,122
13.777,317
13.802,552
13.827,671
13.852,561
13.877,291
13.902,68
13.927,51
13.952,199
13.977,339
14.002,368
14.027,368
14.052,482
14.077,712
14.102,885
14.127,846
14.152,648
14.177,494
14.202,491
14.227,514
14.252,362
14.277,27
14.302,-250
14.327,-222
14.352,89
14.377,403
14.402,467
14.427,311
14.452,186
14.477,296
14.502,608
14.527,931
14.552,1127
14.577,1209
14.602,1259
14.627,1309
14.652,1327
14.677,1289
14.702,1223
14.727,1170
14.752,1135
14.777,1093
14.802,1029
14.827,952
14.852,860
14.877,724
14.902,524
14.927,298
14.952,127
14.977,61
15.002,75
15.027,91
15.052,45
