df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
16.362,0.979
16.392,1.021
16.422,1.010
16.452,0.984
16.482,1.011
16.512,1.013
16.542,1.026
16.572,1.045
16.602,1.047
16.632,1.026
16.662,1.004
16.692,0.969
16.722,0.983
16.752,1.013
16.782,1.025
16.812,1.035
16.842,1.021
16.872,1.029
16.902,1.027
16.932,1.028
16.962,1.017
16.992,1.026
17.022,1.019
17.052,1.021
17.082,1.018
17.112,1.029
17.142,1.024
17.172,1.011
17.202,1.020
17.232,1.011
17.262,1.010
17.292,1.016
17.322,1.010
17.352,1.014
17.382,1.023
17.412,1.016
17.442,1.014
17.472,1.017
17.502,1.018
17.532,1.013
17.562,1.025
17.592,1.019
17.622,1.023
17.652,1.020
17.682,1.014
17.712,1.006
17.742,1.025
17.772,1.017
17.802,1.016
17.832,1.018
17.862,1.022
17.892,1.021
17.922,1.024
17.952,1.025
17.982,1.021
18.012,1.013
18.042,1.012
18.072,1.018
18.102,1.007
18.132,1.013
18.162,1.015
18.192,1.024
18.222,1.026
18.252,1.021
18.282,1.024
18.312,1.017
18.342,1.020
18.372,1.018
18.402,1.021
18.432,1.010
18.462,1.015
18.492,1.017
18.522,1.020
18.552,1.018
18.582,1.018
18.612,1.017
18.642,1.022
18.672,1.020
18.702,1.015
18.732,1.019
18.762,1.022
18.792,1.016
18.822,1.019
18.852,1.021
18.882,1.021
18.912,1.013
18.942,1.013
18.972,1.017
19.002,1.019
19.032,1.019
19.062,1.023
19.092,1.021
19.122,1.018
19.152,1.018
19.182,1.020
19.212,1.017
19.242,1.018
19.272,1.016
19.302,1.017
19.332,1.020
19.362,1.022
19.392,1.018
19.422,1.019
19.452,1.013
19.482,1.019
19.512,1.020
19.542,1.021
19.572,1.019
19.602,1.016
19.632,1.020
19.662,1.018
19.692,1.018
19.722,1.022
19.752,1.017
19.782,1.018
19.812,1.019
19.842,1.018
19.872,1.020
19.902,1.021
19.932,1.021
19.962,1.015
19.992,1.018
20.022,1.021
20.052,1.013
20.082,1.015
20.112,1.017
20.142,1.019
20.172,1.013
20.202,1.020
20.232,1.019
20.262,1.014
20.292,1.012
20.322,1.014
20.352,1.018
20.382,1.016
20.412,1.016
20.442,1.020
20.472,1.018
20.502,1.017
20.532,1.021
20.562,1.021
20.592,1.021
20.622,1.020
20.652,1.020
20.682,1.020
20.712,1.023
20.742,1.019
20.772,1.016
20.802,1.020
20.832,1.016
20.862,1.017
20.892,1.020
20.922,1.024
20.952,1.008
20.982,1.015
21.012,1.022
21.042,1.022
21.072,1.018
21.102,1.021
21.132,1.021
21.162,1.018
21.192,1.016
21.222,1.018
21.252,1.016
21.282,1.017
21.312,1.018
21.342,1.020
21.372,1.021
21.402,1.021
21.432,1.019
21.462,1.019
21.492,1.016
21.522,1.014
21.552,1.021
21.582,1.019
21.612,1.017
21.642,1.018
21.672,1.019
21.702,1.016
21.732,1.017
21.762,1.018
21.792,1.013
21.822,1.017
21.852,1.023
21.882,1.017
21.912,1.015
21.942,1.018
21.972,1.018
22.002,1.019
22.032,1.017
22.062,1.021
22.092,1.019
22.122,1.015
22.152,1.019
22.182,1.018
22.212,1.014
22.242,1.020
22.272,1.019
22.302,1.020
22.332,1.022
22.362,1.016
22.392,1.014
22.422,1.021
22.452,1.024
22.482,1.021
22.512,1.017
22.542,1.021
22.572,1.019
22.602,1.019
22.632,1.015
22.662,1.017
22.692,1.017
22.722,1.018
22.752,1.021
22.782,1.015
22.812,1.017
22.842,1.020
22.872,1.020
22.902,1.017
22.932,1.018
22.962,1.021
22.992,1.019
23.022,1.016
23.052,1.021
23.082,1.019
23.112,1.021
23.142,1.021
23.172,1.025
23.202,1.022
23.232,1.011
23.262,1.015
23.292,1.016
23.322,1.022
23.352,1.021
23.382,1.018
23.412,1.013
23.442,1.022
23.472,1.018
23.502,1.021
23.532,1.022
23.562,1.012
23.592,1.027
23.622,1.023
23.652,1.016
23.682,1.021
23.712,1.020
23.742,1.020
23.772,1.019
23.802,1.016
23.832,1.019
23.862,1.020
23.892,1.020
23.922,1.020
23.952,1.018
23.982,1.023
24.012,1.023
24.042,1.016
24.072,1.017
24.102,1.019
24.132,1.021
24.162,1.019
24.192,1.021
24.222,1.011
24.252,1.017
24.282,1.024
24.312,1.021
24.342,1.021
24.372,1.017
24.402,1.021
24.432,1.019
24.462,1.018
24.492,1.015
24.522,1.019
24.552,1.020
24.582,1.018
24.612,1.021
24.642,1.019
24.672,1.016
24.702,1.019
24.732,1.020
24.762,1.017
24.792,1.019
24.822,1.021
24.852,1.018
24.882,1.017
24.912,1.016
24.942,1.025
24.972,1.024
25.002,1.018
25.032,1.020
25.062,1.019
25.092,1.019
25.122,1.017
25.152,1.016
25.182,1.018
25.212,1.015
25.242,1.021
25.272,1.024
25.302,1.019
25.332,1.021
25.362,1.022
25.392,1.019
25.422,1.018
25.452,1.019
25.482,1.020
25.512,1.019
25.542,1.019
25.572,1.018
25.602,1.020
25.632,1.019
25.662,1.020
25.692,1.020
25.722,1.022
25.752,1.015
25.782,1.021
25.812,1.020
25.842,1.021
25.872,1.016
25.902,1.019
25.932,1.020
25.962,1.017
25.992,1.018
26.022,1.019
26.052,1.020
26.082,1.016
26.112,1.023
26.142,1.021
26.172,1.014
26.202,1.016
26.232,1.021
26.262,1.023
26.292,1.020
26.322,1.020
26.352,1.017
26.382,1.019
26.412,1.019
26.442,1.020
26.472,1.018
26.502,1.018
26.532,1.019
26.562,1.020
26.592,1.021
26.622,1.017
26.652,1.021
26.682,1.020
26.712,1.023
26.742,1.019
26.772,1.014
26.802,1.018
26.832,1.021
26.862,1.019
26.892,1.021
26.922,1.020
26.952,1.012
26.982,1.024
27.012,1.027
27.042,1.019
27.072,1.017
27.102,1.019
27.132,1.020
27.162,1.018
27.192,1.018
27.222,1.021
27.252,1.019
27.282,1.021
27.312,1.018
27.342,1.021
27.372,1.021
27.402,1.021
27.432,1.018
27.462,1.019
27.492,1.016
27.522,1.016
27.552,1.022
27.582,1.019
27.612,1.021
27.642,1.019
27.672,1.018
27.702,1.017
27.732,1.022
27.762,1.021
27.792,1.014
27.822,1.023
27.852,1.023
27.882,1.017
27.912,1.019
27.942,1.018
27.972,1.021
28.002,1.018
28.032,1.018
28.062,1.018
28.092,1.019
28.122,1.021
28.152,1.021
28.182,1.019
28.212,1.016
28.242,1.019
28.272,1.021
28.302,1.017
28.332,1.021
28.362,1.017
28.392,1.023
28.422,1.019
28.452,1.021
28.482,1.019
28.512,1.021
28.542,1.013
28.572,1.021
28.602,1.022
28.632,1.015
28.662,1.024
28.692,1.023
28.722,1.017
28.752,1.019
28.782,1.018
28.812,1.020
28.842,1.020
28.872,1.020
28.902,1.021
28.932,1.020
28.962,1.020
28.992,1.020
29.022,1.016
29.052,1.021
29.082,1.022
29.112,1.021
29.142,1.021
29.172,1.019
29.202,1.017
29.232,1.021
29.262,1.021
29.292,1.019
29.322,1.018
29.352,1.016
29.382,1.021
29.412,1.021
29.442,1.020
29.472,1.011
29.502,1.020
29.532,1.024
29.562,1.021
29.592,1.016
29.622,1.019
29.652,1.018
29.682,1.019
29.712,1.019
29.742,1.021
29.772,1.021
29.802,1.020
29.832,1.021
29.862,1.015
29.892,1.019
29.922,1.021
29.952,1.020
29.982,1.017
30.012,1.016
30.042,1.020
30.072,1.021
30.102,1.021
30.132,1.018
30.162,1.019
30.192,1.017
30.222,1.016
30.252,1.021
30.282,1.018
30.312,1.018
30.342,1.021
30.372,1.024
30.402,1.018
30.432,1.019
30.462,1.017
30.492,1.021
30.522,1.019
30.552,1.007
30.582,1.014
30.612,1.008
30.642,1.016
30.672,1.030
30.702,1.028
30.732,1.027
30.762,1.028
30.792,1.017
30.822,1.015
30.852,1.016
30.882,1.019
30.912,1.020
30.942,1.021
30.972,1.025
31.002,1.029
31.032,0.999
31.062,0.987
31.092,1.017
31.122,1.016
31.152,1.007
31.182,1.015
31.212,1.028
31.242,1.016
31.272,1.002
31.302,0.993
31.332,1.019
31.362,1.012
31.392,1.020
31.422,1.050
31.452,1.035
31.482,1.044
31.512,1.061
31.542,1.070
31.572,1.071
31.602,1.086
31.632,1.063
31.662,1.050
31.692,1.051
31.722,1.037
31.752,1.032
31.782,1.053
31.812,1.055
31.842,1.048
31.872,1.043
31.902,1.046
31.932,1.054
