df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,perfusion_ir
30.650,0.600
31.361,0.600
32.207,0.610
33.032,0.630
52.414,0.610
53.316,0.600
54.242,0.600
55.181,0.600
56.047,0.600
56.437,0.600
61.068,0.610
61.904,0.600
62.579,0.600
63.420,0.600
65.310,0.600
66.089,0.610
67.018,0.610
67.942,0.610
68.722,0.610
69.697,0.610
70.381,0.610
71.195,0.610
72.190,0.600
72.964,0.590
73.789,0.590
74.487,0.600
75.549,0.600
76.235,0.600
77.108,0.590
78.131,0.580
78.962,0.580
80.715,0.570
82.208,0.580
85.786,0.590
86.285,0.590
93.583,0.590
94.417,0.590
95.249,0.590
96.268,0.590
97.145,0.590
98.072,0.600
98.413,0.600
100.266,0.600
101.246,0.620
103.096,0.620
104.214,0.620
105.096,0.620
105.778,0.630
106.604,0.630
107.237,0.630
108.163,0.630
112.064,0.630
113.040,0.630
113.746,0.630
114.540,0.630
115.478,0.630
116.230,0.630
120.418,0.650
122.193,0.640
122.927,0.650
125.421,0.650
126.248,0.650
127.022,0.660
127.952,0.660
128.904,0.660
129.731,0.650
130.504,0.650
131.335,0.650
132.061,0.650
133.077,0.650
133.911,0.650
134.879,0.650
135.507,0.650
136.113,0.650
136.919,0.640
137.896,0.630
138.719,0.630
139.624,0.630
140.765,0.640
141.447,0.640
142.330,0.650
143.247,0.650
144.119,0.650
144.901,0.650
145.831,0.660
146.509,0.660
147.388,0.660
148.171,0.670
148.904,0.670
149.729,0.680
150.518,0.680
151.241,0.680
152.004,0.680
152.995,0.680
153.857,0.690
154.857,0.690
155.774,0.680
156.655,0.680
157.585,0.680
158.560,0.670
159.291,0.660
160.026,0.660
160.899,0.660
161.981,0.660
162.798,0.650
163.530,0.650
164.553,0.650
165.282,0.650
166.921,0.640
168.454,0.630
170.944,0.640
172.744,0.650
173.715,0.650
174.447,0.650
175.281,0.640
176.992,0.640
177.816,0.640
178.690,0.640
179.470,0.630
180.450,0.630
181.273,0.630
182.104,0.640
183.418,0.640
184.069,0.640
184.881,0.630
185.820,0.630
186.683,0.630
187.608,0.640
188.492,0.640
189.412,0.640
190.390,0.630
191.027,0.630
192.042,0.630
192.974,0.630
193.849,0.640
194.746,0.640
195.650,0.630
197.357,0.630
198.331,0.640
199.168,0.660
200.086,0.660
200.723,0.660
201.646,0.640
202.468,0.640
203.398,0.640
204.274,0.660
205.155,0.670
206.081,0.680
206.832,0.690
207.783,0.710
208.719,0.710
209.395,0.710
210.123,0.710
211.046,0.690
212.111,0.670
212.973,0.660
214.835,0.660
215.485,0.660
229.829,0.660
230.524,0.660
231.603,0.670
232.382,0.670
233.361,0.700
234.094,0.710
235.071,0.720
235.858,0.720
236.398,0.730
237.272,0.720
238.005,0.720
241.228,0.690
242.202,0.690
242.835,0.720
243.615,0.720
249.060,0.720
250.105,0.720
250.690,0.720
251.375,0.720
252.250,0.700
253.175,0.690
254.004,0.680
255.077,0.670
255.674,0.670
256.491,0.650
257.318,0.650
258.201,0.650
259.032,0.650
259.767,0.650
260.637,0.650
261.418,0.650
262.439,0.650
263.228,0.650
263.868,0.650
264.981,0.640
265.710,0.650
265.776,0.650
274.587,0.650
275.413,0.650
277.078,0.650
288.402,0.650
290.143,0.650
291.023,0.650
291.853,0.650
292.783,0.660
293.418,0.660
294.288,0.660
295.169,0.660
296.001,0.670
297.032,0.680
297.611,0.680
298.436,0.680
299.318,0.680
300.193,0.670
301.125,0.670
302.002,0.680
303.611,0.680
304.387,0.680
308.879,0.680
310.344,0.680
311.815,0.670
316.739,0.680
324.458,0.670
326.308,0.670
327.968,0.670
328.849,0.670
329.484,0.670
330.313,0.670
331.192,0.670
332.119,0.670
332.766,0.670
334.532,0.680
336.461,0.690
337.195,0.700
338.136,0.700
339.003,0.700
339.925,0.700
340.716,0.700
341.734,0.710
342.563,0.720
343.540,0.720
344.286,0.710
345.247,0.720
346.126,0.720
346.907,0.720
347.604,0.720
348.356,0.720
349.007,0.720
352.082,0.730
354.860,0.740
355.674,0.740
356.613,0.740
357.402,0.750
358.137,0.740
359.841,0.740
360.470,0.740
361.249,0.720
361.999,0.690
362.767,0.680
365.493,0.670
366.374,0.670
367.011,0.670
367.936,0.670
368.767,0.670
369.398,0.660
370.277,0.660
371.155,0.660
371.935,0.660
372.962,0.650
375.445,0.650
376.324,0.650
377.252,0.650
378.326,0.650
378.965,0.660
379.945,0.700
380.717,0.720
381.641,0.720
382.473,0.720
383.354,0.720
384.326,0.720
385.253,0.720
386.234,0.710
387.060,0.690
387.888,0.680
388.721,0.680
389.691,0.690
390.518,0.710
391.402,0.710
392.231,0.710
392.941,0.710
394.033,0.690
394.825,0.690
395.744,0.690
396.521,0.690
397.347,0.690
398.277,0.690
399.252,0.690
400.033,0.690
401.106,0.690
401.497,0.680
402.350,0.680
403.204,0.680
404.238,0.690
405.014,0.690
405.493,0.690
406.374,0.680
407.352,0.670
408.181,0.670
409.158,0.670
409.886,0.660
410.764,0.660
411.689,0.660
412.322,0.660
413.206,0.660
414.083,0.660
