df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,ppg_quality
58.002,88
60.022,86
61.032,90
63.052,89
64.062,88
65.072,89
67.092,90
69.112,101
70.122,105
71.132,105
72.142,103
74.162,101
75.172,102
77.192,107
79.212,102
80.222,98
81.232,99
82.242,105
84.262,107
86.282,99
88.302,99
90.322,100
92.342,86
94.362,83
95.372,84
96.382,85
97.392,84
99.412,84
100.422,85
101.432,89
103.452,96
104.462,96
105.472,97
106.482,101
107.492,105
109.512,107
110.522,107
112.542,108
114.562,109
116.582,110
117.592,106
118.602,99
120.622,93
122.642,97
124.662,94
126.682,90
128.702,100
129.712,102
130.722,101
131.732,98
133.752,100
135.772,100
137.792,94
139.812,96
140.822,98
141.832,98
142.842,96
143.852,96
144.862,99
146.882,104
148.902,108
150.922,111
152.942,110
153.952,108
154.962,103
156.982,101
157.992,102
159.002,102
160.012,102
161.022,103
162.032,102
163.042,99
166.072,104
167.082,106
168.092,104
170.112,96
171.122,97
172.132,99
174.152,101
176.172,104
177.182,105
179.202,107
180.212,107
181.222,105
183.242,110
185.262,109
187.282,99
188.292,98
189.302,100
191.322,102
193.342,96
194.352,93
196.372,94
197.382,96
198.392,99
200.412,102
202.432,99
204.452,104
206.472,109
208.492,104
210.512,103
211.522,106
212.532,107
214.552,98
215.562,94
217.582,89
219.602,81
221.622,78
223.642,81
225.662,74
227.682,60
228.692,64
229.702,69
231.722,70
232.732,71
234.752,77
236.772,98
237.782,105
238.792,108
240.812,103
242.832,99
244.852,104
245.862,101
247.882,95
248.892,95
250.912,97
251.922,101
253.942,98
255.962,104
257.982,110
258.992,108
260.002,110
262.012,114
264.032,116
265.042,115
266.052,113
268.072,100
269.082,85
271.102,68
272.112,61
273.122,54
275.142,47
276.152,46
277.162,44
278.172,55
279.182,69
281.202,78
283.222,61
286.252,52
288.272,44
290.292,47
291.302,50
292.312,54
294.332,105
295.342,100
296.352,95
297.362,91
298.372,112
300.392,110
303.422,109
305.442,108
306.452,105
307.462,96
309.482,78
310.492,72
311.502,68
313.522,60
315.542,56
316.552,59
317.562,62
318.572,67
320.592,60
322.612,61
324.632,52
326.652,52
328.672,58
330.692,80
331.702,78
332.712,81
334.732,95
335.742,101
337.762,98
339.782,99
341.802,104
342.812,104
343.822,101
345.842,101
347.862,103
349.882,97
351.902,94
352.912,95
353.922,95
354.932,95
356.952,95
357.962,95
358.972,98
359.982,101
360.992,104
363.012,105
365.032,104
366.042,102
368.062,104
369.072,104
370.082,101
372.102,101
374.122,106
375.132,106
376.142,107
377.152,107
378.162,106
380.182,109
382.202,111
384.222,109
385.232,112
386.242,115
388.262,114
389.272,112
391.292,107
392.302,106
393.312,107
395.332,107
397.352,103
399.372,104
401.392,109
403.412,106
404.422,105
405.432,106
408.462,107
409.472,106
410.482,106
412.502,104
414.522,106
416.542,104
417.552,103
419.572,103
420.582,104
422.602,107
423.612,106
425.632,104
426.642,106
427.652,109
429.672,110
431.692,105
432.702,104
433.712,104
434.722,105
435.732,106
436.742,105
438.762,102
439.772,101
440.782,103
442.802,108
444.822,107
446.842,107
448.862,105
450.882,106
451.892,103
453.912,103
454.922,103
456.942,95
457.952,98
458.962,102
459.972,101
460.982,99
461.992,100
464.012,105
465.022,106
466.032,107
468.052,111
469.062,110
470.072,109
472.092,108
474.112,107
475.122,107
476.132,108
477.142,108
479.162,104
480.172,106
481.182,108
482.192,105
483.202,102
485.222,106
487.242,107
489.262,106
490.272,103
491.282,105
492.292,105
494.312,104
496.332,99
498.352,97
500.372,97
501.382,94
502.392,94
503.402,96
504.412,94
506.432,92
508.452,99
509.462,101
511.482,104
513.502,101
515.522,103
517.532,101
519.552,90
521.572,79
523.592,82
525.612,84
526.622,86
528.642,89
530.662,98
532.682,103
534.702,99
536.722,95
537.732,94
538.742,93
540.762,88
542.782,90
543.792,90
544.802,87
545.812,86
547.832,82
549.852,81
550.862,85
551.872,85
553.892,89
555.912,94
556.922,95
557.932,95
559.952,89
560.962,85
561.972,85
562.982,85
565.002,84
567.022,87
568.032,90
569.042,97
571.062,104
573.082,105
574.092,103
575.102,102
577.122,95
579.142,66
580.152,61
582.172,57
584.192,43
585.202,31
586.212,19
587.222,21
588.232,27
590.252,29
592.272,25
594.292,39
596.312,59
597.322,65
598.332,71
599.342,78
601.362,90
603.382,90
604.392,92
605.402,91
607.422,94
609.442,99
611.462,95
613.482,94
615.502,95
617.522,93
618.532,91
620.552,89
622.572,100
624.592,95
626.612,95
628.632,95
630.652,96
632.672,88
633.682,84
634.692,81
635.702,76
636.712,76
637.722,76
639.742,74
641.762,68
643.782,68
645.802,73
647.822,66
649.842,64
650.852,67
652.872,59
653.882,55
654.892,56
655.902,61
657.922,62
658.932,60
660.952,55
662.972,72
663.982,78
664.992,80
667.012,86
669.032,94
671.052,97
673.072,93
674.082,97
675.092,98
677.112,94
678.122,96
680.142,99
682.162,106
684.182,108
686.202,106
688.222,107
690.242,111
692.262,106
694.282,101
696.302,106
698.322,102
699.332,97
700.342,94
701.352,97
702.362,101
703.372,101
