df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,acc_mag
26.576,1.010
26.606,1.011
26.636,1.018
26.666,1.021
26.696,1.020
26.726,1.004
26.756,1.016
26.786,1.017
26.816,1.025
26.846,1.015
26.876,1.009
26.906,1.018
26.936,1.018
26.966,1.024
26.996,1.012
27.026,1.016
27.056,1.020
27.086,1.022
27.116,1.020
27.146,1.021
27.176,1.017
27.206,1.010
27.236,1.022
27.266,1.023
27.296,1.010
27.326,1.015
27.356,1.021
27.386,1.019
27.416,1.024
27.446,1.012
27.476,1.016
27.506,1.021
27.536,1.011
27.566,1.019
27.596,1.016
27.626,1.022
27.656,1.022
27.686,1.016
27.716,1.018
27.746,1.016
27.776,1.019
27.806,1.024
27.836,1.016
27.866,1.017
27.896,1.012
27.926,1.017
27.956,1.018
27.986,1.021
28.016,1.014
28.046,1.021
28.076,1.021
28.106,1.012
28.136,1.019
28.166,1.022
28.196,1.015
28.226,1.019
28.256,1.023
28.286,1.014
28.316,1.021
28.346,1.014
28.376,1.019
28.406,1.020
28.436,1.018
28.466,1.023
28.496,1.009
28.526,1.019
28.556,1.019
28.586,1.015
28.616,1.012
28.646,1.022
28.676,1.018
28.706,1.008
28.736,1.019
28.766,1.017
28.796,1.020
28.826,1.017
28.856,1.017
28.886,1.021
28.916,1.016
28.946,1.020
28.976,1.008
29.006,1.018
29.036,1.021
29.066,1.020
29.096,1.019
29.126,1.010
29.156,1.017
29.186,1.030
29.216,1.015
29.246,1.018
29.276,1.022
29.306,1.013
29.336,1.013
29.366,1.020
29.396,1.018
29.426,1.018
29.456,1.019
29.486,1.012
29.516,1.017
29.546,1.018
29.576,1.016
29.606,1.013
29.636,1.022
29.666,1.024
29.696,1.012
29.726,1.017
29.756,1.015
29.786,1.024
29.816,1.009
29.846,1.022
29.876,1.018
29.906,1.017
29.936,1.020
29.966,1.019
29.996,1.018
30.026,1.014
30.056,1.018
30.086,1.021
30.116,1.015
30.146,1.021
30.176,1.014
30.206,1.014
30.236,1.018
30.266,1.025
30.296,1.010
30.326,1.010
30.356,1.016
30.386,1.020
30.416,1.017
30.446,1.019
30.476,1.010
30.506,1.020
30.536,1.017
30.566,1.013
30.596,1.012
30.626,1.018
30.656,1.016
30.686,1.021
30.716,1.018
30.746,1.011
30.776,1.012
30.806,1.018
30.836,1.030
30.866,1.012
30.896,1.008
30.926,1.015
30.956,1.022
30.986,1.019
31.016,1.021
31.046,1.008
31.076,1.018
31.106,1.021
31.136,1.018
31.166,1.015
31.196,1.019
31.226,1.014
31.256,1.022
31.286,1.015
31.316,1.016
31.346,1.019
31.376,1.020
31.406,1.021
31.436,1.021
31.466,1.010
31.496,1.016
31.526,1.022
31.556,1.010
31.586,1.021
31.616,1.014
31.646,1.016
31.676,1.015
31.706,1.018
31.736,1.014
31.766,1.014
31.796,1.022
31.826,1.022
31.856,1.015
31.886,1.017
31.916,1.010
31.946,1.022
31.976,1.019
32.006,1.017
32.036,1.015
32.066,1.016
32.096,1.021
32.126,1.022
32.156,1.016
32.186,1.020
32.216,1.015
32.246,1.017
32.276,1.016
32.306,1.018
32.336,1.017
32.366,1.020
32.396,1.021
32.426,1.017
32.456,1.016
32.486,1.014
32.516,1.023
32.546,1.019
32.576,1.013
32.606,1.019
32.636,1.017
32.666,1.018
32.696,1.021
32.726,1.015
32.756,1.021
32.786,1.013
32.816,1.015
32.846,1.020
32.876,1.014
32.906,1.022
32.936,1.017
32.966,1.021
32.996,1.016
33.026,1.019
33.056,1.021
33.086,1.014
33.116,1.024
33.146,1.012
33.176,1.013
33.206,1.013
33.236,1.014
33.266,1.017
33.296,1.017
33.326,1.017
33.356,1.018
33.386,1.021
33.416,1.017
33.446,1.021
33.476,1.014
33.506,1.023
33.536,1.018
33.566,1.016
33.596,1.021
33.626,1.018
33.656,1.017
33.686,1.011
33.716,1.021
33.746,1.021
33.776,1.014
33.806,1.017
33.836,1.016
33.866,1.021
33.896,1.024
33.926,1.016
33.956,1.015
33.986,1.020
34.016,1.012
34.046,1.017
34.076,1.020
34.106,1.018
34.136,1.019
34.166,1.019
34.196,1.020
34.226,1.014
34.256,1.019
34.286,1.023
34.316,1.014
34.346,1.024
34.376,1.016
34.406,1.014
34.436,1.017
34.466,1.016
34.496,1.017
34.526,1.013
34.556,1.016
34.586,1.025
34.616,1.016
34.646,1.017
34.676,1.015
34.706,1.021
34.736,1.018
34.766,1.024
34.796,1.020
34.826,1.013
34.856,1.017
34.886,1.021
34.916,1.027
34.946,1.018
34.976,1.012
35.006,1.010
35.036,1.017
35.066,1.029
35.096,1.017
35.126,1.016
35.156,1.017
35.186,1.019
35.216,1.018
35.246,1.017
35.276,1.021
35.306,1.017
35.336,1.022
35.366,1.018
35.396,1.012
35.426,1.019
35.456,1.025
35.486,1.025
35.516,1.023
35.546,1.012
35.576,1.014
35.606,1.022
35.636,1.020
35.666,1.012
35.696,1.017
35.726,1.017
35.756,1.024
35.786,1.016
35.816,1.016
35.846,1.017
35.876,1.018
35.906,1.021
35.936,1.015
35.966,1.016
35.996,1.017
36.026,1.019
36.056,1.024
36.086,1.013
36.116,1.016
36.146,1.013
36.176,1.025
36.206,1.024
36.236,1.023
36.266,1.009
36.296,1.021
36.326,1.021
36.356,1.012
36.386,1.019
36.416,1.016
36.446,1.017
36.476,1.022
36.506,1.020
36.536,1.012
36.566,1.017
36.596,1.029
36.626,1.014
36.656,1.011
36.686,1.023
36.716,1.022
36.746,1.022
36.776,1.014
36.806,1.011
36.836,1.021
36.866,1.022
36.896,1.015
36.926,1.016
36.956,1.021
36.986,1.021
37.016,1.020
37.046,1.009
37.076,1.017
37.106,1.018
37.136,1.026
37.166,1.019
37.196,1.008
37.226,1.018
37.256,1.021
37.286,1.024
37.316,1.005
37.346,1.013
37.376,1.016
37.406,1.022
37.436,1.014
37.466,1.013
37.496,1.017
37.526,1.021
37.556,1.020
37.586,1.018
37.616,1.016
37.646,1.016
37.676,1.025
37.706,1.020
37.736,1.021
37.766,1.008
37.796,1.012
37.826,1.022
37.856,1.020
37.886,1.021
37.916,1.006
37.946,1.015
37.976,1.021
38.006,1.019
