df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,perfusion_ir
32.455,0.250
32.889,0.240
33.522,0.250
34.253,0.250
34.644,0.250
35.371,0.250
36.068,0.250
36.347,0.240
36.931,0.240
37.562,0.240
38.057,0.240
38.735,0.240
39.466,0.240
41.512,0.250
42.297,0.250
42.781,0.250
43.419,0.240
43.854,0.240
44.796,0.240
46.097,0.240
47.313,0.250
47.900,0.250
50.045,0.250
50.248,0.240
51.360,0.240
52.143,0.230
52.529,0.230
53.022,0.230
53.702,0.230
54.140,0.240
54.823,0.240
55.603,0.240
56.334,0.240
56.675,0.230
57.209,0.230
57.802,0.230
58.334,0.220
58.776,0.220
59.403,0.220
60.094,0.220
62.328,0.220
63.016,0.220
63.498,0.220
64.040,0.220
64.719,0.220
65.253,0.230
65.970,0.230
66.480,0.230
67.210,0.240
67.886,0.230
68.470,0.230
69.104,0.230
69.740,0.230
70.274,0.240
70.959,0.240
71.556,0.240
72.473,0.240
72.867,0.240
73.505,0.240
74.272,0.240
74.664,0.230
75.347,0.230
75.834,0.230
76.369,0.230
77.150,0.230
77.635,0.230
78.321,0.230
78.905,0.230
79.491,0.220
80.078,0.220
80.613,0.220
81.291,0.220
81.889,0.220
82.516,0.220
83.049,0.220
83.732,0.220
84.363,0.220
84.854,0.220
85.536,0.220
86.169,0.220
86.657,0.220
87.390,0.220
87.931,0.220
88.607,0.220
89.289,0.220
90.067,0.220
90.607,0.220
91.099,0.220
91.675,0.220
92.504,0.220
93.040,0.220
93.486,0.210
94.015,0.210
94.754,0.210
95.527,0.210
95.972,0.210
96.797,0.210
97.575,0.210
98.024,0.210
98.847,0.220
99.478,0.220
100.014,0.220
100.500,0.220
100.993,0.210
101.769,0.210
102.452,0.210
102.940,0.220
103.622,0.210
104.261,0.210
104.743,0.210
105.474,0.210
106.168,0.220
107.958,0.220
109.713,0.220
111.033,0.220
111.572,0.220
112.155,0.210
112.884,0.210
113.530,0.210
113.958,0.200
114.688,0.210
115.177,0.210
115.813,0.210
116.496,0.200
117.178,0.200
117.664,0.200
118.301,0.200
119.024,0.200
119.513,0.200
120.155,0.200
120.780,0.200
121.270,0.190
121.901,0.200
122.583,0.200
123.269,0.200
123.787,0.200
124.439,0.200
125.267,0.200
125.709,0.200
126.242,0.190
126.678,0.190
127.458,0.190
128.047,0.190
128.684,0.190
129.168,0.200
129.901,0.200
130.440,0.200
131.118,0.200
131.797,0.190
132.291,0.190
132.823,0.190
133.412,0.200
134.091,0.200
135.599,0.200
135.993,0.200
136.673,0.200
137.891,0.200
138.479,0.200
139.210,0.200
140.284,0.200
141.111,0.200
141.501,0.200
142.183,0.200
142.678,0.200
143.325,0.200
144.036,0.200
144.479,0.200
145.160,0.200
145.789,0.200
146.263,0.200
146.812,0.200
147.592,0.200
148.082,0.200
148.765,0.190
149.493,0.190
150.179,0.200
150.956,0.200
151.645,0.200
152.276,0.190
152.812,0.190
153.450,0.190
155.007,0.190
155.428,0.190
156.126,0.190
156.806,0.190
157.248,0.190
157.947,0.190
158.610,0.190
159.112,0.190
159.739,0.200
160.855,0.190
161.437,0.190
161.973,0.190
162.513,0.190
163.098,0.190
163.631,0.190
164.216,0.190
164.902,0.180
165.487,0.180
166.074,0.170
166.660,0.170
167.337,0.170
167.837,0.170
168.460,0.170
168.915,0.170
169.487,0.170
170.751,0.170
171.301,0.170
171.926,0.170
172.701,0.170
173.335,0.170
173.784,0.170
174.356,0.170
177.431,0.170
178.796,0.170
179.527,0.170
180.062,0.180
180.750,0.180
181.330,0.180
181.866,0.180
182.497,0.180
183.131,0.190
183.864,0.190
184.303,0.190
184.846,0.190
185.474,0.190
186.161,0.200
186.936,0.200
187.424,0.200
188.007,0.200
188.740,0.200
189.427,0.200
190.108,0.200
190.493,0.200
191.033,0.200
191.812,0.200
192.349,0.200
192.978,0.200
193.859,0.200
194.205,0.200
195.021,0.200
195.465,0.190
196.168,0.200
196.846,0.200
197.464,0.200
198.734,0.200
199.757,0.190
200.489,0.190
201.022,0.190
201.607,0.190
202.290,0.190
202.878,0.190
203.658,0.190
204.142,0.190
204.928,0.190
207.707,0.190
209.407,0.190
211.459,0.190
211.991,0.190
213.262,0.190
213.795,0.190
215.076,0.190
216.918,0.190
218.527,0.190
219.648,0.190
220.965,0.190
225.938,0.190
231.105,0.190
231.495,0.190
232.613,0.190
247.579,0.190
248.131,0.190
248.557,0.190
249.243,0.180
249.678,0.180
250.164,0.180
251.875,0.180
252.164,0.180
252.849,0.180
253.287,0.180
254.067,0.180
257.622,0.180
259.669,0.180
260.271,0.180
260.652,0.180
261.329,0.180
261.771,0.180
262.353,0.180
265.522,0.180
266.156,0.180
266.841,0.180
267.579,0.180
268.152,0.180
268.794,0.180
269.326,0.180
269.816,0.180
270.255,0.180
270.784,0.180
272.345,0.180
277.668,0.180
278.149,0.180
278.685,0.180
279.364,0.180
280.098,0.180
282.292,0.180
282.739,0.180
283.809,0.180
284.925,0.180
285.266,0.180
285.703,0.170
286.781,0.180
291.263,0.170
292.197,0.170
