df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,omega
32.469,0.511
32.903,0.511
33.528,0.511
34.257,0.511
34.647,0.511
35.375,0.511
36.074,0.511
36.351,0.511
36.934,0.511
37.569,0.511
38.062,0.511
38.738,0.511
39.470,0.511
41.517,0.511
42.300,0.511
42.785,0.511
43.434,0.511
43.863,0.513
44.927,0.513
46.100,0.513
47.317,0.513
47.903,0.516
50.056,0.513
50.254,0.510
51.369,0.510
52.146,0.513
52.557,0.516
53.026,0.517
53.705,0.513
54.144,0.511
54.827,0.511
55.606,0.513
56.340,0.513
56.679,0.512
57.212,0.512
57.812,0.512
58.337,0.512
58.780,0.512
59.408,0.512
60.099,0.512
62.332,0.512
63.041,0.512
63.504,0.513
64.054,0.513
64.724,0.515
65.258,0.515
66.033,0.515
66.520,0.515
67.303,0.517
67.889,0.520
68.477,0.520
69.107,0.520
69.744,0.520
70.278,0.521
70.964,0.521
71.590,0.521
72.477,0.521
72.871,0.521
73.528,0.521
74.277,0.521
74.670,0.521
75.366,0.521
75.838,0.521
76.377,0.521
77.154,0.521
77.639,0.521
78.324,0.520
78.913,0.520
79.496,0.520
80.085,0.519
80.619,0.519
81.295,0.519
81.928,0.520
82.520,0.520
83.053,0.519
83.737,0.519
84.367,0.519
84.901,0.519
85.540,0.520
86.173,0.522
86.661,0.522
87.583,0.522
87.973,0.522
88.612,0.522
89.293,0.523
90.070,0.524
90.653,0.525
91.104,0.525
91.679,0.525
92.508,0.525
93.045,0.525
93.531,0.525
94.020,0.524
94.796,0.523
95.530,0.523
96.014,0.522
96.843,0.522
97.578,0.522
98.162,0.522
98.851,0.521
99.481,0.519
100.018,0.518
100.503,0.515
100.997,0.515
101.773,0.512
102.455,0.511
102.944,0.511
103.626,0.510
104.266,0.510
104.757,0.511
105.480,0.510
106.179,0.510
107.962,0.510
109.717,0.509
111.037,0.506
111.714,0.502
112.160,0.501
112.889,0.500
113.534,0.498
113.962,0.498
114.692,0.497
115.184,0.484
115.816,0.471
116.505,0.469
117.182,0.466
117.670,0.463
118.307,0.462
119.029,0.459
119.528,0.459
120.160,0.459
120.787,0.457
121.283,0.457
121.905,0.457
122.587,0.457
123.272,0.458
123.792,0.458
124.442,0.457
125.270,0.457
125.712,0.457
126.246,0.457
126.682,0.458
127.461,0.458
128.053,0.458
128.693,0.455
129.216,0.455
129.906,0.452
130.481,0.455
131.166,0.458
131.801,0.458
132.295,0.458
132.828,0.458
133.417,0.456
134.095,0.456
135.605,0.458
135.998,0.456
136.677,0.456
137.894,0.459
138.482,0.464
139.221,0.459
140.293,0.458
141.117,0.458
141.507,0.461
142.192,0.462
142.684,0.462
143.333,0.464
144.039,0.466
144.483,0.466
145.164,0.466
145.793,0.464
146.276,0.462
146.820,0.464
147.596,0.464
148.087,0.464
148.770,0.462
149.593,0.462
150.182,0.462
150.960,0.462
151.649,0.458
152.283,0.460
152.815,0.458
153.493,0.455
155.010,0.455
155.490,0.455
156.130,0.457
156.810,0.457
157.252,0.457
157.950,0.459
158.614,0.459
159.124,0.464
159.745,0.469
160.861,0.464
161.440,0.464
161.977,0.459
162.516,0.459
163.104,0.462
163.635,0.466
164.223,0.462
164.912,0.462
165.490,0.462
166.082,0.462
166.663,0.464
167.341,0.465
167.847,0.464
168.464,0.464
168.996,0.464
169.490,0.464
170.757,0.462
171.480,0.458
172.113,0.457
172.705,0.456
173.339,0.457
173.871,0.457
174.360,0.458
177.482,0.459
178.801,0.459
179.538,0.459
180.066,0.462
180.760,0.464
181.334,0.465
181.870,0.467
182.503,0.468
183.135,0.471
183.867,0.474
184.308,0.492
184.986,0.511
185.478,0.512
186.164,0.519
186.941,0.530
187.428,0.534
188.011,0.535
188.744,0.536
189.432,0.537
190.113,0.539
190.497,0.542
191.037,0.545
191.860,0.546
192.356,0.546
192.984,0.546
193.863,0.546
194.209,0.546
195.029,0.546
195.471,0.546
196.171,0.547
196.850,0.547
197.467,0.547
198.738,0.546
199.760,0.546
200.492,0.546
201.026,0.546
201.612,0.546
202.294,0.550
202.884,0.554
203.663,0.549
204.146,0.549
204.931,0.549
207.802,0.548
209.412,0.552
211.472,0.546
211.995,0.541
213.266,0.541
213.798,0.538
215.163,0.538
216.922,0.537
218.530,0.537
219.651,0.537
220.968,0.538
225.942,0.538
231.109,0.535
231.498,0.525
232.617,0.525
247.584,0.521
248.167,0.521
248.561,0.514
249.246,0.514
249.683,0.507
250.168,0.514
251.878,0.514
252.168,0.519
252.861,0.519
253.295,0.519
254.071,0.519
257.625,0.520
259.673,0.520
260.277,0.520
260.891,0.522
261.333,0.520
261.776,0.520
262.357,0.522
265.526,0.523
266.159,0.523
266.845,0.522
267.582,0.520
268.156,0.523
268.798,0.525
269.331,0.527
269.819,0.527
270.258,0.527
270.833,0.524
272.348,0.530
277.856,0.530
278.152,0.530
278.700,0.528
279.379,0.522
280.102,0.522
282.298,0.516
282.779,0.516
283.816,0.522
284.930,0.516
285.269,0.510
285.900,0.510
286.784,0.510
291.267,0.510
292.429,0.504
293.019,0.500
