df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,battery
24.403,47
34.402,47
44.416,47
54.479,47
64.473,46
74.391,46
84.368,46
94.406,46
104.400,46
114.491,46
124.387,46
134.480,46
144.423,46
154.391,46
164.468,46
174.361,46
184.372,46
194.393,46
204.388,46
214.406,46
224.376,46
234.368,46
244.459,46
254.502,46
264.447,45
274.343,45
284.337,45
294.486,45
304.373,45
314.416,45
324.462,45
334.357,45
344.398,45
354.569,45
364.531,45
374.331,45
384.815,45
404.363,45
414.357,45
424.472,45
434.442,45
444.414,45
454.340,45
464.326,45
474.320,45
484.314,45
