df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,quality
25.329,50
26.448,83
27.471,84
28.304,81
29.181,84
30.401,75
31.327,68
32.301,70
33.375,66
34.397,68
35.128,70
36.444,73
37.225,74
38.247,68
39.324,71
40.491,41
41.126,29
42.490,32
43.172,52
44.098,31
45.295,25
46.146,42
47.072,73
48.242,76
49.127,73
50.191,63
51.266,50
52.301,62
53.266,70
54.190,65
55.213,58
55.994,50
57.455,58
58.139,58
58.967,41
60.137,48
61.102,27
61.941,27
63.163,33
64.334,37
64.914,32
66.133,36
67.012,60
67.985,54
69.494,70
70.033,75
70.863,76
72.106,81
73.153,79
73.915,73
75.056,74
75.932,81
76.858,80
78.031,77
79.003,78
79.980,79
81.194,74
82.224,74
82.904,73
84.219,74
85.197,77
85.780,78
86.950,81
87.877,82
88.754,76
90.115,69
90.899,69
91.727,74
93.287,76
93.832,67
94.800,74
95.920,78
96.847,55
97.675,30
98.895,50
99.771,55
100.942,31
102.208,35
102.888,58
103.919,58
105.231,65
105.865,77
106.598,76
108.107,78
108.791,69
109.914,68
110.838,57
111.962,41
112.638,53
113.905,66
114.936,62
115.761,77
116.833,83
117.955,82
118.686,76
120.108,67
120.659,70
121.617,64
122.783,65
123.709,73
124.488,67
125.954,75
126.584,72
127.510,67
128.879,73
129.752,69
130.510,65
131.605,77
132.532,66
133.483,59
134.674,69
135.849,55
136.382,50
137.552,61
138.774,62
139.359,63
140.575,80
141.750,80
142.476,80
143.552,81
144.727,77
145.304,73
146.548,72
147.405,73
148.327,80
149.837,71
150.375,53
151.496,56
152.760,74
153.397,82
154.326,81
155.496,81
156.416,78
157.550,79
158.452,81
159.441,81
160.420,77
161.487,74
162.269,74
163.198,81
164.460,77
165.391,86
166.169,84
167.482,85
168.311,85
169.292,83
170.315,86
171.285,83
172.117,82
173.479,64
174.264,60
175.139,67
176.309,55
177.187,59
178.408,64
179.426,47
180.210,53
181.112,79
182.259,70
183.183,64
184.063,72
185.231,83
186.403,80
187.034,75
188.205,79
189.176,81
190.206,81
191.178,81
192.058,82
193.131,83
194.152,76
195.273,71
195.967,81
197.172,85
198.052,80
198.929,76
200.194,77
201.269,76
202.054,81
203.146,84
204.045,82
204.975,76
206.409,80
206.973,73
207.853,66
209.070,65
210.044,72
210.830,73
212.044,76
212.921,73
214.090,72
215.062,70
215.921,71
216.772,77
217.991,77
218.966,78
219.843,72
221.013,72
221.888,80
222.819,76
224.231,74
224.913,66
225.887,53
226.961,57
227.839,57
228.716,61
229.936,55
230.911,44
231.738,40
232.908,60
233.786,61
234.675,60
235.931,50
236.857,50
237.638,43
238.856,52
239.733,52
240.906,56
241.832,56
243.004,47
243.585,57
244.803,57
245.681,56
246.704,61
247.777,87
248.947,81
249.584,87
251.146,94
251.723,87
252.555,81
253.727,77
254.602,71
255.529,77
256.701,76
257.776,72
258.548,68
259.921,70
260.599,68
261.716,79
262.646,75
263.573,84
264.495,84
265.766,86
266.592,79
267.469,79
268.688,80
269.666,89
270.443,90
271.644,88
272.688,82
273.371,77
274.590,69
275.613,73
276.345,64
277.567,58
278.487,59
279.462,71
280.550,57
281.418,69
282.488,87
283.752,94
284.391,100
285.318,99
286.725,83
287.362,77
288.288,85
289.459,100
290.436,100
291.457,92
292.527,92
293.317,91
294.477,100
295.458,98
296.336,93
297.212,95
298.428,90
299.357,92
300.233,99
301.452,93
302.426,93
303.165,87
304.328,88
305.351,90
306.131,93
307.329,93
308.228,85
309.155,93
310.324,95
311.347,92
312.083,91
313.298,83
314.323,92
315.053,85
316.271,85
317.246,83
318.121,79
319.391,83
320.197,74
321.049,72
322.560,71
323.097,73
324.123,78
325.243,74
326.168,73
327.046,81
328.261,80
329.045,79
330.068,82
331.141,78
332.068,77
332.944,79
334.114,79
335.089,80
335.918,93
337.091,92
338.014,87
338.938,83
340.064,65
340.989,66
341.912,62
343.039,64
344.105,66
344.840,68
346.205,73
346.936,71
347.815,76
349.129,68
349.909,62
350.930,61
352.051,74
352.981,83
353.761,93
355.034,91
355.906,94
356.881,95
358.002,93
358.830,73
359.858,70
360.927,72
361.850,71
362.723,74
363.903,74
364.824,69
365.852,78
367.173,73
367.781,69
368.876,72
369.900,73
370.775,62
371.749,80
372.822,80
373.848,80
374.628,71
375.987,78
376.966,82
377.810,78
378.921,63
379.722,72
380.574,85
381.840,78
382.621,83
383.641,81
396.712,7
397.593,6
398.710,6
399.688,6
400.578,6
401.446,6
402.804,15
403.680,64
404.415,82
405.731,70
406.751,73
407.389,77
408.705,68
409.485,65
410.364,66
411.630,74
412.608,81
413.437,73
414.611,92
415.432,96
416.359,83
417.529,82
418.407,80
419.479,80
420.548,80
421.474,37
422.453,34
423.574,40
424.500,64
425.375,60
426.499,0
427.474,0
428.310,36
429.473,49
430.455,32
431.422,56
432.397,81
433.478,67
434.201,66
435.518,70
436.395,76
437.226,73
438.443,78
439.317,75
440.447,69
441.319,64
442.270,73
443.122,66
444.292,57
445.220,55
446.124,74
447.266,79
448.433,68
449.070,48
450.287,53
451.215,51
452.287,30
