df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,rr_int
20.599,4090
20.890,1185
21.183,235
21.722,340
22.401,560
22.840,600
22.987,635
24.205,590
24.790,580
25.475,575
25.912,590
26.452,595
26.989,590
27.569,565
28.105,560
28.787,560
29.422,590
30.104,625
30.592,645
31.177,610
31.714,575
32.315,555
32.834,550
33.423,565
34.126,595
34.637,610
35.271,615
35.908,600
36.318,575
36.880,555
37.416,540
38.049,555
38.684,575
39.366,620
40.195,735
40.921,760
41.463,710
42.150,660
42.730,610
43.266,575
43.802,555
44.242,545
44.778,540
45.363,545
45.899,560
46.582,575
47.215,595
47.702,580
48.483,575
48.824,550
49.214,525
49.799,505
50.238,505
50.823,505
51.311,530
51.944,550
52.483,565
52.971,545
53.553,550
54.089,570
54.771,610
55.551,650
56.039,645
56.624,610
57.160,570
57.696,545
58.281,525
58.771,525
59.354,550
60.086,600
60.916,765
61.597,790
62.279,710
62.864,655
63.400,595
63.985,565
64.521,570
65.204,590
65.963,640
66.473,700
67.154,660
67.739,625
68.421,605
68.958,615
69.640,630
70.225,650
70.908,645
71.543,645
72.229,615
72.861,590
73.296,595
74.076,600
74.515,630
75.198,640
75.783,615
76.319,590
76.904,590
77.586,610
78.269,650
78.854,640
79.390,605
79.987,575
80.511,580
81.198,600
81.878,630
82.465,655
82.998,630
83.705,600
84.265,600
84.803,610
85.488,610
86.070,615
86.605,590
87.288,585
87.921,605
88.555,635
89.238,670
89.823,665
90.557,640
91.092,625
91.627,615
92.358,610
92.943,600
93.430,585
93.967,575
94.701,580
95.234,620
95.965,665
96.745,710
97.477,750
98.013,705
98.698,660
99.329,595
99.817,565
100.402,560
100.946,575
101.620,610
102.303,655
102.892,670
103.570,625
104.117,610
104.692,600
105.423,630
106.109,640
106.691,615
107.054,605
107.909,545
108.349,580
108.932,565
109.619,620
110.280,685
110.932,700
111.565,665
112.102,615
112.833,605
113.519,600
113.910,600
114.637,620
115.150,615
115.767,600
116.441,590
116.928,595
117.616,605
118.217,645
119.000,685
119.452,645
120.117,605
120.731,590
121.218,575
121.852,590
122.535,610
123.217,645
123.721,655
124.390,645
125.021,620
125.512,600
126.142,585
126.629,580
127.312,580
128.008,605
128.628,630
129.116,650
129.854,660
130.433,645
131.066,605
131.651,590
132.274,570
132.723,565
133.357,580
134.039,615
134.678,675
135.405,685
135.941,665
136.526,615
137.209,590
137.793,585
138.329,600
139.061,615
139.548,620
140.133,635
140.816,605
141.401,590
141.937,605
142.627,625
143.304,660
143.985,640
144.426,615
145.146,600
145.691,585
146.256,580
146.763,600
147.495,615
148.031,610
148.713,645
149.444,680
150.127,705
150.810,715
151.638,690
152.257,655
152.780,670
153.443,645
154.125,675
154.710,640
155.394,625
155.928,625
156.660,610
157.233,635
157.854,620
158.464,620
159.070,605
159.590,600
160.144,575
160.657,580
161.388,575
161.925,575
162.464,575
163.046,575
163.621,585
164.167,595
164.850,590
165.402,590
165.971,595
166.510,610
167.190,595
167.799,590
168.316,580
168.897,585
169.437,590
170.017,580
170.700,570
171.291,590
171.919,600
172.650,655
173.186,685
173.772,635
174.307,600
175.087,575
175.439,550
176.111,570
176.648,605
177.378,625
178.061,675
178.744,680
179.431,690
180.011,670
180.694,640
181.230,615
181.815,600
182.351,600
183.034,600
183.618,610
184.155,605
184.838,610
185.422,610
186.125,640
186.787,650
187.390,635
187.939,615
188.591,610
189.183,615
189.959,615
190.395,625
190.980,600
191.760,605
192.247,615
192.930,640
193.612,665
194.197,680
194.941,640
195.416,635
196.113,640
196.831,640
197.366,640
197.902,615
198.683,595
199.170,600
199.706,590
200.437,610
200.974,620
201.559,610
202.241,595
202.777,615
203.509,645
204.094,670
204.731,640
205.361,610
205.849,580
206.421,600
207.116,570
207.653,605
208.374,575
208.895,535
209.359,570
209.944,560
210.285,550
210.871,530
211.406,545
211.943,565
212.729,580
213.210,595
213.747,595
214.477,585
215.067,620
215.599,600
216.281,635
216.821,590
217.402,620
217.939,585
218.478,575
219.060,565
219.596,555
220.279,560
220.934,620
221.400,605
222.131,600
222.668,595
223.253,580
223.643,535
224.240,515
224.764,595
225.301,510
225.892,545
226.424,525
226.568,605
226.572,175
226.714,15
226.718,10
226.912,15
227.104,15
227.107,305
227.250,285
227.254,20
227.397,185
228.570,575
229.054,525
229.497,455
230.032,520
230.468,490
231.027,490
231.446,480
232.126,530
232.564,585
232.618,465
232.954,15
233.637,375
233.929,670
233.933,400
234.469,10
235.051,555
235.443,480
236.025,490
236.626,515
237.290,540
237.295,520
237.298,15
237.341,15
237.345,10
237.370,200
237.488,10
238.426,265
238.658,530
239.097,520
239.636,520
240.065,470
240.640,490
241.075,515
241.339,470
242.120,235
242.265,770
242.558,430
244.069,1060
244.608,505
245.093,535
245.581,525
246.167,515
246.604,485
247.140,485
247.530,515
248.116,490
248.505,490
249.161,500
249.626,490
250.065,530
250.605,505
251.156,535
251.728,530
252.113,540
252.698,530
253.234,550
253.819,555
254.944,575
255.487,1060
256.013,525
256.481,545
256.988,530
257.573,535
258.006,515
258.555,505
