df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,ppg_quality
68.261,91
70.281,89
71.291,89
73.311,88
75.331,90
76.341,91
77.351,89
78.361,89
80.381,88
81.391,89
82.401,88
84.421,89
86.441,88
87.451,88
88.461,88
90.481,89
93.511,89
95.531,88
97.551,89
99.571,88
101.591,89
102.601,89
104.621,88
105.631,89
106.641,90
108.661,88
109.671,86
110.681,87
112.701,84
113.711,84
115.731,83
117.751,82
118.761,83
119.771,84
121.791,82
123.811,83
124.821,85
125.831,85
128.861,83
130.881,84
131.891,85
132.901,85
133.911,85
135.931,87
136.941,87
139.971,86
141.991,84
144.011,84
146.031,81
148.051,80
149.061,80
151.081,82
153.101,81
155.121,79
157.141,81
158.151,81
159.161,80
160.171,75
161.181,75
162.191,73
163.201,74
164.211,73
166.231,73
168.251,73
170.271,76
172.291,78
173.301,78
174.311,77
175.321,79
177.341,80
179.361,81
181.381,83
182.391,83
183.401,84
184.411,85
186.431,85
188.451,85
189.461,86
190.471,85
191.481,85
192.491,86
194.511,87
195.521,86
197.541,87
198.551,86
199.561,87
201.581,86
203.601,85
204.611,83
205.621,84
206.631,82
208.651,82
210.671,80
212.691,79
214.711,80
215.721,82
216.731,83
217.741,86
219.761,86
221.781,85
223.801,81
225.821,73
227.841,60
228.851,51
229.861,43
230.871,34
231.881,30
232.891,29
234.911,23
236.931,42
237.941,56
238.951,62
239.961,65
241.981,67
244.001,65
246.021,62
247.031,60
249.051,61
250.061,64
253.091,78
255.111,88
257.131,84
259.151,77
260.161,75
261.171,78
264.201,80
266.221,78
268.241,77
270.261,80
272.281,80
273.291,83
274.301,84
275.311,86
277.331,86
279.351,74
281.371,67
283.391,63
285.411,60
286.421,62
287.431,65
288.441,70
290.461,70
292.481,66
293.491,65
294.501,66
296.521,65
297.531,63
298.541,64
299.551,67
301.571,70
302.581,70
303.591,71
304.601,71
305.611,71
307.631,70
310.661,64
311.671,63
312.681,64
314.701,60
316.721,54
317.731,50
318.741,48
319.751,49
321.771,54
323.791,54
325.811,60
327.831,68
329.851,73
330.861,73
331.871,75
332.881,76
334.901,74
336.921,66
338.941,61
340.961,61
341.971,58
343.991,46
345.001,45
346.011,47
347.021,49
348.031,49
350.051,30
351.061,18
352.071,12
353.081,10
355.101,12
357.121,12
359.141,22
361.161,40
363.181,46
366.211,42
368.231,45
370.251,33
372.271,45
374.291,53
375.301,55
376.311,56
377.321,48
379.341,51
381.361,61
383.381,50
385.401,42
448.839,74
450.859,77
451.869,79
453.889,80
455.909,79
456.919,84
457.929,86
459.949,88
461.969,85
464.999,84
466.009,84
467.019,83
469.039,85
471.059,87
472.069,82
473.079,77
476.109,80
478.129,64
480.149,43
482.169,40
484.189,30
485.199,26
487.219,9
488.229,18
489.239,13
491.259,23
