df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,heart_rate
7.850,49
26.622,72
27.550,69
28.764,70
29.739,70
30.470,70
31.689,73
32.578,74
33.444,72
34.662,72
35.546,72
36.502,72
37.636,72
38.514,72
39.441,72
40.645,72
41.487,72
42.414,72
43.584,71
44.461,70
45.388,70
46.804,70
47.435,71
48.385,71
49.537,71
50.458,71
51.359,71
52.655,71
53.431,72
54.309,71
55.479,71
56.405,71
57.283,71
58.454,71
59.380,71
60.257,70
61.450,70
62.353,70
63.230,70
64.451,70
65.327,70
66.204,70
67.423,75
68.339,73
69.178,72
70.420,72
71.274,72
72.203,72
73.410,72
74.248,72
75.174,74
76.344,74
77.223,74
78.150,73
79.318,71
80.196,69
81.073,69
82.292,69
83.169,69
84.096,73
85.298,75
86.143,75
87.021,73
88.239,73
89.117,72
90.043,73
91.213,73
92.237,74
93.017,75
94.208,76
95.065,77
95.991,76
97.210,76
98.115,76
99.013,76
100.135,74
101.061,74
101.938,73
103.108,72
104.036,72
104.918,73
106.082,72
107.009,73
107.895,74
109.119,73
109.982,73
110.899,72
112.078,71
112.956,70
114.129,71
115.052,71
115.930,71
116.807,70
118.026,70
118.906,70
119.781,72
121.000,71
121.877,70
122.755,70
123.976,70
124.851,70
125.777,70
126.947,73
127.825,74
128.751,74
129.944,73
130.812,72
131.725,71
132.906,71
133.924,72
134.699,73
135.893,74
136.746,73
137.673,73
138.843,73
139.720,73
140.646,73
141.820,73
142.743,63
143.623,66
144.792,67
145.716,66
146.594,67
147.779,67
148.690,67
149.568,67
150.786,67
151.713,68
152.545,69
153.711,70
154.638,71
155.515,71
156.734,71
157.613,72
158.489,73
159.664,72
160.585,73
161.463,73
162.682,72
163.559,72
164.442,72
165.701,72
166.582,72
167.442,72
168.636,72
169.507,75
170.407,77
171.603,77
172.480,77
173.361,76
174.577,76
175.489,76
176.332,76
177.550,76
178.462,76
179.306,76
180.524,76
181.403,76
182.279,76
183.537,75
184.376,77
185.302,78
186.493,70
187.350,64
188.276,68
189.446,69
190.327,68
191.255,67
192.448,67
193.298,67
194.272,67
195.395,67
196.319,70
197.197,72
198.562,73
199.282,72
200.171,73
201.341,73
202.268,74
203.144,75
204.315,75
205.339,74
206.118,74
207.437,74
208.215,74
209.092,74
210.314,74
211.188,71
212.066,72
213.285,72
214.163,72
215.066,71
216.258,71
217.136,71
218.013,71
219.268,71
220.110,74
220.992,72
222.208,72
223.084,72
224.010,72
225.180,71
226.057,69
226.984,68
228.154,68
229.031,65
229.957,66
231.127,66
232.300,66
232.931,65
234.101,65
234.979,65
235.905,70
237.075,62
238.001,63
238.983,64
240.097,64
240.978,63
241.852,63
243.023,63
243.949,63
244.827,59
246.045,60
246.923,55
247.800,57
249.019,57
249.896,57
250.774,56
252.041,56
252.904,56
253.748,55
255.019,55
255.846,56
256.721,57
257.940,56
258.818,56
259.695,56
260.963,56
261.792,56
262.669,56
264.034,58
264.765,58
265.692,57
266.862,57
267.744,57
268.666,57
269.835,57
270.716,70
271.639,77
272.809,80
273.750,82
274.613,81
275.783,82
276.681,81
277.587,81
278.758,81
279.683,81
280.563,81
282.221,81
282.705,81
283.537,81
284.704,81
285.634,81
286.508,81
287.678,81
288.604,81
289.489,81
290.677,81
291.640,80
292.508,80
293.824,80
294.552,80
295.451,80
296.748,80
297.532,80
298.403,80
299.576,80
300.526,80
301.377,81
302.596,80
303.477,74
304.351,77
305.569,76
306.447,66
307.373,60
308.543,64
309.421,65
310.298,64
311.517,63
312.472,63
313.321,63
314.515,63
315.368,63
316.295,63
317.470,73
318.342,78
319.268,80
320.438,81
321.342,81
322.389,80
323.412,80
324.292,81
325.216,81
326.386,81
327.265,80
328.199,81
329.360,80
330.347,80
331.165,80
332.333,80
333.260,80
334.141,80
335.307,80
336.240,80
337.111,80
338.308,80
339.207,81
340.134,80
341.265,80
342.181,80
343.059,80
344.229,75
345.155,74
346.032,72
347.202,73
348.129,67
349.006,62
350.176,59
351.154,62
351.990,62
353.199,68
354.076,70
354.954,67
356.172,66
357.074,66
357.927,66
359.146,66
360.024,66
360.901,66
362.120,66
362.998,66
363.875,63
365.487,63
365.988,58
366.853,60
368.068,58
368.974,58
369.847,58
371.041,58
371.919,58
372.845,58
374.015,58
374.893,58
375.824,66
376.989,70
377.890,72
378.841,69
380.012,69
380.840,69
381.818,61
382.937,64
383.863,61
384.740,65
385.933,63
386.837,69
387.714,73
388.951,70
389.810,69
390.689,69
391.858,69
392.784,69
393.668,69
394.880,69
395.792,69
396.663,61
397.805,64
398.731,64
399.609,64
400.828,63
401.705,63
402.583,63
403.802,63
404.679,63
405.557,63
406.810,63
407.707,63
408.538,60
409.749,70
410.627,77
411.508,72
412.723,66
413.649,62
414.499,65
415.717,58
416.574,60
417.502,60
418.674,60
419.645,59
420.426,59
421.677,59
422.522,59
423.448,59
424.624,59
425.542,59
426.422,59
427.592,55
428.507,54
429.444,53
430.566,54
431.448,54
432.369,53
433.539,53
434.417,53
435.343,53
436.617,54
437.391,53
438.340,53
439.490,53
