df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,battery
12.453,26
22.426,26
32.422,26
42.560,26
52.505,26
62.451,26
72.445,26
82.439,26
92.532,26
102.426,26
112.420,26
122.417,26
132.409,26
142.578,26
152.482,26
162.452,26
172.432,26
182.523,26
192.444,26
202.565,26
212.408,26
222.548,25
232.395,25
242.389,25
252.432,25
262.426,25
272.420,25
282.413,25
292.456,26
302.450,26
312.546,26
322.427,26
332.383,25
342.377,25
352.419,25
362.463,25
372.407,25
382.450,25
392.394,25
402.388,25
412.382,25
422.376,25
432.489,25
442.412,25
452.409,25
462.400,25
472.401,25
482.492,25
492.382,25
502.375,25
512.370,25
