df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,temperature
4.607,30.391
5.559,30.438
6.534,30.453
7.557,30.469
8.533,30.516
9.605,30.547
10.531,30.562
11.578,30.547
12.530,30.594
13.574,30.625
14.529,30.688
15.552,30.734
16.564,30.766
17.849,30.812
18.526,30.875
19.550,30.938
20.525,30.984
21.892,31.016
22.524,31.047
23.548,31.094
24.523,31.094
25.546,31.109
26.525,31.156
27.801,31.188
28.522,31.203
29.544,31.234
30.519,31.266
31.543,31.328
32.570,31.359
33.544,31.438
34.517,31.516
35.540,31.547
36.521,31.609
37.539,31.641
38.760,31.703
39.538,31.734
40.582,31.766
41.537,31.797
42.564,31.781
43.536,31.812
44.559,31.797
45.534,31.828
46.558,31.828
47.630,31.859
48.562,31.906
49.531,31.953
50.555,31.984
51.532,32.000
52.665,32.156
53.529,32.156
54.553,32.188
55.528,32.250
56.551,32.281
57.578,32.375
58.557,32.375
59.526,32.375
60.550,32.406
61.529,32.406
62.548,32.344
63.562,32.375
64.551,32.406
65.522,32.438
66.588,32.500
67.962,32.531
68.551,32.594
69.763,32.656
70.543,32.750
71.518,32.812
72.545,32.875
73.517,32.906
74.540,32.938
75.565,32.969
76.540,32.969
77.541,32.969
78.572,33.000
79.562,32.969
80.539,33.000
81.512,33.000
82.611,33.031
83.511,33.062
84.535,33.094
85.516,33.125
86.533,33.125
87.509,33.125
88.534,33.125
89.507,33.125
90.531,33.125
91.555,33.125
92.825,33.094
93.554,33.125
94.529,33.125
95.556,33.156
96.528,33.125
97.551,33.156
98.532,33.188
99.550,33.250
100.525,33.250
101.549,33.281
102.524,33.281
103.584,33.375
104.526,33.375
105.546,33.344
106.521,33.406
107.788,33.375
108.669,33.375
109.544,33.344
110.519,33.375
111.542,33.375
112.518,33.438
113.545,33.344
114.517,33.375
115.540,33.375
116.515,33.375
117.541,33.406
118.618,33.406
119.587,33.438
120.513,33.438
121.539,33.438
122.512,33.469
123.535,33.469
124.568,33.438
125.534,33.500
126.558,33.531
127.532,33.562
128.547,33.562
129.532,33.562
130.604,33.562
131.530,33.562
132.505,33.594
133.529,33.594
134.504,33.594
135.529,33.594
136.600,33.594
137.526,33.594
138.503,33.625
139.623,33.656
140.560,33.656
141.524,33.656
142.583,33.656
143.620,33.688
144.547,33.625
145.523,33.625
146.546,33.688
147.533,33.688
148.544,33.719
149.519,33.719
150.545,33.750
151.518,33.781
152.541,33.781
153.517,33.812
154.541,33.906
155.613,33.906
156.564,33.875
157.515,33.906
158.538,33.906
159.521,33.906
160.537,33.969
161.512,33.938
162.536,33.969
163.511,33.969
164.535,33.969
165.510,33.969
166.562,34.000
167.515,34.000
168.629,34.000
169.607,34.000
170.537,33.969
171.507,33.938
172.578,33.938
173.509,33.938
174.528,33.969
175.552,33.938
176.528,34.000
177.502,34.000
178.531,34.031
179.598,34.031
180.576,34.031
181.500,34.062
182.527,34.062
183.965,34.062
184.571,34.031
185.498,34.031
186.527,34.031
187.499,33.969
188.542,33.969
189.544,33.969
190.522,33.969
191.542,33.969
192.522,34.000
193.662,33.938
194.957,33.969
195.548,34.000
196.515,34.000
197.538,34.125
198.663,34.125
199.538,34.125
200.524,34.156
201.536,34.188
202.570,34.156
203.535,34.188
204.609,34.188
205.533,34.156
206.509,34.156
207.534,34.094
208.539,34.125
209.531,34.125
210.506,34.125
211.876,34.125
212.509,34.156
213.529,34.156
214.504,34.188
215.650,34.156
216.503,34.188
217.526,34.156
218.502,34.188
219.574,34.219
220.500,34.188
221.524,34.188
222.552,34.188
223.522,34.219
224.501,34.250
225.522,34.250
226.503,34.250
227.523,34.250
228.527,34.250
229.765,34.250
230.838,34.250
231.518,34.281
232.497,34.281
233.516,34.281
234.492,34.281
235.515,34.281
236.490,34.344
237.514,34.344
238.590,34.312
239.513,34.344
240.537,34.281
241.512,34.281
242.535,34.281
243.510,34.312
244.780,34.312
245.558,34.281
246.533,34.312
247.508,34.281
248.531,34.312
249.506,34.312
250.531,34.375
251.506,34.344
252.578,34.344
253.504,34.375
254.528,34.375
255.503,34.375
256.527,34.406
257.502,34.406
258.574,34.406
259.512,34.375
260.624,34.406
261.601,34.438
262.523,34.438
263.498,34.438
264.521,34.438
265.497,34.438
266.521,34.438
267.593,34.438
268.571,34.469
269.494,34.500
270.518,34.469
271.500,34.469
272.517,34.438
273.514,34.438
274.565,34.438
275.566,34.469
276.515,34.469
277.490,34.469
278.513,34.500
279.518,34.500
280.515,34.531
281.487,34.531
282.511,34.531
283.534,34.594
284.551,34.562
285.630,34.531
286.852,34.500
287.532,34.531
288.507,34.531
289.546,34.500
290.509,34.500
291.532,34.531
292.525,34.531
293.681,34.500
294.503,34.500
295.576,34.531
296.572,34.531
297.526,34.500
298.501,34.500
299.573,34.500
300.549,34.500
301.524,34.438
302.499,34.438
303.627,34.469
304.507,34.500
305.521,34.500
306.503,34.562
307.523,34.625
308.498,34.625
309.519,34.594
310.494,34.625
311.526,34.625
312.550,34.625
313.516,34.625
314.525,34.625
315.515,34.594
316.490,34.594
317.519,34.562
