df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,rr_int
9.751,4140
9.848,860
9.853,20
9.897,10
9.900,10
9.903,15
9.949,10
9.953,10
9.995,150
9.999,10
11.116,285
11.124,775
11.166,15
11.173,10
11.180,10
11.262,20
11.267,70
11.426,195
11.460,10
13.359,1605
13.456,420
14.723,10
14.735,1335
14.870,10
14.874,10
15.162,340
15.165,10
16.381,1330
17.941,10
18.039,1485
18.087,145
18.091,35
19.014,10
19.306,965
20.720,265
20.723,1360
20.768,15
20.773,15
21.110,10
21.113,460
21.159,10
21.260,10
21.404,245
23.060,895
23.889,765
23.892,870
24.327,10
24.376,420
24.718,20
25.549,375
25.553,875
25.985,10
26.131,420
26.134,20
26.280,10
26.570,10
26.573,455
26.618,15
26.674,15
26.835,250
26.915,10
28.228,455
29.056,925
29.069,795
29.751,10
29.888,730
30.275,10
30.278,505
30.287,10
30.568,275
32.079,870
33.200,790
33.885,1090
34.031,595
34.036,15
34.712,10
35.843,845
36.151,850
37.392,640
37.396,1260
37.490,10
37.685,10
37.691,225
37.696,10
37.783,175
38.075,190
39.245,880
39.294,365
39.588,270
39.879,15
39.884,270
40.713,10
41.000,850
41.004,10
41.049,260
41.053,15
41.056,15
41.059,15
41.246,10
41.434,15
42.365,445
42.369,895
43.196,15
44.025,830
44.754,860
44.852,765
45.729,10
45.735,910
46.561,10
47.387,820
47.633,840
48.216,305
49.044,520
49.922,855
50.701,835
50.707,865
50.848,10
50.994,280
50.997,10
52.359,460
52.509,850
52.558,200
52.586,15
52.599,10
53.188,10
53.480,630
54.749,320
54.754,1215
54.796,10
54.800,15
54.894,25
54.898,135
56.259,1100
56.263,295
56.555,10
57.529,335
57.674,895
57.822,220
59.330,665
59.334,1010
60.015,10
60.989,690
61.137,940
61.690,10
61.820,850
61.831,10
63.377,915
64.303,645
64.888,910
65.717,620
66.594,820
67.979,845
68.070,1400
68.203,135
68.209,15
69.470,20
69.770,1290
70.153,375
70.163,410
71.022,10
71.811,750
71.815,845
72.542,10
73.246,750
74.202,705
74.205,795
74.882,10
75.912,840
77.514,1035
78.489,1685
78.494,900
79.499,10
79.855,935
79.903,505
79.908,10
80.148,245
80.439,245
81.561,535
82.536,680
83.219,905
84.047,705
84.876,865
85.168,830
85.174,240
85.705,10
86.679,580
86.683,915
86.975,10
87.411,15
87.703,705
87.707,310
88.191,10
88.194,595
89.021,10
89.751,725
89.756,795
90.582,10
91.408,865
92.245,705
92.434,890
92.439,15
92.921,55
93.212,645
93.215,330
93.749,10
93.752,435
93.897,10
94.338,10
94.384,625
94.410,15
94.415,15
94.480,15
94.484,15
95.310,10
95.455,945
95.698,330
95.702,15
95.847,10
96.140,325
96.819,10
97.800,835
97.843,915
97.847,10
97.850,30
97.853,15
97.989,10
97.993,15
97.997,10
98.038,15
98.042,10
98.058,10
98.065,10
98.087,20
98.233,50
98.237,265
98.478,235
98.526,10
99.598,1110
99.604,15
100.186,10
101.013,495
101.841,845
102.670,890
103.498,865
103.508,855
103.937,10
104.523,415
105.156,330
105.985,855
106.570,875
106.574,570
106.668,10
106.716,175
107.792,800
107.886,215
107.889,15
107.892,10
107.940,10
108.230,160
108.555,20
109.203,475
110.031,820
110.324,840
111.006,255
111.010,610
111.835,10
111.838,835
112.690,10
113.492,855
113.496,835
113.639,10
113.642,115
113.645,10
113.687,15
113.691,45
113.836,20
113.839,10
114.321,15
114.324,615
115.150,10
115.153,860
116.126,10
116.141,910
116.301,10
116.306,150
116.856,10
116.859,565
116.954,10
117.002,155
117.007,10
117.100,10
117.104,25
117.148,20
117.151,15
117.154,15
117.157,25
117.247,65
117.685,20
118.370,445
119.342,780
120.756,895
121.585,1505
122.414,775
123.389,890
123.392,870
123.439,10
123.487,110
124.076,85
124.900,535
125.589,800
126.412,760
127.240,775
127.386,895
127.536,285
128.949,650
129.874,795
130.609,900
130.753,775
131.432,10
132.263,840
133.095,820
133.239,755
133.243,10
133.772,10
133.776,735
134.894,10
134.898,1055
134.943,15
134.953,15
134.961,10
135.333,25
136.016,395
136.698,715
137.529,715
138.648,775
138.663,1235
138.940,10
138.943,250
139.089,10
139.330,75
139.501,370
139.505,10
139.626,210
139.769,135
140.894,1100
140.988,15
141.138,320
141.285,10
142.114,875
142.696,10
143.674,645
143.915,945
144.498,10
145.768,850
145.775,1195
145.788,15
145.817,10
145.820,10
145.823,15
145.912,45
145.916,40
145.919,15
146.306,15
147.276,440
147.282,970
147.669,230
147.675,10
147.702,195
147.764,20
147.769,10
147.774,20
148.106,345
148.934,10
148.945,890
149.083,10
149.129,80
149.133,10
149.180,15
149.183,30
149.327,10
150.204,10
150.592,725
151.421,810
151.959,805
151.962,290
152.249,10
153.229,555
153.370,895
153.374,10
153.907,125
154.882,655
154.933,860
155.049,15
155.616,185
155.619,565
155.710,15
155.717,160
155.811,10
155.857,25
155.860,20
156.006,10
156.009,10
156.441,45
157.271,535
157.274,845
158.099,10
158.928,850
159.469,895
159.513,510
159.518,15
159.757,225
161.721,660
161.759,1295
162.000,10
