df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,acc_mag
4.592,1.047
4.622,1.047
4.652,1.055
4.682,1.047
4.712,1.045
4.742,1.041
4.772,1.042
4.802,1.039
4.832,1.043
4.862,1.060
4.892,1.053
4.922,1.039
4.952,1.047
4.982,1.046
5.012,1.048
5.042,1.048
5.072,1.057
5.102,1.048
5.132,1.052
5.162,1.059
5.192,1.047
5.222,1.052
5.252,1.053
5.282,1.047
5.312,1.046
5.342,1.049
5.372,1.047
5.402,1.048
5.432,1.052
5.462,1.048
5.492,1.046
5.522,1.048
5.552,1.047
5.582,1.045
5.612,1.050
5.642,1.046
5.672,1.054
5.702,1.047
5.732,1.045
5.762,1.049
5.792,1.048
5.822,1.051
5.852,1.051
5.882,1.048
5.912,1.049
5.942,1.051
5.972,1.046
6.002,1.043
6.032,1.046
6.062,1.048
6.092,1.049
6.122,1.049
6.152,1.045
6.182,1.042
6.212,1.051
6.242,1.053
6.272,1.051
6.302,1.047
6.332,1.042
6.362,1.045
6.392,1.049
6.422,1.050
6.452,1.048
6.482,1.051
6.512,1.045
6.542,1.045
6.572,1.048
6.602,1.050
6.632,1.049
6.662,1.043
6.692,1.050
6.722,1.047
6.752,1.048
6.782,1.045
6.812,1.044
6.842,1.051
6.872,1.046
6.902,1.052
6.932,1.052
6.962,1.048
6.992,1.048
7.022,1.048
7.052,1.052
7.082,1.050
7.112,1.050
7.142,1.044
7.172,1.051
7.202,1.048
7.232,1.048
7.262,1.044
7.292,1.049
7.322,1.047
7.352,1.051
7.382,1.053
7.412,1.054
7.442,1.055
7.472,1.053
7.502,1.054
7.532,1.057
7.562,1.065
7.592,1.084
7.622,1.076
7.652,1.060
7.682,1.044
7.712,1.034
7.742,1.032
7.772,1.033
7.802,1.036
7.832,1.042
7.862,1.045
7.892,1.043
7.922,1.038
7.952,1.037
7.982,1.048
8.012,1.053
8.042,1.056
8.072,1.050
8.102,1.050
8.132,1.047
8.162,1.041
8.192,1.041
8.222,1.044
8.252,1.054
8.282,1.053
8.312,1.055
8.342,1.056
8.372,1.055
8.402,1.057
8.432,1.057
8.462,1.056
8.492,1.057
8.522,1.049
8.552,1.047
8.582,1.050
8.612,1.048
8.642,1.045
8.672,1.043
8.702,1.049
8.732,1.047
8.762,1.054
8.792,1.054
8.822,1.049
8.852,1.047
8.882,1.051
8.912,1.048
8.942,1.053
8.972,1.050
9.002,1.050
9.032,1.050
9.062,1.054
9.092,1.052
9.122,1.055
9.152,1.055
9.182,1.050
9.212,1.050
9.242,1.051
9.272,1.055
9.302,1.046
9.332,1.047
9.362,1.052
9.392,1.048
9.422,1.055
9.452,1.052
9.482,1.050
9.512,1.046
9.542,1.057
9.572,1.052
9.602,1.056
9.632,1.061
9.662,1.053
9.692,1.048
9.722,1.054
9.752,1.054
9.782,1.046
9.812,1.039
9.842,1.052
9.872,1.048
9.902,1.050
9.932,1.052
9.962,1.059
9.992,1.055
10.022,1.057
10.052,1.056
10.082,1.044
10.112,1.048
10.142,1.053
10.172,1.059
10.202,1.049
10.232,1.048
10.262,1.051
10.292,1.058
10.322,1.054
10.352,1.054
10.382,1.057
10.412,1.048
10.442,1.055
10.472,1.053
10.502,1.049
10.532,1.051
10.562,1.053
10.592,1.055
10.622,1.051
10.652,1.054
10.682,1.052
10.712,1.055
10.742,1.056
10.772,1.052
10.802,1.050
10.832,1.052
10.862,1.053
10.892,1.052
10.922,1.057
10.952,1.047
10.982,1.058
11.012,1.051
11.042,1.051
11.072,1.056
11.102,1.054
11.132,1.052
11.162,1.055
11.192,1.053
11.222,1.052
11.252,1.050
11.282,1.051
11.312,1.052
11.342,1.054
11.372,1.051
11.402,1.050
11.432,1.051
11.462,1.049
11.492,1.050
11.522,1.056
11.552,1.057
11.582,1.056
11.612,1.061
11.642,1.056
11.672,1.051
11.702,1.050
11.732,1.054
11.762,1.055
11.792,1.049
11.822,1.053
11.852,1.055
11.882,1.051
11.912,1.050
11.942,1.053
11.972,1.058
12.002,1.049
12.032,1.052
12.062,1.058
12.092,1.045
12.122,1.050
12.152,1.062
12.182,1.053
12.212,1.047
12.242,1.052
12.272,1.055
12.302,1.054
12.332,1.052
12.362,1.054
12.392,1.058
12.422,1.052
12.452,1.050
12.482,1.049
12.512,1.051
12.542,1.051
12.572,1.052
12.602,1.059
12.632,1.058
12.662,1.052
12.692,1.054
12.722,1.049
12.752,1.056
12.782,1.009
12.812,1.035
12.842,1.055
12.872,1.054
12.902,1.069
12.932,1.058
12.962,1.053
12.992,1.060
13.022,1.056
13.052,1.052
13.082,1.052
13.112,1.052
13.142,1.046
13.172,1.049
13.202,1.049
13.232,1.044
13.262,1.054
13.292,1.052
13.322,1.052
13.352,1.049
13.382,1.049
13.412,1.055
13.442,1.051
13.472,1.050
13.502,1.052
13.532,1.052
13.562,1.050
13.592,1.052
13.622,1.049
13.652,1.051
13.682,1.052
13.712,1.045
13.742,1.053
13.772,1.057
13.802,1.060
13.832,1.054
13.862,1.050
13.892,1.042
13.922,1.042
13.952,1.047
