df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,quality
7.853,100
26.667,64
27.791,54
28.768,51
29.743,48
30.473,42
31.761,50
32.862,55
33.449,49
34.668,26
35.835,33
36.515,27
37.642,0
38.519,7
39.451,3
40.707,34
41.491,35
42.417,45
43.588,55
44.465,70
45.391,70
46.807,71
47.438,73
48.557,69
49.729,64
50.461,68
51.364,66
52.659,58
53.434,58
54.312,53
55.483,35
56.408,0
57.290,31
58.551,35
59.390,41
60.260,38
61.524,58
62.356,56
63.280,22
64.547,22
65.333,29
66.210,26
67.429,32
68.545,0
69.183,38
70.448,0
71.323,0
72.252,4
73.415,0
74.251,0
75.177,58
76.347,52
77.371,31
78.199,34
79.323,38
80.199,36
81.077,38
82.295,0
83.173,29
84.099,48
85.510,49
86.147,47
87.026,63
88.243,65
89.122,61
90.051,57
91.220,56
92.240,60
93.066,56
94.333,59
95.068,59
95.994,42
97.213,37
98.119,34
99.019,37
100.140,40
101.067,44
101.944,52
103.118,55
104.084,56
105.062,59
106.085,63
107.017,64
107.935,51
109.140,45
109.985,44
110.905,48
112.082,55
112.959,61
114.133,69
115.055,71
115.979,73
116.810,69
118.075,63
118.912,43
119.785,47
121.003,31
121.881,33
122.758,30
124.071,27
124.854,0
125.780,21
126.951,51
127.831,51
128.755,45
129.948,55
130.997,64
131.728,70
133.090,76
133.933,78
134.702,79
135.895,67
136.750,43
137.677,44
138.846,26
139.723,0
140.650,24
142.109,21
142.750,33
143.669,0
144.812,0
145.720,27
146.598,37
147.962,51
148.699,56
149.571,52
150.789,49
151.723,58
152.691,63
153.715,72
154.643,74
155.519,68
156.744,70
157.809,63
158.492,74
159.679,65
160.588,64
161.468,69
162.688,55
163.564,47
164.488,36
165.854,42
166.588,39
167.508,34
168.775,39
169.510,61
170.531,59
171.606,61
172.483,50
173.505,52
174.580,51
175.494,28
176.337,24
177.557,24
178.526,0
179.309,17
180.527,29
181.410,53
182.283,49
183.940,45
184.379,50
185.306,57
186.521,37
187.353,38
188.281,0
189.460,3
190.473,8
191.350,7
192.451,0
193.589,24
194.277,19
195.442,22
196.323,36
197.200,55
198.565,46
199.294,52
200.174,55
201.348,55
202.284,56
203.149,63
204.318,45
205.342,36
206.124,24
207.443,32
208.218,35
209.096,0
210.318,0
211.192,47
212.069,31
213.289,0
214.169,0
215.336,0
216.263,6
217.141,10
218.017,9
219.283,0
220.124,28
221.039,22
222.404,26
223.087,19
224.013,23
225.185,46
226.060,50
226.987,51
228.157,54
229.035,37
229.963,29
231.131,31
232.303,30
232.935,31
234.105,29
234.991,34
235.916,33
237.080,52
238.005,18
238.986,21
240.101,0
241.173,0
241.867,6
243.026,8
243.952,0
244.832,29
246.049,0
246.926,33
247.805,0
249.022,15
249.900,0
250.777,0
252.044,2
252.910,48
253.751,59
255.066,55
255.893,59
256.725,44
257.944,32
258.821,0
259.700,0
260.967,0
261.841,26
262.672,26
264.038,35
264.769,36
265.695,0
266.876,25
267.839,0
268.670,0
269.840,35
270.764,63
271.643,65
272.812,60
273.982,69
274.616,70
275.786,55
276.956,38
277.590,36
278.806,25
279.687,23
280.661,19
282.226,26
282.709,0
283.589,4
284.710,0
285.680,0
286.512,0
287.684,0
288.610,33
289.538,40
290.682,25
291.873,34
292.520,41
293.832,41
294.649,24
295.454,0
296.751,29
297.625,31
298.409,5
299.870,31
300.533,24
301.382,40
302.601,20
303.620,33
304.356,37
305.572,36
306.451,49
307.383,38
308.546,28
309.424,36
310.303,32
311.521,29
312.541,0
313.325,0
314.521,0
315.374,0
316.300,0
317.514,28
318.345,40
319.274,33
320.442,36
321.462,35
322.396,30
323.416,34
324.390,61
325.219,74
326.390,64
327.312,70
328.485,49
329.364,44
330.374,27
331.315,30
332.339,1
333.265,41
334.384,47
335.312,27
336.334,26
337.114,27
338.311,24
339.211,36
340.137,0
341.450,6
342.184,0
343.064,26
344.232,30
345.158,28
346.037,38
347.207,29
348.132,33
349.011,40
350.179,43
351.203,34
352.279,33
353.202,42
354.080,57
354.959,39
356.179,35
357.082,0
357.931,22
359.150,0
360.028,0
360.907,0
362.125,32
363.002,0
363.879,30
365.490,30
366.072,33
366.860,26
368.071,33
369.095,24
369.851,13
371.046,10
371.922,21
372.849,26
374.020,41
374.896,0
376.066,32
376.994,44
377.893,36
378.845,0
380.025,0
380.844,28
381.915,37
382.943,30
383.868,34
384.789,40
385.935,35
386.844,48
387.717,56
389.030,0
389.859,33
391.037,28
391.879,0
392.789,0
393.762,0
394.887,0
395.809,0
396.670,34
397.809,0
398.735,0
399.612,0
400.831,0
401.709,0
402.593,15
403.805,0
404.685,0
405.560,0
407.168,0
407.851,0
408.630,26
409.753,31
410.674,49
411.700,25
412.730,33
413.652,32
414.502,32
415.943,44
416.578,15
417.505,24
418.820,34
419.649,42
420.438,39
421.745,0
422.525,33
423.452,0
424.667,3
425.545,0
426.425,0
427.738,35
428.511,47
429.448,46
430.569,50
431.492,49
432.373,0
433.546,1
434.422,33
435.347,27
436.623,38
437.396,32
438.415,0
439.929,8
