Time (s),Resistance (Ω),Stage
1,36375.99,Calibration
2,34174.76,Calibration
3,37505.8,Calibration
4,38176.47,Calibration
5,41380.18,Calibration
6,41639.34,Calibration
7,40000,Calibration
8,38808.1,Calibration
9,37286.37,Calibration
10,38176.47,Calibration
11,43389.83,Calibration
12,41251.56,Calibration
13,38119.86,Calibration
14,38461.54,Calibration
15,38007.04,Calibration
16,36534.09,Calibration
17,37123.13,Calibration
18,37286.37,Calibration
19,37395.84,Calibration
20,38576.51,Normal
22,40743.49,Normal
22,39041.91,Normal
23,40183.82,Normal
24,37450.75,Normal
25,38924.73,Normal
26,37450.75,Normal
27,38119.86,Normal
28,40555.55,Normal
29,42232.14,Normal
30,42033.04,Normal
31,40618.05,Normal
32,38404.25,Normal
33,38461.54,Normal
34,37505.8,Normal
35,38290.09,Normal
36,40307.12,Normal
37,42033.04,Normal
38,40369,Normal
39,37671.71,Normal
40,37068.97,Normal
41,38347.11,Normal
42,38176.47,Normal
43,39817.52,Normal
44,38063.38,Normal
45,38290.09,Normal
46,36481.27,Normal
47,37671.71,Normal
48,41123.59,Normal
49,40996.27,Normal
50,39277.98,Normal
51,38290.09,Normal
52,38290.09,Normal
53,38233.21,Normal
54,37014.92,Normal
55,37727.27,Normal
56,37341.04,Normal
57,36271.19,Normal
58,35652.18,Normal
59,36534.09,Normal
60,35703.12,Normal
61,36428.57,Normal
62,35248.62,Normal
63,35805.37,Normal
64,35959.6,Normal
65,35959.6,Normal
66,35805.37,Normal
67,34174.76,Normal
68,34174.76,Normal
69,33890.68,Normal
70,33984.96,Normal
71,34222.46,Normal
72,34656.49,Normal
73,33703.31,Normal
