Time (s),Resistance (Ω),Stage
1,14565.09,Calibration
2,14638.99,Calibration
3,14743.2,Calibration
4,14653.82,Calibration
5,14653.82,Calibration
6,14594.6,Calibration
7,14638.99,Calibration
8,15231.05,Calibration
9,15340.35,Calibration
10,15561.8,Calibration
11,15545.85,Calibration
12,15482.27,Calibration
13,15418.99,Calibration
14,15561.8,Calibration
15,16233.18,Calibration
16,17191.24,Calibration
17,17446.38,Calibration
18,17706.36,Calibration
19,17631.58,Calibration
20,17501.68,Normal
21,17281.81,Normal
22,17281.81,Normal
23,17137.18,Normal
24,17245.51,Normal
25,17191.24,Normal
26,17300,Normal
27,17263.65,Normal
28,17263.65,Normal
29,17173.19,Normal
30,17245.51,Normal
31,17263.65,Normal
32,17318.21,Normal
33,17391.3,Normal
34,17281.81,Normal
35,17336.45,Normal
36,17209.3,Normal
37,17318.21,Normal
38,17409.64,Normal
39,17336.45,Normal
40,17409.64,Normal
41,17464.79,Normal
42,17409.64,Normal
43,17391.3,Normal
44,17336.45,Normal
45,17281.81,Normal
46,17263.65,Normal
47,17209.3,Normal
48,17137.18,Normal
49,17101.26,Normal
50,17173.19,Normal
51,17245.51,Normal
52,17101.26,Normal
53,17047.55,Normal
54,17101.26,Normal
55,16994.07,Normal
56,16958.53,Normal
57,16994.07,Normal
58,17101.26,Normal
59,17119.21,Normal
60,17336.45,Normal
61,17281.81,Normal
62,17391.3,Normal
63,17464.79,Normal
64,17428,Normal
65,17409.64,Normal
66,17318.21,Normal
67,17245.51,Normal
68,17245.51,Normal
69,17318.21,Normal
70,17263.65,Normal
71,18516.71,Normal
72,18797.47,Normal
73,18878.7,Normal
74,18636.36,Normal
75,18496.87,Normal
76,18696.57,Normal
77,19673.91,Normal
78,19630.97,Normal
79,19460.43,Normal
80,19418.1,Normal
81,19145.91,Normal
82,19083.81,Normal
83,19125.18,Normal
84,20110.29,Normal
85,20446.1,Normal
86,20468.75,Normal
87,20468.75,Normal
88,20154.64,Normal
89,20088.17,Normal
90,20110.29,Normal
91,20176.86,Normal
92,20400.89,Normal
93,20559.7,Normal
94,20789.47,Normal
95,20859.08,Normal
96,20628.27,Normal
97,20674.16,Normal
98,20674.16,Normal
99,21355.28,Normal
100,21283.42,Normal
101,21211.89,Normal
102,21140.69,Normal
103,21093.39,Normal
104,21164.38,Normal
105,21451.61,Normal
106,21548.54,Normal
107,21427.47,Normal
108,21283.42,Normal
109,21093.39,Normal
110,21022.73,Normal
111,21046.25,Normal
112,20835.84,Normal
113,20905.66,Normal
114,20952.38,Normal
115,21117.02,Normal
116,21235.7,Normal
117,21022.73,Normal
118,20929,Normal
119,20859.08,Normal
120,20999.24,Normal
121,20812.64,Normal
122,20882.35,Normal
123,20605.38,Normal
124,20766.34,Normal
125,20975.79,Normal
126,22422.8,Normal
127,22629.48,Normal
128,22269.5,Normal
129,22017.2,Normal
130,21597.22,Normal
131,21597.22,Normal
132,21572.86,Normal
133,21524.25,Normal
134,21867.71,Normal
135,22448.49,Normal
136,22397.15,Normal
137,22218.73,Normal
138,22092.48,Normal
139,21992.19,Normal
140,21719.6,Normal
141,21744.19,Normal
142,21646.06,Normal
143,21670.54,Normal
144,21818.18,Normal
145,21917.38,Normal
146,21744.19,Normal
147,21621.62,Normal
148,22655.5,Normal
149,25059.93,Normal
150,23759.28,Normal
151,23955.22,Normal
152,24940.27,Normal
153,25059.93,Normal
154,24556.96,Normal
155,24125,Normal
156,24039.9,Normal
157,23675.99,Normal
158,23593.11,Normal
159,23483.24,Normal
160,23211.68,Normal
161,23077.54,Normal
162,22786.23,Normal
163,22707.67,Normal
164,22397.15,Normal
165,22448.49,Normal
166,23842.98,Normal
167,24011.63,Normal
168,23675.99,Normal
169,23050.85,Normal
170,22918.01,Normal
171,22551.67,Normal
172,23238.64,Normal
173,25150.21,Normal
174,24851.06,Normal
175,24068.22,Normal
176,23131.07,Normal
177,21548.54,Normal
