df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,acc_mag
4.219,0.899
4.249,0.953
4.279,1.004
4.309,0.985
4.339,0.984
4.369,1.013
4.399,1.016
4.429,0.993
4.459,0.969
4.489,0.971
4.519,0.990
4.549,0.997
4.579,0.999
4.609,0.987
4.639,0.978
4.669,1.011
4.699,1.004
4.729,0.980
4.759,0.981
4.789,0.980
4.819,1.001
4.849,1.014
4.879,0.993
4.909,0.977
4.939,0.972
4.969,0.987
4.999,1.015
5.029,1.017
5.059,0.977
5.089,0.970
5.119,0.995
5.149,0.990
5.179,0.979
5.209,0.980
5.239,0.985
5.269,0.981
5.299,0.982
5.329,1.000
5.359,1.003
5.389,1.000
5.419,0.993
5.449,0.982
5.479,0.984
5.509,0.988
5.539,0.992
5.569,0.991
5.599,0.990
5.629,0.996
5.659,0.995
5.689,0.988
5.719,0.985
5.749,0.989
5.779,1.002
5.809,1.004
5.839,0.989
5.869,0.990
5.899,0.990
5.929,0.988
5.959,0.983
5.989,0.987
6.019,0.980
6.049,0.970
6.079,0.968
6.109,0.966
6.139,0.962
6.169,1.000
6.199,1.034
6.229,1.030
6.259,1.012
6.289,1.000
6.319,0.979
6.349,0.975
6.379,0.988
6.409,0.989
6.439,1.004
6.469,0.993
6.499,0.990
6.529,0.992
6.559,0.995
6.589,0.987
6.619,0.980
6.649,0.984
6.679,0.992
6.709,0.993
6.739,0.981
6.769,0.984
6.799,0.989
6.829,0.995
6.859,0.993
6.889,1.000
6.919,0.986
6.949,0.991
6.979,0.977
7.009,0.985
7.039,1.000
7.069,0.993
7.099,0.985
7.129,0.990
7.159,0.999
7.189,0.990
7.219,0.996
7.249,1.000
7.279,0.991
7.309,0.993
7.339,0.989
7.369,0.987
7.399,0.987
7.429,0.991
7.459,0.992
7.489,0.992
7.519,0.993
7.549,0.984
7.579,0.988
7.609,0.989
7.639,0.998
7.669,1.001
7.699,0.982
7.729,0.983
7.759,0.992
7.789,0.999
7.819,1.000
7.849,0.994
7.879,0.981
7.909,0.994
7.939,1.000
7.969,0.991
7.999,0.994
8.029,0.991
8.059,0.993
8.089,0.989
8.119,0.987
8.149,0.995
8.179,0.994
8.209,0.980
8.239,0.991
8.269,0.999
8.299,0.991
8.329,0.987
8.359,0.998
8.389,0.994
8.419,0.994
8.449,0.995
8.479,0.994
8.509,0.983
8.539,0.994
8.569,0.996
8.599,0.989
8.629,0.992
8.659,0.997
8.689,0.993
8.719,0.991
8.749,0.995
8.779,0.994
8.809,0.995
8.839,0.994
8.869,0.986
8.899,0.994
8.929,0.994
8.959,1.005
8.989,0.989
9.019,0.991
9.049,0.994
9.079,1.000
9.109,1.001
9.139,0.995
9.169,0.983
9.199,0.997
9.229,1.000
9.259,0.993
9.289,0.990
9.319,0.988
9.349,0.995
9.379,0.988
9.409,0.986
9.439,1.000
9.469,0.982
9.499,0.972
9.529,0.977
9.559,0.989
9.589,1.005
9.619,1.002
9.649,1.001
9.679,1.006
9.709,0.979
9.739,0.971
9.769,1.010
9.799,1.017
9.829,1.002
9.859,0.992
9.889,0.997
9.919,0.982
9.949,0.983
9.979,0.974
10.009,0.996
10.039,0.989
10.069,0.976
10.099,0.968
10.129,0.997
10.159,1.007
10.189,1.008
10.219,0.996
10.249,0.993
10.279,0.987
10.309,1.004
10.339,0.969
10.369,0.995
10.399,1.003
10.429,1.010
10.459,1.001
10.489,0.985
10.519,0.982
10.549,0.996
10.579,0.981
10.609,0.964
10.639,0.988
10.669,1.015
10.699,1.005
10.729,0.992
10.759,0.983
10.789,0.990
10.819,0.994
10.849,1.009
10.879,0.998
10.909,0.960
10.939,0.973
10.969,0.989
10.999,1.002
11.029,1.009
11.059,1.003
11.089,1.000
11.119,0.999
11.149,0.990
11.179,0.984
11.209,0.982
11.239,0.985
11.269,0.984
11.299,0.973
11.329,0.986
11.359,1.005
11.389,1.007
11.419,0.991
11.449,0.976
11.479,0.970
11.509,0.974
11.539,1.021
11.569,1.020
11.599,0.971
11.629,0.978
11.659,0.999
11.689,0.985
11.719,0.985
11.749,0.996
11.779,0.991
11.809,1.000
11.839,1.002
11.869,1.022
11.899,0.984
11.929,0.968
11.959,0.985
11.989,1.006
12.019,1.012
12.049,0.995
12.079,0.975
12.109,0.982
12.139,0.991
12.169,1.003
12.199,0.992
12.229,0.987
12.259,0.981
12.289,0.990
12.319,0.997
12.349,0.996
12.379,0.998
12.409,0.992
12.439,0.992
12.469,0.996
12.499,0.995
12.529,0.991
12.559,0.993
12.589,0.996
12.619,0.996
12.649,0.987
12.679,0.993
12.709,0.998
12.739,0.999
12.769,0.993
12.799,0.994
12.829,0.986
12.859,0.999
12.889,0.999
12.919,0.992
12.949,0.990
12.979,0.995
13.009,0.995
13.039,0.995
13.069,0.988
13.099,0.991
13.129,0.990
13.159,0.995
13.189,0.996
13.219,0.993
13.249,0.987
13.279,0.997
13.309,0.996
13.339,1.005
13.369,0.991
13.399,0.992
13.429,0.992
13.459,0.994
13.489,0.996
13.519,1.000
13.549,0.985
13.579,0.998
