df_hash,22ZHK4.LL4ER7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JMHB
person_label,V30
date_time_start,2025-08-06_11-16-09.652000_+03
date_time_start_unix,1754460969.652
date_time_end,2025-08-06_11-35-16.520000_+03
length_difference_noticed,no

time,rr_int
9.393,3825
9.491,1300
10.905,660
11.441,650
11.733,655
11.737,200
12.172,10
12.709,400
12.855,625
13.001,185
13.005,15
13.050,20
13.053,10
13.056,10
13.426,15
13.976,365
14.659,645
15.195,630
15.488,645
15.491,195
15.926,20
16.609,430
17.291,675
17.877,675
18.559,670
18.705,675
18.803,235
18.806,15
18.952,10
19.924,405
20.217,690
20.607,280
20.782,395
21.192,210
21.874,455
22.565,665
23.289,660
23.827,655
24.117,690
24.507,205
25.921,475
26.604,1305
27.189,710
27.335,605
27.432,200
27.437,20
27.630,10
27.745,10
28.409,385
29.121,655
29.141,660
29.822,10
30.506,685
31.336,710
31.918,745
31.921,725
32.747,10
32.893,745
32.896,200
33.430,15
34.112,510
34.843,715
34.846,740
35.624,10
36.354,720
37.037,710
37.720,705
38.987,695
40.353,1315
40.508,1330
40.548,190
40.551,10
40.554,15
40.557,10
40.937,10
41.474,380
42.059,615
42.209,490
42.302,140
42.306,10
42.888,10
43.575,660
44.271,785
44.301,685
45.082,10
45.813,745
46.642,795
47.178,855
47.324,485
47.470,295
47.474,15
47.617,100
47.620,25
47.765,215
49.274,745
49.277,720
49.987,15
50.542,750
50.689,435
51.517,275
51.520,815
51.524,15
51.615,10
51.619,15
51.764,160
51.810,15
51.813,55
51.815,15
51.907,105
51.911,20
52.202,155
53.030,960
54.158,430
54.832,705
55.515,670
55.661,685
55.664,190
55.807,10
55.811,15
56.247,30
56.344,435
56.347,170
56.392,10
56.395,15
56.399,15
56.931,20
57.270,445
58.440,280
58.879,1275
60.245,425
60.418,1385
60.428,195
60.439,20
60.442,20
60.537,10
60.833,15
61.073,410
61.512,185
62.343,500
62.927,680
63.072,690
63.608,10
64.291,670
64.974,675
65.790,665
65.830,675
65.851,175
65.854,50
66.049,15
66.241,10
66.924,400
67.655,700
67.801,700
67.804,175
67.899,10
67.903,30
67.950,15
67.954,10
68.338,15
69.020,410
69.702,700
70.435,690
70.972,675
71.653,675
71.946,705
72.384,185
73.213,525
73.311,705
73.359,180
73.749,45
74.432,460
75.163,690
75.310,690
75.845,170
76.531,510
76.674,675
76.819,175
76.824,50
77.215,20
77.358,420
77.940,10
78.037,680
78.622,180
79.303,505
79.308,700
79.464,10
79.600,170
79.609,20
79.889,30
80.278,455
80.570,295
81.398,380
81.402,775
81.934,10
82.665,630
82.671,705
82.768,10
82.908,105
82.912,70
83.350,10
84.029,415
84.614,690
84.857,635
85.393,225
85.982,420
86.128,660
86.321,170
86.513,15
87.245,470
87.926,700
88.610,705
88.785,690
88.900,155
88.920,10
88.931,20
88.998,15
89.003,10
89.339,15
89.387,505
89.583,10
89.590,185
90.167,15
90.265,535
90.850,215
91.531,510
91.704,720
92.220,165
92.506,550
92.945,215
92.950,485
93.626,10
94.308,690
94.312,700
94.990,10
95.721,695
95.724,680
96.403,10
96.406,710
96.549,10
96.552,165
96.695,10
96.698,15
96.747,15
96.751,10
97.085,20
97.773,435
98.745,740
99.184,880
99.786,475
100.155,605
100.763,385
101.811,555
102.396,1085
102.399,650
103.084,10
103.760,685
104.052,710
104.056,200
104.063,15
104.076,15
104.442,30
105.174,420
106.002,710
106.683,745
107.219,730
108.085,585
108.218,845
108.778,190
110.147,485
110.289,1445
110.435,235
110.442,15
110.593,200
110.834,225
112.384,725
112.536,745
113.066,165
113.752,565
114.480,705
114.920,685
115.308,420
115.992,485
116.136,605
116.429,185
117.647,365
117.650,1185
117.745,15
117.752,15
118.086,25
118.806,375
119.450,755
119.453,690
120.181,10
120.424,690
120.428,220
120.874,20
121.547,435
121.695,730
122.228,160
123.056,530
123.060,760
123.202,15
123.205,80
123.210,135
123.543,15
123.563,205
123.643,10
123.739,170
124.469,750
125.151,10
125.156,710
125.298,10
125.301,190
125.447,15
125.834,15
126.565,510
127.247,725
127.540,715
127.546,175
127.588,10
127.593,15
127.598,15
127.690,10
127.693,20
127.930,15
128.612,460
128.758,710
129.440,10
129.586,715
129.591,165
129.635,15
129.640,10
129.645,10
130.173,15
130.856,465
130.999,720
131.003,185
131.048,15
131.054,10
131.069,15
131.536,20
131.681,480
132.267,225
132.364,515
132.949,160
133.193,575
133.778,180
133.923,540
134.460,165
134.605,560
134.609,175
134.657,35
134.660,20
135.142,10
135.580,450
136.555,415
136.705,1045
136.712,75
136.847,220
136.896,40
137.920,365
138.797,660
139.479,820
140.457,715
140.551,1020
140.844,10
141.723,475
142.404,800
142.696,720
142.700,180
142.746,15
142.749,15
142.752,20
142.793,20
142.796,10
142.799,10
142.803,10
142.896,20
143.085,85
143.378,275
143.914,335
143.918,430
144.206,15
144.209,365
144.889,15
145.035,665
145.184,220
145.195,10
146.692,1445
146.695,135
146.838,65
146.842,15
146.986,10
146.990,10
147.228,170
147.374,255
147.377,220
147.520,15
147.524,10
147.959,25
148.641,460
148.788,725
148.937,170
148.947,25
149.080,180
150.055,340
150.201,695
150.298,175
150.302,10
150.350,10
150.353,10
150.737,15
150.883,485
150.981,170
151.029,10
151.040,15
