df_hash,22ZHK4.LL4ER7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JMHB
person_label,V30
date_time_start,2025-08-06_11-16-09.652000_+03
date_time_start_unix,1754460969.652
date_time_end,2025-08-06_11-35-16.520000_+03
length_difference_noticed,no

time,ppg_quality
57.166,2
61.206,11
62.216,19
63.226,31
65.246,56
67.266,57
68.276,70
69.276,78
70.286,79
71.296,83
72.306,92
74.326,94
75.336,95
76.346,95
78.366,99
80.386,104
81.396,87
82.406,82
83.416,76
84.426,73
85.436,65
86.446,60
87.456,60
89.476,49
90.486,42
91.496,53
93.516,59
94.526,62
95.536,68
96.546,76
98.566,72
100.586,66
101.596,60
102.606,49
103.616,37
104.626,32
106.646,36
108.666,35
110.686,35
111.696,42
112.706,49
114.726,61
115.736,56
116.746,50
118.766,45
119.776,51
121.796,62
122.806,67
123.816,59
124.826,46
125.836,40
127.856,44
128.866,49
129.876,55
131.896,53
132.906,52
133.916,64
134.926,76
135.936,83
136.946,83
138.966,69
140.986,67
141.996,64
143.006,66
145.026,58
147.046,72
148.056,81
149.066,78
150.076,74
152.096,68
154.116,70
156.136,69
158.156,57
159.166,63
160.176,71
163.206,69
165.226,62
167.246,68
168.256,68
169.266,69
170.276,68
172.296,68
173.306,59
174.316,58
175.326,53
176.336,45
177.346,36
178.356,18
179.366,8
185.426,14
187.446,23
189.466,36
190.476,38
191.486,31
192.496,28
193.506,18
198.556,2
200.576,25
201.586,43
202.596,58
203.606,68
204.616,96
206.636,86
208.656,79
209.666,70
210.676,54
211.686,46
212.696,42
214.716,28
216.736,52
217.746,52
218.756,56
219.766,56
220.776,68
222.796,68
224.816,63
225.826,54
226.836,58
227.846,68
229.866,62
231.886,44
233.906,40
235.926,39
237.946,30
239.966,45
240.976,65
242.996,83
244.006,88
245.016,90
247.036,73
249.056,67
250.066,63
251.076,43
253.096,27
255.116,32
256.126,31
258.146,56
259.156,61
261.176,54
262.186,51
264.206,55
265.216,55
266.226,59
267.236,52
268.246,44
270.266,43
272.286,54
274.306,69
276.326,70
277.336,75
278.346,79
281.376,71
283.396,58
285.416,31
287.436,11
289.456,25
291.476,6
295.516,1
296.526,18
297.536,26
298.546,7
301.576,14
302.586,35
304.606,60
305.616,56
306.626,46
308.646,43
310.666,76
311.676,80
312.686,80
314.706,62
315.716,55
316.726,56
317.736,61
319.756,110
321.776,87
323.796,86
325.816,89
326.826,91
327.836,86
329.856,30
331.876,26
332.886,27
333.896,13
334.906,31
335.916,31
336.926,28
338.946,37
339.956,38
340.966,52
342.986,50
345.006,31
347.026,18
348.036,9
349.046,1
350.056,14
351.066,1
353.086,3
354.096,17
355.106,28
357.126,46
359.146,47
360.156,50
361.166,66
362.176,68
364.196,83
366.216,71
368.236,79
370.256,78
372.276,58
373.286,43
375.306,11
377.326,12
379.346,1
381.366,15
382.376,31
383.386,45
385.406,57
387.426,53
388.436,49
389.446,49
391.466,32
393.486,18
394.496,22
395.506,25
396.516,12
397.526,9
398.536,11
399.546,8
400.556,15
408.636,15
409.646,14
410.656,9
411.666,21
412.676,37
413.686,25
414.696,25
415.706,35
416.716,37
417.726,40
419.746,36
420.756,48
421.766,58
423.786,82
424.796,86
425.806,81
426.816,67
427.826,66
428.836,61
429.846,59
430.856,45
432.876,28
433.886,14
436.916,16
438.936,24
440.956,43
441.966,30
443.986,34
444.996,24
447.016,19
449.036,12
450.046,7
452.066,7
454.086,16
456.106,47
458.126,70
460.146,67
462.166,60
463.176,59
464.186,49
465.196,53
466.206,53
468.226,41
470.246,36
471.256,45
473.276,56
475.296,58
477.316,47
479.336,44
480.346,57
482.366,68
483.376,63
484.386,79
485.396,81
486.406,80
488.426,102
490.446,97
492.466,86
493.476,83
494.486,70
495.496,63
496.506,63
497.516,60
498.526,56
499.536,54
500.546,64
501.556,76
502.566,62
503.576,66
504.586,79
505.596,84
506.606,87
507.616,86
508.626,82
509.636,76
510.646,63
511.656,47
513.676,59
514.686,29
515.696,27
516.706,23
517.716,18
518.726,22
520.746,27
522.766,29
524.786,29
525.796,31
526.806,36
527.816,38
528.826,39
529.836,43
531.856,46
533.876,46
535.896,44
537.916,35
538.926,35
539.936,38
540.946,39
541.956,55
542.966,69
543.976,78
544.986,85
545.996,85
547.006,93
549.026,104
550.036,104
551.036,106
553.056,108
555.076,109
556.086,113
557.096,112
558.106,114
559.116,104
561.136,80
562.146,73
564.166,65
566.186,59
567.196,58
568.206,61
570.226,67
571.236,79
572.246,86
573.256,89
575.276,90
577.296,69
578.306,54
579.316,52
581.336,47
583.356,32
584.366,30
586.386,47
587.396,59
588.406,70
589.416,85
590.426,97
591.436,93
592.446,104
594.466,90
596.486,104
598.506,98
599.516,87
600.526,72
602.546,57
604.566,50
605.576,35
606.586,31
607.596,27
608.606,31
609.616,38
610.626,52
611.636,63
612.646,68
613.656,78
614.666,90
615.676,91
617.696,90
618.706,87
619.716,81
620.726,81
622.746,86
623.756,85
624.766,82
625.776,82
626.786,84
628.806,80
630.826,73
631.836,61
632.846,49
633.856,52
635.876,51
636.886,53
639.916,61
641.936,62
642.946,61
643.956,58
645.976,43
646.986,40
647.996,43
649.006,48
650.016,50
652.036,62
654.056,76
655.066,102
657.086,97
659.106,90
661.126,94
663.146,85
665.166,71
