df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,acc_mag
4.481,1.009
4.511,1.012
4.541,1.010
4.571,1.011
4.601,1.006
4.631,1.012
4.661,1.005
4.691,1.011
4.721,1.011
4.751,1.006
4.781,1.007
4.811,1.009
4.841,1.012
4.871,1.005
4.901,1.012
4.931,1.011
4.961,1.009
4.991,1.007
5.021,1.010
5.051,1.012
5.081,1.011
5.111,1.013
5.141,1.006
5.171,1.007
5.201,1.014
5.231,1.012
5.261,1.013
5.291,1.006
5.321,1.010
5.351,1.009
5.381,1.011
5.411,1.014
5.441,1.011
5.471,1.004
5.501,1.007
5.531,1.009
5.561,1.012
5.591,1.012
5.621,1.009
5.651,1.008
5.681,1.011
5.711,1.010
5.741,1.008
5.771,1.011
5.801,1.008
5.831,1.009
5.861,1.006
5.891,1.006
5.921,1.011
5.951,1.011
5.981,1.010
6.011,1.008
6.041,1.011
6.071,1.011
6.101,1.009
6.131,1.010
6.161,1.008
6.191,1.009
6.221,1.010
6.251,1.012
6.281,1.008
6.311,1.012
6.341,1.008
6.371,1.006
6.401,1.020
6.431,1.011
6.461,1.004
6.491,1.007
6.521,1.007
6.551,1.008
6.581,1.010
6.611,1.012
6.641,1.015
6.671,1.004
6.701,1.010
6.731,1.013
6.761,1.009
6.791,1.011
6.821,1.011
6.851,1.011
6.881,1.008
6.911,1.012
6.941,1.013
6.971,1.009
7.001,1.007
7.031,1.010
7.061,1.006
7.091,1.009
7.121,1.008
7.151,1.007
7.181,1.011
7.211,1.012
7.241,1.012
7.271,1.005
7.301,1.004
7.331,1.017
7.361,1.009
7.391,1.010
7.421,1.012
7.451,1.004
7.481,1.010
7.511,1.010
7.541,1.010
7.571,1.013
7.601,1.013
7.631,1.000
7.661,1.014
7.691,1.012
7.721,1.007
7.751,1.009
7.781,1.008
7.811,1.009
7.841,1.010
7.871,1.009
7.901,1.009
7.931,1.008
7.961,1.009
7.991,1.009
8.021,1.011
8.051,1.008
8.081,1.005
8.111,1.015
8.141,1.005
8.171,1.011
8.201,1.021
8.231,1.009
8.261,1.015
8.291,1.005
8.321,1.006
8.351,1.011
8.381,1.007
8.411,1.016
8.441,1.015
8.471,1.004
8.501,1.006
8.531,1.010
8.561,1.014
8.591,1.011
8.621,1.010
8.651,1.007
8.681,1.013
8.711,1.006
8.741,1.020
8.771,1.010
8.801,1.014
8.831,1.012
8.861,1.006
8.891,1.003
8.921,1.012
8.951,1.014
8.981,1.011
9.011,1.012
9.041,0.997
9.071,1.013
9.101,1.012
9.131,1.007
9.161,1.008
9.191,1.019
9.221,1.005
9.251,1.003
9.281,1.013
9.311,1.009
9.341,1.006
9.371,1.008
9.401,1.010
9.431,1.004
9.461,1.002
9.491,1.011
9.521,1.011
9.551,1.013
9.581,1.006
9.611,1.010
9.641,1.009
9.671,1.011
9.701,1.007
9.731,1.003
9.761,1.004
9.791,1.009
9.821,1.005
9.851,1.016
9.881,1.015
9.911,1.003
9.941,1.002
9.971,1.015
10.001,1.008
10.031,1.009
10.061,1.008
10.091,1.007
10.121,1.008
10.151,1.007
10.181,1.012
10.211,1.013
10.241,1.007
10.271,1.012
10.301,1.005
10.331,0.999
10.361,1.011
10.391,1.022
10.421,1.008
10.451,0.998
10.481,1.006
10.511,1.016
10.541,1.010
10.571,1.010
10.601,1.017
10.631,1.017
10.661,0.998
10.691,1.018
10.721,1.012
10.751,0.995
10.781,1.016
10.811,1.015
10.841,1.011
10.871,1.008
10.901,1.006
10.931,1.008
10.961,1.012
10.991,1.013
11.021,1.016
11.051,1.008
11.081,1.015
11.111,1.013
11.141,1.011
11.171,1.008
11.201,1.010
11.231,1.007
11.261,1.012
11.291,1.015
11.321,1.010
11.351,1.014
11.381,1.012
11.411,1.009
11.441,1.014
11.471,1.012
11.501,1.003
11.531,1.012
11.561,1.012
11.591,1.011
11.621,1.015
11.651,1.012
11.681,1.011
11.711,1.006
11.741,1.012
11.771,1.011
11.801,1.010
11.831,1.006
11.861,1.012
11.891,1.007
11.921,1.009
11.951,1.006
11.981,1.010
12.011,1.013
12.041,1.012
12.071,1.008
12.101,1.011
12.131,1.007
12.161,1.010
12.191,1.010
12.221,1.012
12.251,1.010
12.281,1.012
12.311,1.009
12.341,1.001
12.371,1.009
12.401,1.006
12.431,1.012
12.461,1.012
12.491,1.012
12.521,1.008
12.551,1.011
12.581,1.007
12.611,1.011
12.641,1.014
12.671,1.008
12.701,1.003
12.731,1.012
12.761,1.014
12.791,1.009
12.821,1.004
12.851,1.009
12.881,1.010
12.911,1.008
12.941,1.012
12.971,1.009
13.001,1.009
13.031,1.009
13.061,1.012
13.091,1.009
13.121,1.013
13.151,1.013
13.181,1.009
13.211,1.010
13.241,1.011
13.271,1.009
13.301,1.011
13.331,1.008
13.361,1.011
13.391,1.011
13.421,1.010
13.451,1.007
13.481,1.013
13.511,1.010
13.541,1.006
13.571,1.013
13.601,1.008
13.631,1.009
13.661,1.009
13.691,1.012
13.721,1.010
13.751,1.000
13.781,1.012
13.811,1.012
13.841,1.010
