df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
16.337,1.027
16.367,1.030
16.397,1.026
16.427,1.026
16.457,1.030
16.487,1.022
16.517,1.029
16.547,1.026
16.577,1.028
16.607,1.028
16.637,1.022
16.667,1.025
16.697,1.029
16.727,1.031
16.757,1.026
16.787,1.028
16.817,1.025
16.847,1.027
16.877,1.029
16.907,1.028
16.937,1.021
16.967,1.023
16.997,1.024
17.027,1.026
17.057,1.032
17.087,1.029
17.117,1.029
17.147,1.028
17.177,1.025
17.207,1.028
17.237,1.022
17.267,1.022
17.297,1.024
17.327,1.026
17.357,1.024
17.387,1.029
17.417,1.026
17.447,1.024
17.477,1.026
17.507,1.027
17.537,1.024
17.567,1.025
17.597,1.022
17.627,1.026
17.657,1.031
17.687,1.032
17.717,1.026
17.747,1.024
17.777,1.023
17.807,1.024
17.837,1.031
17.867,1.027
17.897,1.026
17.927,1.026
17.957,1.022
17.987,1.026
18.017,1.025
18.047,1.023
18.077,1.024
18.107,1.028
18.137,1.031
18.167,1.025
18.197,1.021
18.227,1.024
18.257,1.021
18.287,1.024
18.317,1.028
18.347,1.025
18.377,1.030
18.407,1.029
18.437,1.030
18.467,1.025
18.497,1.030
18.527,1.025
18.557,1.029
18.587,1.037
18.617,1.027
18.647,1.026
18.677,1.024
18.707,1.023
18.737,1.024
18.767,1.021
18.797,1.021
18.827,1.024
18.857,1.030
18.887,1.030
18.917,1.025
18.947,1.024
18.977,1.025
19.007,1.026
19.037,1.025
19.067,1.023
19.097,1.028
19.127,1.022
19.157,1.024
19.187,1.023
19.217,1.023
19.247,1.020
19.277,1.028
19.307,1.033
19.337,1.028
19.367,1.024
19.397,1.028
19.427,1.026
19.457,1.029
19.487,1.023
19.517,1.025
19.547,1.024
19.577,1.023
19.607,1.027
19.637,1.029
19.667,1.026
19.697,1.025
19.727,1.021
19.757,1.026
19.787,1.026
19.817,1.029
19.847,1.026
19.877,1.030
19.907,1.024
19.937,1.028
19.967,1.022
19.997,1.029
20.027,1.025
20.057,1.026
20.087,1.028
20.117,1.026
20.147,1.026
20.177,1.027
20.207,1.026
20.237,1.020
20.267,1.025
20.297,1.024
20.327,1.023
20.357,1.026
20.387,1.022
20.417,1.021
20.447,1.028
20.477,1.024
20.507,1.029
20.537,1.025
20.567,1.029
20.597,1.027
20.627,1.027
20.657,1.023
20.687,1.026
20.717,1.030
20.747,1.027
20.777,1.028
20.807,1.028
20.837,1.026
20.867,1.023
20.897,1.022
20.927,1.028
20.957,1.028
20.987,1.029
21.017,1.028
21.047,1.030
21.077,1.025
21.107,1.024
21.137,1.024
21.167,1.034
21.197,1.030
21.227,1.025
21.257,1.021
21.287,1.022
21.317,1.025
21.347,1.033
21.377,1.033
21.407,1.022
21.437,1.029
21.467,1.029
21.497,1.020
