df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,rr_int
10.385,3990
10.727,1350
11.508,320
12.195,800
12.241,660
12.336,210
12.774,420
12.781,20
12.970,10
12.975,10
13.164,15
13.167,300
13.603,10
13.944,715
15.124,685
15.943,675
16.674,735
17.505,795
17.650,790
18.332,180
19.077,595
19.082,750
19.164,10
19.356,190
19.359,25
19.746,40
20.428,465
21.111,710
21.793,690
22.622,730
23.354,745
24.184,780
24.331,785
24.865,10
25.157,780
25.160,215
25.742,35
25.746,555
25.985,10
26.523,210
27.503,590
27.513,770
28.082,205
28.765,545
28.911,735
29.110,180
29.154,15
29.158,15
29.162,20
29.452,10
29.742,465
30.185,10
30.867,690
31.120,745
31.691,195
32.519,615
32.713,825
32.816,185
32.820,10
32.823,10
32.828,10
32.860,15
33.203,45
34.030,465
34.761,740
34.766,765
35.010,10
35.589,205
36.273,550
37.101,760
37.832,790
38.127,780
38.130,190
38.661,15
38.758,555
38.763,175
38.807,15
39.344,45
40.175,480
40.757,740
41.586,750
42.269,745
42.609,760
42.615,185
42.661,15
42.664,15
43.097,20
43.295,505
43.902,190
43.905,530
44.560,10
45.340,765
45.343,795
45.486,10
46.366,205
46.463,580
46.851,185
47.533,550
48.265,720
48.947,695
49.191,760
49.239,190
49.243,35
49.776,10
50.462,535
50.946,710
51.147,150
51.726,540
51.730,640
52.409,10
53.094,675
53.386,705
53.919,10
53.968,725
54.651,10
55.334,710
56.021,685
56.747,700
57.429,760
57.722,760
58.161,170
58.796,510
59.574,650
60.063,660
60.209,670
60.891,10
61.574,705
61.866,775
62.451,245
63.134,525
63.816,735
64.499,700
64.645,715
65.230,190
66.058,560
66.205,765
66.208,205
66.451,15
66.745,15
67.183,550
67.570,200
67.573,530
68.252,10
68.263,685
69.035,10
69.666,675
70.349,730
71.177,775
72.009,820
72.153,785
72.744,180
73.420,550
74.102,700
74.833,675
75.516,715
76.345,755
77.027,780
77.856,785
78.636,730
79.129,685
79.172,635
79.956,10
80.538,670
81.220,720
82.098,730
82.198,750
82.778,190
83.463,530
83.467,770
84.298,10
85.172,815
85.949,830
86.095,800
86.099,190
86.292,10
86.632,40
87.314,480
88.340,685
88.727,715
89.557,735
90.239,760
90.828,710
90.831,660
91.506,10
92.243,680
92.338,710
93.072,10
93.184,765
93.895,215
94.627,585
95.357,755
95.943,695
96.722,695
97.360,700
98.185,745
98.193,780
98.867,10
98.871,745
99.163,10
99.604,175
100.284,535
101.113,710
101.159,725
101.793,10
102.578,730
103.255,735
103.353,675
103.889,185
104.620,490
105.303,690
106.131,755
106.814,800
107.496,735
108.326,740
109.105,755
109.739,760
110.470,705
110.476,700
110.714,10
111.152,175
111.835,520
112.664,715
112.669,725
112.880,10
113.350,245
113.932,420
114.617,655
115.152,635
115.989,680
116.832,755
117.570,805
118.368,805
118.514,750
119.050,205
119.733,525
120.562,730
121.293,755
121.833,705
122.658,675
123.389,715
123.494,745
123.669,190
123.677,95
124.123,15
124.315,465
124.321,170
124.364,20
124.370,40
124.510,10
124.754,15
125.735,460
126.168,700
126.173,690
126.850,10
127.682,705
128.216,720
128.946,680
129.193,700
129.288,155
129.291,85
129.776,10
130.458,460
130.765,780
130.994,210
130.997,20
131.140,10
131.875,485
132.608,685
132.846,700
133.239,200
134.130,510
134.796,745
135.479,760
136.189,715
136.194,655
136.844,10
137.583,680
138.407,705
138.940,745
139.626,730
140.355,710
141.085,675
141.866,720
142.548,745
143.279,755
143.962,700
144.693,685
145.326,690
145.385,740
145.631,10
146.156,215
146.887,530
147.569,725
148.252,715
148.983,740
149.666,715
149.812,705
150.348,175
151.031,480
151.615,655
152.450,675
153.273,745
154.150,840
154.785,850
155.077,770
155.083,190
155.631,30
155.908,515
156.345,10
156.588,760
157.176,215
157.322,610
158.002,10
158.684,800
158.689,765
159.415,10
159.513,725
159.660,10
160.244,170
160.927,540
161.073,745
161.609,200
162.439,560
163.174,755
163.902,725
163.909,730
163.998,10
164.534,180
165.224,545
165.510,685
165.948,180
166.094,500
166.098,170
166.192,10
166.195,45
166.240,15
166.631,30
166.923,440
167.326,185
168.044,510
168.148,705
168.288,240
168.292,10
168.339,10
168.358,15
169.412,385
170.096,650
170.238,695
170.823,185
171.660,585
172.335,775
172.481,740
172.534,180
172.627,15
172.630,10
172.633,15
173.045,15
173.749,480
174.434,675
175.113,690
175.942,740
176.819,855
176.823,820
177.602,10
178.337,790
179.014,735
179.842,735
180.524,765
181.402,785
181.406,770
182.095,10
182.767,740
183.449,695
184.181,680
184.186,685
184.864,10
185.692,720
186.423,780
187.106,745
187.790,715
188.617,765
189.446,795
190.281,810
191.054,800
191.688,750
191.693,695
192.405,10
193.120,670
193.784,715
193.788,735
194.662,10
195.296,765
195.301,740
195.982,10
196.710,700
197.397,685
198.075,705
198.904,765
199.782,805
199.879,810
200.466,190
201.146,545
201.844,695
202.807,700
203.389,740
204.071,775
204.783,755
205.485,700
206.227,670
206.996,690
207.826,750
207.873,840
208.069,10
208.507,190
209.239,580
210.067,725
210.798,735
211.432,720
